De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 96-A, Signature SBS1 (0.60%) & Signature SBS2 (46.58%) & Signature SBS5 (4.08%) & Signature SBS13 (48.74%), 9.38,  5.28, 0.021, 1.00, 1.00
Signature 96-B, Signature SBS5 (53.12%) & Signature SBS8 (46.88%), 28.32,  31.27, 0.078, 0.95, 0.83
Signature 96-C, Signature SBS1 (5.10%) & Signature SBS3 (68.00%) & Signature SBS5 (11.12%) & Signature SBS13 (15.78%), 24.77,  23.69, 0.061, 0.97, 0.94
Signature 96-D, Signature SBS1 (18.84%) & Signature SBS5 (20.30%) & Signature SBS10c (12.74%) & Signature SBS40a (48.12%), 21.74,  20.99, 0.054, 0.98, 0.96
