Sample Names	MutationType	ID1	ID2	ID3	ID7	ID8	ID15
TCGA-3C-AAAU-01	3:Ins:R:3	1.0	0.0	0.0	0.0	0.0	0.0
TCGA-3C-AAAU-01	3:Ins:R:4	1.0	0.0	0.0	0.0	0.0	0.0
TCGA-3C-AAAU-01	3:Ins:R:5	1.0	0.0	0.0	0.0	0.0	0.0
TCGA-3C-AAAU-01	4:Ins:R:0	1.0	0.0	0.0	0.0	0.0	0.0
TCGA-3C-AAAU-01	4:Ins:R:1	1.0	0.0	0.0	0.0	0.0	0.0
TCGA-3C-AAAU-01	4:Ins:R:2	1.0	0.0	0.0	0.0	0.0	0.0
TCGA-3C-AAAU-01	4:Ins:R:3	1.0	0.0	0.0	0.0	0.0	0.0
TCGA-3C-AAAU-01	4:Ins:R:4	1.0	0.0	0.0	0.0	0.0	0.0
TCGA-3C-AAAU-01	4:Ins:R:5	1.0	0.0	0.0	0.0	0.0	0.0
TCGA-3C-AAAU-01	5:Ins:R:0	1.0	0.0	0.0	0.0	0.0	0.0
TCGA-3C-AAAU-01	5:Ins:R:1	1.0	0.0	0.0	0.0	0.0	0.0
TCGA-3C-AAAU-01	5:Ins:R:2	1.0	0.0	0.0	0.0	0.0	0.0
TCGA-3C-AAAU-01	5:Ins:R:3	1.0	0.0	0.0	0.0	0.0	0.0
TCGA-3C-AAAU-01	5:Ins:R:4	1.0	0.0	0.0	0.0	0.0	0.0
TCGA-3C-AAAU-01	5:Ins:R:5	1.0	0.0	0.0	0.0	0.0	0.0
TCGA-3C-AAAU-01	2:Del:M:1	1.0	0.0	0.0	0.0	0.0	0.0
TCGA-3C-AAAU-01	3:Del:M:1	1.0	0.0	0.0	0.0	0.0	0.0
TCGA-3C-AAAU-01	3:Del:M:2	1.0	0.0	0.0	0.0	0.0	0.0
TCGA-3C-AAAU-01	4:Del:M:1	1.0	0.0	0.0	0.0	0.0	0.0
TCGA-3C-AAAU-01	4:Del:M:2	1.0	0.0	0.0	0.0	0.0	0.0
