Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-OL-A5RZ-01	7.65E-01	8.46E-01	1.42E+00	1.66E+00	1.72E+00	7.26E-01	1.38E+00	1.67E+00	1.59E+00	1.89E+00
TCGA-OL-A5S0-01	3.40E-01	5.63E-01	1.15E+00	5.44E-01	6.78E-01	5.92E-01	7.15E-01	9.89E-01	7.26E-01	5.31E-01
TCGA-OL-A66H-01	0.00E+00	1.82E-01	5.33E-01	7.59E-01	7.91E-01	3.09E-01	8.87E-01	4.43E-01	5.85E-01	7.51E-01
TCGA-OL-A66I-01	3.51E-01	4.79E-01	1.06E+00	9.67E-01	1.01E+00	4.83E-01	1.12E+00	1.43E+00	1.05E+00	8.30E-01
TCGA-OL-A66J-01	4.49E-01	7.20E-01	1.09E+00	6.98E-01	8.79E-01	9.45E-01	6.41E-01	1.24E+00	8.61E-01	1.06E+00
TCGA-OL-A66K-01	2.68E-01	5.18E-01	1.04E+00	8.22E-01	1.24E+00	6.67E-02	7.74E-01	8.73E-01	6.50E-01	5.69E-01
TCGA-OL-A66L-01	1.17E+00	1.63E+00	6.01E-01	1.62E+00	8.19E-01	8.75E-01	7.52E-01	8.53E-01	7.46E-01	7.41E-01
TCGA-OL-A66N-01	2.14E-01	4.33E-01	1.26E+00	3.82E-01	9.92E-01	6.97E-01	6.00E-01	1.25E+00	5.92E-01	6.15E-01
TCGA-OL-A66O-01	2.24E-01	2.37E-01	1.08E+00	5.42E-01	8.54E-01	5.52E-01	9.97E-01	6.72E-01	5.19E-01	8.72E-01
TCGA-OL-A66P-01	3.15E-01	4.57E-01	1.12E+00	1.99E+00	1.60E+00	1.48E+00	1.39E+00	1.64E+00	1.87E+00	2.39E+00
TCGA-OL-A6VO-01	3.49E-01	2.18E-01	8.95E-01	7.99E-01	6.72E-01	5.67E-01	7.24E-01	7.15E-01	6.27E-01	6.75E-01
TCGA-OL-A6VQ-01	9.21E-01	1.13E+00	7.07E-01	1.37E+00	7.39E-01	5.50E-01	7.37E-01	6.86E-01	8.35E-01	7.83E-01
TCGA-OL-A6VR-01	1.71E-01	2.13E-01	5.56E-01	1.69E-01	5.13E-01	3.98E-01	2.71E-01	1.76E-01	2.26E-01	5.03E-01
TCGA-OL-A97C-01	2.56E-01	3.20E-01	1.33E+00	9.30E-01	1.80E+00	1.22E+00	1.28E+00	1.28E+00	9.95E-01	8.98E-01
TCGA-PE-A5DC-01	8.49E-01	7.74E-01	8.37E-01	2.20E+00	1.80E+00	7.82E-01	2.31E+00	1.79E+00	1.66E+00	2.88E+00
TCGA-PE-A5DD-01	9.50E-01	1.22E+00	1.17E+00	1.55E+00	1.41E+00	4.57E-01	4.39E-01	1.01E+00	1.19E+00	1.06E+00
TCGA-PE-A5DE-01	8.13E+00	1.37E+01	1.60E+00	1.72E+01	8.49E+00	3.60E-01	7.29E-01	9.71E-01	8.31E+00	9.44E-01
TCGA-PL-A8LV-01	2.06E+00	1.20E+00	9.83E-01	1.65E+00	1.71E+00	1.10E+00	2.58E+00	1.86E+00	1.04E+00	1.93E+00
TCGA-PL-A8LX-01	0.00E+00	2.50E-01	1.06E+00	7.25E-01	1.04E+00	8.05E-01	8.90E-01	9.16E-01	5.35E-01	9.24E-01
TCGA-PL-A8LY-01	0.00E+00	0.00E+00	2.11E-01	1.21E-01	2.80E-01	3.73E-01	6.67E-02	3.10E-01	1.75E-01	5.57E-02
TCGA-PL-A8LZ-01	2.57E-01	1.56E+00	9.61E-01	2.00E+00	2.34E+00	9.83E-01	1.96E+00	2.56E+00	1.36E+00	3.01E+00
TCGA-S3-A6ZF-01	3.89E-01	4.09E-01	1.22E+00	5.73E-01	9.44E-01	2.02E-01	8.62E-01	1.10E+00	6.35E-01	4.78E-01
TCGA-S3-A6ZG-01	1.24E-01	5.79E-01	1.20E+00	1.07E+00	8.63E-01	7.47E-01	6.45E-01	1.56E+00	1.48E+00	6.07E-01
TCGA-S3-A6ZH-01	1.59E-01	3.95E-01	7.82E-01	7.81E-01	6.45E-01	4.23E-01	8.35E-01	7.97E-01	5.07E-01	8.26E-01
TCGA-S3-AA0Z-01	6.46E-01	7.32E-01	1.11E+00	1.38E+00	1.28E+00	9.88E-01	8.05E-01	1.18E+00	7.25E-01	1.48E+00
TCGA-S3-AA10-01	8.49E-01	5.14E-01	7.39E-01	2.38E+00	1.88E+00	1.58E+00	2.49E+00	2.15E+00	1.30E+00	3.02E+00
TCGA-S3-AA11-01	2.30E-01	5.71E-01	6.34E-01	2.31E+00	1.55E+00	9.29E-01	1.78E+00	1.60E+00	1.86E+00	2.18E+00
TCGA-S3-AA12-01	3.88E-01	4.50E-01	9.74E-01	1.01E+00	1.15E+00	6.96E-01	7.03E-01	1.21E+00	6.91E-01	1.48E+00
TCGA-S3-AA14-01	3.41E-01	3.66E-01	6.69E-01	4.08E-01	2.73E-01	0.00E+00	3.89E-01	5.98E-01	2.95E-01	2.78E-01
TCGA-S3-AA15-01	1.10E+00	9.71E-01	6.15E-01	9.74E-01	9.07E-01	3.02E-01	9.49E-01	4.17E-01	7.87E-01	4.30E-01
TCGA-S3-AA17-01	7.85E-01	4.16E-01	1.13E+00	2.01E+00	2.45E+00	1.28E+00	1.50E+00	1.86E+00	1.73E+00	2.13E+00
TCGA-UL-AAZ6-01	5.65E-01	5.96E-01	1.22E+00	1.93E+00	2.07E+00	1.56E+00	1.73E+00	1.73E+00	1.63E+00	1.87E+00
TCGA-UU-A93S-01	9.18E-01	7.71E-01	1.62E+00	2.51E+00	2.75E+00	1.26E+00	2.60E+00	2.62E+00	1.76E+00	3.19E+00
TCGA-V7-A7HQ-01	4.22E-01	2.07E-01	5.87E-01	4.78E-01	6.36E-01	3.34E-01	8.77E-01	6.49E-01	5.76E-01	7.25E-01
TCGA-W8-A86G-01	2.30E-01	3.54E-01	1.08E+00	3.51E-01	7.58E-01	5.38E-01	5.61E-01	9.87E-01	6.51E-01	4.47E-01
TCGA-WT-AB41-01	3.26E-01	1.01E+00	1.17E+00	1.03E+00	1.14E+00	3.76E-01	7.83E-01	1.04E+00	6.78E-01	6.69E-01
TCGA-WT-AB44-01	0.00E+00	1.57E-01	9.75E-01	8.09E-01	1.40E+00	6.15E-01	7.44E-01	1.09E+00	9.88E-01	9.89E-01
TCGA-XX-A899-01	6.00E-01	1.12E+00	8.24E-01	1.24E+00	8.62E-01	7.78E-01	5.93E-01	6.28E-01	1.17E+00	4.37E-01
TCGA-XX-A89A-01	5.22E+00	2.95E+00	1.45E+00	3.65E+00	4.97E+00	5.91E-01	1.02E+00	1.62E+00	2.44E+00	6.91E-01
TCGA-Z7-A8R5-01	0.00E+00	1.80E-01	1.20E+00	2.87E-01	6.84E-01	2.33E-01	1.31E-01	1.10E+00	5.42E-01	5.27E-01
TCGA-Z7-A8R6-01	1.22E+00	1.49E+00	1.22E+00	1.50E+00	1.00E+00	4.30E-01	5.64E-01	8.43E-01	1.21E+00	4.54E-01
