Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-A2-A3XW-01	0.00E+00	3.03E-01	3.67E-01	3.58E-01	3.11E-01	2.86E-01	4.41E-01	5.25E-01	5.94E-01	4.31E-01
TCGA-A2-A3XX-01	2.62E-01	3.90E-01	8.94E-01	6.54E-01	7.52E-01	6.46E-01	1.07E+00	6.94E-01	9.70E-01	8.70E-01
TCGA-A2-A3XZ-01	7.52E-01	6.99E-01	7.74E-01	6.40E-01	7.21E-01	3.42E-01	4.11E-01	6.25E-01	7.65E-01	4.00E-01
TCGA-A2-A3Y0-01	1.84E+00	1.09E+00	9.91E-01	2.52E+00	2.39E+00	1.34E+00	3.15E+00	2.31E+00	1.88E+00	3.19E+00
TCGA-A2-A4S1-01	4.59E-01	3.88E-01	8.29E-01	1.79E+00	1.35E+00	1.01E+00	1.62E+00	1.46E+00	1.24E+00	1.86E+00
TCGA-A2-A4S2-01	6.67E-02	3.80E-01	9.08E-01	4.84E-01	8.20E-01	7.80E-01	6.25E-01	9.14E-01	4.58E-01	7.22E-01
TCGA-A2-A4S3-01	7.64E-01	7.07E-01	1.29E+00	1.09E+00	1.72E+00	1.25E+00	1.60E+00	1.30E+00	1.01E+00	1.76E+00
TCGA-A7-A0CE-01	3.37E-01	5.48E-01	4.64E-01	1.08E+00	1.03E+00	8.97E-01	1.53E+00	7.95E-01	8.76E-01	1.51E+00
TCGA-A7-A0CH-01	0.00E+00	2.60E-01	4.22E-01	3.85E-01	6.60E-01	3.71E-01	5.88E-01	5.63E-01	4.37E-01	3.83E-01
TCGA-A7-A0D9-01	2.11E-01	2.93E-01	3.64E-01	4.68E-01	3.30E-01	2.14E-01	2.67E-01	4.17E-01	3.67E-01	2.66E-01
TCGA-A7-A0DA-01	7.67E-01	6.76E-01	7.23E-01	2.87E+00	3.06E+00	8.56E-01	3.25E+00	2.20E+00	1.61E+00	3.66E+00
TCGA-A7-A0DB-01	6.71E-01	7.24E-01	7.59E-01	7.79E-01	5.72E-01	5.27E-01	6.23E-01	9.51E-01	8.96E-01	8.53E-01
TCGA-A7-A13D-01	8.82E-01	5.56E-01	1.17E+00	1.97E+00	1.89E+00	7.37E-01	2.71E+00	2.25E+00	1.35E+00	2.48E+00
TCGA-A7-A13E-01	5.92E-01	4.08E-01	1.47E+00	7.93E-01	1.31E+00	7.32E-01	8.88E-01	1.55E+00	9.92E-01	7.94E-01
TCGA-A7-A13F-01	4.38E-01	3.38E-01	1.07E+00	5.32E-01	5.50E-01	4.10E-01	7.34E-01	1.04E+00	6.16E-01	5.80E-01
TCGA-A7-A13G-01	2.82E-01	4.72E-01	7.17E-01	5.43E-01	7.37E-01	2.69E-01	7.37E-01	5.08E-01	4.12E-01	6.18E-01
TCGA-A7-A26E-01	4.25E-01	1.15E+00	1.33E+00	9.24E-01	7.13E-01	6.03E-01	6.13E-01	1.22E+00	1.21E+00	8.97E-01
TCGA-A7-A26F-01	2.86E-01	5.36E-01	1.11E+00	8.37E-01	8.96E-01	4.63E-02	8.91E-01	1.61E+00	7.71E-01	8.96E-01
TCGA-A7-A26G-01	6.97E-01	5.64E-01	6.98E-01	1.22E+00	1.32E+00	7.41E-01	1.30E+00	1.16E+00	8.26E-01	1.22E+00
TCGA-A7-A26H-01	2.15E+00	1.27E+00	1.36E+00	1.58E+00	1.81E+00	5.58E-01	8.22E-01	1.57E+00	1.03E+00	1.18E+00
TCGA-A7-A26I-01	3.16E-01	5.15E-01	4.87E-01	6.13E-01	4.98E-01	4.90E-01	9.47E-01	7.64E-01	6.48E-01	1.15E+00
TCGA-A7-A26J-01	3.58E-01	4.39E-01	5.92E-01	8.55E-01	6.61E-01	1.41E-01	7.36E-01	7.45E-01	5.38E-01	9.14E-01
TCGA-A7-A2KD-01	3.48E-01	5.91E-01	8.07E-01	8.12E-01	7.55E-01	4.29E-01	7.52E-01	9.56E-01	9.16E-01	6.81E-01
TCGA-A7-A3RF-01	1.04E-01	3.11E-01	7.83E-01	7.45E-01	8.00E-01	5.22E-01	6.81E-01	1.21E+00	8.57E-01	9.23E-01
TCGA-A7-A425-01	0.00E+00	1.64E-01	7.64E-01	5.68E-01	4.92E-01	2.27E-01	6.19E-01	9.44E-01	6.88E-01	7.72E-01
TCGA-A7-A4SC-01	6.67E-02	3.28E-01	8.45E-01	9.86E-01	8.06E-01	3.33E-02	4.39E-01	1.28E+00	8.91E-01	9.06E-01
TCGA-A7-A4SD-01	2.98E-01	2.56E-01	1.42E+00	1.06E+00	1.20E+00	7.10E-01	7.20E-01	1.16E+00	9.17E-01	7.98E-01
TCGA-A7-A4SE-01	1.45E+00	8.10E-01	6.81E-01	1.56E+00	1.63E+00	9.45E-01	1.95E+00	1.54E+00	1.83E+00	2.06E+00
TCGA-A7-A56D-01	1.88E+00	2.77E+00	1.24E+00	2.61E+00	1.78E+00	5.75E-01	1.88E+00	1.52E+00	1.72E+00	1.79E+00
TCGA-A7-A5ZV-01	1.51E+00	6.63E-01	1.56E+00	3.23E+00	3.22E+00	1.50E+00	3.94E+00	3.37E+00	2.72E+00	4.15E+00
TCGA-A7-A5ZW-01	5.61E-01	4.71E-01	7.54E-01	4.78E-01	7.92E-01	6.60E-01	3.25E-01	6.40E-01	5.80E-01	3.77E-01
TCGA-A7-A5ZX-01	1.01E-01	6.88E-01	6.22E-01	7.05E-01	7.63E-01	6.92E-01	7.41E-01	7.27E-01	6.65E-01	5.93E-01
TCGA-A7-A6VV-01	5.92E-01	3.54E-01	1.35E+00	7.27E-01	8.48E-01	7.35E-01	6.69E-01	1.59E+00	4.89E-01	8.33E-01
TCGA-A7-A6VW-01	4.95E-01	4.53E-01	8.49E-01	1.29E+00	1.76E+00	1.28E+00	1.65E+00	1.68E+00	1.16E+00	1.65E+00
TCGA-A7-A6VX-01	1.35E+00	1.65E+00	1.01E+00	1.93E+00	1.49E+00	1.17E+00	2.50E+00	1.54E+00	1.14E+00	2.53E+00
TCGA-A7-A6VY-01	7.51E-01	6.96E-01	9.17E-01	1.55E+00	1.38E+00	8.34E-01	2.62E+00	1.25E+00	1.30E+00	2.20E+00
TCGA-A8-A075-01	7.92E-01	1.02E+00	7.70E-01	1.13E+00	1.30E+00	3.68E-01	1.41E+00	1.80E+00	1.41E+00	1.79E+00
TCGA-AC-A23C-01	1.44E+00	1.29E+00	9.12E-01	1.75E+00	1.56E+00	1.10E+00	1.58E+00	1.69E+00	1.68E+00	2.00E+00
TCGA-AC-A23E-01	1.55E-01	0.00E+00	7.10E-01	4.71E-01	4.73E-01	0.00E+00	5.82E-01	6.26E-01	6.07E-01	4.05E-01
TCGA-AC-A23H-01	1.18E+02	5.52E+01	5.57E+00	9.56E+01	1.03E+02	2.23E+00	5.24E+00	4.25E+00	4.70E+01	1.79E+01
TCGA-AC-A2B8-01	1.95E+00	1.79E+00	7.99E-01	2.72E+00	1.42E+00	3.13E-01	4.05E-01	1.05E+00	7.50E-01	3.50E-01
TCGA-AC-A2BK-01	6.65E-01	2.33E-01	1.14E+00	1.19E+00	1.34E+00	9.96E-01	1.82E+00	1.08E+00	1.38E+00	1.28E+00
TCGA-AC-A2BM-01	3.43E-01	0.00E+00	7.50E-01	3.66E-01	8.22E-01	4.82E-01	6.17E-01	7.29E-01	5.10E-01	6.89E-01
TCGA-AC-A2FB-01	0.00E+00	3.60E-01	3.75E-01	5.17E-01	4.06E-01	4.22E-01	3.42E-01	3.69E-01	3.55E-01	3.32E-01
TCGA-AC-A2FF-01	2.28E-01	3.42E-01	1.84E-01	3.95E-01	2.18E-01	1.18E-01	1.82E-01	3.85E-01	2.33E-01	2.84E-01
TCGA-AC-A2FG-01	3.74E-01	5.49E-01	7.65E-01	7.55E-01	6.67E-01	6.04E-01	6.16E-01	9.12E-01	5.56E-01	4.01E-01
TCGA-AC-A2FK-01	0.00E+00	1.48E-01	0.00E+00	1.42E-01	1.28E-01	0.00E+00	8.42E-02	1.76E-01	6.67E-02	1.90E-01
TCGA-AC-A2FO-01	4.86E-01	7.22E-01	2.37E-01	7.15E-01	5.07E-01	4.63E-02	5.56E-01	4.91E-01	5.16E-01	5.40E-01
TCGA-AC-A2QH-01	2.98E-01	3.30E-01	7.18E-01	1.71E-01	7.56E-01	4.55E-01	6.81E-01	5.00E-01	2.23E-01	5.16E-01
TCGA-AC-A3HN-01	1.89E-01	2.38E-01	4.60E-01	4.31E-01	6.44E-01	4.01E-01	5.52E-01	6.07E-01	3.58E-01	4.51E-01
TCGA-AC-A3OD-01	0.00E+00	6.94E-01	1.01E+00	5.97E-01	1.24E+00	5.19E-01	6.43E-01	7.21E-01	4.97E-01	5.40E-01
TCGA-AC-A3QP-01	2.52E-01	1.04E-01	5.44E-01	5.22E-01	9.85E-01	5.45E-01	6.06E-01	1.16E+00	8.63E-01	7.13E-01
TCGA-AC-A3QQ-01	1.62E-01	2.32E-01	6.94E-01	5.70E-01	8.05E-01	1.60E-01	3.43E-01	8.55E-01	7.68E-01	6.92E-01
TCGA-AC-A3W5-01	1.66E+00	1.32E+00	1.26E+00	2.25E+00	2.33E+00	7.44E-01	2.83E+00	1.76E+00	1.88E+00	3.28E+00
TCGA-AC-A3YI-01	0.00E+00	1.68E-01	3.83E-01	3.85E-01	4.85E-01	5.25E-01	2.80E-01	3.97E-01	5.07E-01	3.74E-01
TCGA-AC-A3YJ-01	2.17E-01	5.91E-01	7.93E-01	5.58E-01	6.93E-01	5.60E-01	5.20E-01	9.19E-01	6.66E-01	5.98E-01
TCGA-AC-A4ZE-01	7.93E-02	6.60E-01	9.76E-01	8.90E-01	1.04E+00	6.75E-01	1.10E+00	9.13E-01	8.64E-01	7.48E-01
TCGA-AC-A5EH-01	9.97E-01	8.03E-01	1.26E+00	2.98E+00	3.00E+00	8.98E-01	2.35E+00	1.86E+00	2.02E+00	2.99E+00
TCGA-AC-A5EI-01	4.71E-01	6.87E-01	6.63E-01	8.22E-01	5.29E-01	6.11E-01	7.24E-01	1.07E+00	4.27E-01	7.11E-01
TCGA-AC-A5XS-01	1.11E+01	1.11E+01	1.07E+00	1.49E+01	1.19E+01	1.33E-01	1.13E+00	1.21E+00	7.49E+00	1.91E+00
TCGA-AC-A5XU-01	6.50E-01	1.17E+00	1.89E+00	1.35E+00	8.98E-01	5.87E-01	1.14E+00	1.93E+00	9.73E-01	9.96E-01
TCGA-AC-A62V-01	3.86E-01	5.13E-01	1.20E+00	1.20E+00	1.31E+00	6.92E-01	1.24E+00	1.20E+00	1.19E+00	1.12E+00
TCGA-AC-A62X-01	4.45E-01	3.19E-01	1.65E+00	8.30E-01	6.74E-01	8.58E-01	5.78E-01	1.39E+00	1.20E+00	1.02E+00
TCGA-AC-A62Y-01	1.06E+00	8.05E-01	1.11E+00	8.67E-01	9.44E-01	8.05E-01	7.63E-01	1.11E+00	6.89E-01	7.07E-01
TCGA-AC-A6IV-01	0.00E+00	3.22E-01	7.32E-01	5.43E-01	9.00E-01	5.61E-01	2.43E-01	1.10E+00	5.56E-01	3.28E-01
TCGA-AC-A6IW-01	3.06E+00	1.57E+00	1.32E+00	2.16E+00	2.29E+00	9.13E-01	2.13E+00	1.98E+00	2.22E+00	2.05E+00
TCGA-AC-A6IX-01	9.02E-01	1.15E+00	8.80E-01	1.02E+00	9.19E-01	8.52E-01	7.64E-01	8.28E-01	6.46E-01	8.35E-01
TCGA-AC-A6NO-01	2.43E-01	3.66E-01	9.28E-01	5.45E-01	1.14E+00	7.53E-01	3.64E-01	1.01E+00	9.03E-01	6.32E-01
TCGA-AC-A7VB-01	0.00E+00	1.56E-01	1.08E+00	3.82E-01	7.65E-01	3.42E-01	4.39E-01	8.38E-01	6.19E-01	6.13E-01
TCGA-AC-A7VC-01	0.00E+00	0.00E+00	7.05E-01	4.35E-01	5.89E-01	3.82E-01	4.01E-01	7.01E-01	7.48E-01	2.99E-01
TCGA-AC-A8OP-01	1.02E+00	1.08E+00	2.05E+00	2.80E+00	2.48E+00	1.92E+00	2.94E+00	1.67E+00	1.72E+00	2.66E+00
TCGA-AC-A8OQ-01	5.21E-01	9.13E-01	1.81E+00	1.31E+00	1.92E+00	1.01E+00	1.22E+00	1.92E+00	2.12E+00	1.42E+00
TCGA-AC-A8OR-01	7.35E-02	1.51E-01	8.34E-01	6.32E-01	8.47E-01	3.02E-01	5.52E-01	8.73E-01	5.20E-01	9.67E-01
TCGA-AC-A8OS-01	4.82E-01	7.39E-01	9.31E-01	1.15E+00	7.90E-01	8.32E-01	1.18E+00	1.12E+00	1.37E+00	9.60E-01
TCGA-AN-A0XL-01	0.00E+00	3.66E-01	7.08E-01	1.01E+00	4.74E-01	6.74E-01	3.16E-01	8.19E-01	8.44E-01	1.01E+00
TCGA-AN-A0XN-01	5.81E-01	4.71E-01	1.18E+00	2.60E+00	1.93E+00	1.83E+00	1.69E+00	2.03E+00	2.05E+00	3.08E+00
TCGA-AN-A0XO-01	2.86E-01	7.85E-01	4.56E-01	8.96E-01	4.50E-01	6.53E-01	9.68E-01	8.98E-01	8.48E-01	6.95E-01
TCGA-AN-A0XP-01	4.48E-01	4.03E-01	5.04E-01	4.96E-01	5.52E-01	7.45E-01	5.87E-01	4.59E-01	5.51E-01	5.33E-01
TCGA-AN-A0XR-01	3.15E-01	4.12E-01	8.36E-01	5.44E-01	8.21E-01	0.00E+00	8.01E-01	8.26E-01	7.58E-01	1.00E+00
TCGA-AN-A0XS-01	1.11E-01	6.30E-01	7.97E-01	8.20E-01	7.65E-01	1.36E-01	6.41E-01	7.84E-01	7.61E-01	8.52E-01
TCGA-AN-A0XT-01	1.23E-01	1.41E-01	8.21E-01	3.23E-01	5.71E-01	2.87E-01	6.67E-02	7.02E-01	2.62E-01	3.07E-01
TCGA-AN-A0XU-01	7.64E-01	4.54E-01	9.62E-01	2.14E+00	2.39E+00	9.57E-01	1.95E+00	1.82E+00	1.43E+00	2.74E+00
TCGA-AN-A0XV-01	5.67E-01	4.00E-01	8.44E-01	6.04E-01	7.45E-01	6.83E-01	7.17E-01	6.66E-01	8.78E-01	8.02E-01
TCGA-AN-A0XW-01	9.15E+00	3.93E+00	8.60E-01	5.57E+00	7.84E+00	6.67E-02	7.72E-01	4.75E-01	2.07E+00	8.48E-01
TCGA-AO-A03M-01	2.20E+01	1.17E+01	9.58E-01	1.93E+01	1.99E+01	7.03E-01	1.07E+00	1.12E+00	7.97E+00	1.98E+00
TCGA-AO-A03N-01	1.76E+00	2.28E+00	1.09E+00	2.44E+00	1.29E+00	5.38E-01	5.84E-01	1.08E+00	8.38E-01	1.25E+00
TCGA-AO-A03U-01	2.04E-01	8.75E-02	0.00E+00	2.46E-01	1.49E-01	1.38E-01	3.33E-02	1.77E-01	1.35E-01	2.01E-01
TCGA-AO-A03V-01	9.92E-01	9.61E-01	8.38E-01	8.94E-01	8.07E-01	4.21E-01	1.11E+00	1.27E+00	1.04E+00	9.01E-01
TCGA-AO-A0JG-01	1.21E-01	2.43E-01	0.00E+00	5.66E-01	5.10E-01	5.89E-01	7.42E-01	5.53E-01	4.79E-01	7.03E-01
TCGA-AO-A124-01	6.42E-01	5.47E-01	9.78E-01	2.91E+00	2.75E+00	1.00E+00	2.75E+00	1.84E+00	1.53E+00	2.92E+00
TCGA-AO-A125-01	2.48E-01	3.80E-01	1.02E+00	7.42E-01	8.82E-01	6.85E-01	8.18E-01	6.48E-01	9.26E-01	6.09E-01
TCGA-AO-A126-01	0.00E+00	3.66E-01	8.88E-01	2.73E-01	6.90E-01	2.40E-01	3.62E-01	8.31E-01	7.76E-01	3.13E-01
TCGA-AO-A128-01	1.04E+00	1.51E+00	1.62E+01	2.94E+00	2.12E+01	1.76E+01	9.11E-01	1.12E+01	5.03E+00	2.01E+00
TCGA-AO-A129-01	1.36E+00	9.76E-01	7.65E-01	1.58E+00	1.72E+00	8.71E-01	2.02E+00	1.56E+00	9.64E-01	2.15E+00
TCGA-AO-A12A-01	0.00E+00	3.24E-01	4.41E-01	2.86E-01	5.15E-01	3.34E-01	2.43E-01	6.52E-01	1.64E-01	4.11E-01
TCGA-AO-A12B-01	0.00E+00	1.84E-01	6.18E-01	4.53E-01	5.78E-01	6.10E-01	5.91E-01	7.32E-01	3.33E-01	4.00E-01
TCGA-AO-A12D-01	7.20E-01	1.57E+00	8.68E-01	1.61E+00	6.63E-01	2.02E-01	3.60E-01	9.92E-01	1.34E+00	4.36E-01
TCGA-AO-A12E-01	2.42E-01	2.51E-01	8.09E-01	3.93E-01	7.65E-01	1.47E-01	6.67E-01	6.75E-01	7.53E-01	6.03E-01
TCGA-AO-A12F-01	0.00E+00	0.00E+00	8.61E-01	5.96E-01	6.31E-01	4.91E-01	9.23E-01	8.39E-01	6.99E-01	6.95E-01
TCGA-AO-A12G-01	3.98E-01	5.74E-01	1.10E+00	6.49E-01	6.48E-01	5.85E-01	4.35E-01	8.86E-01	3.24E-01	2.82E-01
TCGA-AO-A12H-01	0.00E+00	2.02E-01	1.05E+00	5.83E-01	7.21E-01	3.10E-01	5.16E-01	1.12E+00	6.48E-01	4.35E-01
TCGA-AO-A1KO-01	0.00E+00	1.24E-01	6.67E-02	3.93E-01	3.60E-01	3.30E-01	3.80E-01	4.84E-01	2.12E-01	3.15E-01
TCGA-AO-A1KR-01	6.15E-01	5.16E-01	9.65E-01	1.45E+00	1.52E+00	9.57E-01	1.39E+00	1.05E+00	1.10E+00	1.57E+00
TCGA-AO-A1KT-01	6.31E-02	3.86E-01	9.98E-01	6.89E-01	6.96E-01	9.19E-01	7.26E-01	8.31E-01	1.03E+00	7.42E-01
TCGA-AQ-A04H-01	5.07E-01	2.98E-01	1.87E+00	8.89E-01	1.12E+00	8.00E-01	9.31E-01	1.49E+00	9.01E-01	1.25E+00
TCGA-AQ-A0Y5-01	5.52E-01	7.47E-01	9.33E-01	8.16E-01	5.02E-01	5.93E-01	9.04E-01	9.80E-01	9.52E-01	1.10E+00
TCGA-AQ-A1H2-01	2.27E-01	2.96E-01	6.87E-01	6.03E-01	5.77E-01	4.35E-01	4.86E-01	8.85E-01	6.84E-01	5.35E-01
TCGA-AQ-A1H3-01	0.00E+00	0.00E+00	9.54E-01	2.38E-01	4.25E-01	3.56E-01	5.52E-01	1.01E+00	3.13E-01	2.60E-01
TCGA-AQ-A54O-01	0.00E+00	3.31E-01	7.06E-01	2.95E-01	7.05E-01	2.27E-01	4.55E-01	4.36E-01	3.38E-01	5.00E-01
TCGA-AQ-A7U7-01	1.29E+00	1.19E+00	1.07E+00	1.58E+00	1.07E+00	8.42E-01	5.37E-01	4.90E-01	9.70E-01	3.20E-01
TCGA-AR-A0TP-01	4.97E-01	4.46E-01	3.73E-01	8.93E-01	1.32E+00	1.12E+00	1.33E+00	9.35E-01	9.61E-01	1.75E+00
TCGA-AR-A0TQ-01	3.27E-01	6.77E-01	6.99E-01	6.81E-01	6.77E-01	4.44E-01	6.82E-01	5.32E-01	8.72E-01	8.94E-01
TCGA-AR-A0TR-01	1.50E-01	3.31E-01	8.56E-01	3.92E-01	6.32E-01	6.58E-01	6.50E-01	6.98E-01	6.21E-01	6.43E-01
TCGA-AR-A0TS-01	5.94E-01	5.39E-01	9.43E-01	8.16E-01	1.64E+00	7.80E-01	1.71E+00	1.49E+00	1.15E+00	1.48E+00
TCGA-AR-A0TT-01	4.79E-01	6.28E-01	1.11E+00	1.02E+00	1.09E+00	6.53E-01	1.09E+00	1.18E+00	9.95E-01	1.09E+00
TCGA-AR-A0TU-01	7.35E-01	4.24E-01	7.02E-01	1.53E+00	8.77E-01	9.44E-01	1.67E+00	1.17E+00	1.08E+00	1.50E+00
TCGA-AR-A0TV-01	4.47E-01	4.95E-01	1.33E+00	9.92E-01	1.26E+00	5.79E-01	1.19E+00	1.67E+00	1.05E+00	1.02E+00
TCGA-AR-A0TW-01	4.67E-01	2.77E-01	1.07E+00	1.15E+00	1.17E+00	5.38E-01	8.17E-01	1.26E+00	1.06E+00	1.28E+00
TCGA-AR-A0TX-01	5.61E+00	4.97E+00	7.61E-01	7.17E+00	5.69E+00	5.55E-01	6.83E-01	1.06E+00	4.40E+00	8.41E-01
TCGA-AR-A0TZ-01	8.35E-01	8.49E-01	1.13E+00	6.77E-01	8.35E-01	7.35E-02	7.22E-01	8.10E-01	1.02E+00	7.64E-01
TCGA-AR-A0U0-01	5.38E-01	5.52E-01	5.58E-01	1.18E+00	9.26E-01	2.99E-01	7.43E-01	8.91E-01	8.16E-01	1.02E+00
TCGA-AR-A0U1-01	8.78E-01	2.89E-01	5.82E-01	1.62E+00	1.44E+00	1.05E+00	1.94E+00	1.60E+00	1.02E+00	2.34E+00
TCGA-AR-A0U2-01	0.00E+00	2.01E-01	1.14E+00	7.41E-01	1.08E+00	6.29E-01	7.79E-01	1.09E+00	1.10E+00	8.56E-01
TCGA-AR-A0U3-01	0.00E+00	0.00E+00	9.99E-01	7.14E-01	7.78E-01	4.64E-01	4.89E-01	7.06E-01	8.37E-01	7.43E-01
TCGA-AR-A0U4-01	1.88E+00	1.14E+00	9.87E-01	2.51E+00	1.83E+00	9.12E-01	2.33E+00	2.10E+00	1.79E+00	2.72E+00
TCGA-AR-A1AH-01	8.27E-01	4.60E-01	1.15E+00	1.41E+00	1.53E+00	1.20E+00	1.57E+00	1.66E+00	1.36E+00	2.08E+00
TCGA-AR-A1AI-01	1.07E+00	7.05E-01	1.38E+00	1.12E+00	1.15E+00	8.61E-01	1.06E+00	1.26E+00	1.01E+00	7.03E-01
TCGA-AR-A1AJ-01	5.69E-01	8.81E-01	8.34E-01	8.55E-01	3.56E-01	4.53E-01	5.55E-01	7.41E-01	5.12E-01	4.37E-01
TCGA-AR-A1AK-01	9.40E-01	1.09E+00	1.00E+00	1.25E+00	6.79E-01	3.80E-01	5.45E-01	1.18E+00	9.55E-01	6.75E-01
TCGA-AR-A1AL-01	3.28E-01	5.13E-01	5.46E-01	3.83E-01	5.31E-01	5.65E-01	2.87E-01	4.91E-01	4.83E-01	6.98E-01
TCGA-AR-A1AN-01	4.05E-01	3.29E-01	8.01E-01	4.91E-01	3.58E-01	3.95E-01	6.40E-01	6.99E-01	5.97E-01	1.01E-01
TCGA-AR-A1AO-01	9.91E-01	7.66E-01	9.63E-01	1.59E+00	1.45E+00	6.20E-01	2.40E+00	1.04E+00	9.14E-01	1.81E+00
TCGA-AR-A1AP-01	5.67E-01	6.13E-01	1.13E+00	8.32E-01	6.25E-01	3.23E-01	7.91E-01	9.42E-01	7.64E-01	4.69E-01
TCGA-AR-A1AQ-01	3.35E-01	3.05E-01	7.80E-01	4.53E-01	8.05E-01	7.90E-01	6.59E-01	4.69E-01	4.22E-01	5.09E-01
TCGA-AR-A1AR-01	6.09E-01	4.47E-01	9.26E-01	1.13E+00	1.89E+00	3.94E-01	1.01E+00	1.37E+00	1.08E+00	1.31E+00
TCGA-AR-A1AS-01	3.61E-01	5.64E-01	7.47E-01	7.44E-01	9.72E-01	3.01E-01	4.80E-01	6.11E-01	5.13E-01	6.92E-01
TCGA-AR-A1AT-01	1.79E-01	1.59E-01	7.12E-01	4.98E-01	9.25E-01	4.79E-01	9.30E-01	5.86E-01	3.09E-01	7.95E-01
TCGA-AR-A1AU-01	2.35E-01	4.65E-01	6.61E-01	5.07E-01	4.05E-01	4.14E-01	6.22E-01	4.29E-01	4.41E-01	4.76E-01
TCGA-AR-A1AV-01	1.62E-01	5.89E-01	1.04E+00	4.71E-01	5.41E-01	6.31E-01	6.70E-01	9.15E-01	7.46E-01	7.23E-01
TCGA-AR-A1AW-01	1.91E-01	2.38E-01	8.54E-01	7.60E-01	8.33E-01	5.67E-01	7.46E-01	1.02E+00	9.89E-01	1.17E+00
TCGA-AR-A1AX-01	2.07E-01	5.05E-01	6.86E-01	6.22E-01	7.93E-01	4.22E-01	6.31E-01	9.14E-01	7.17E-01	4.69E-01
TCGA-AR-A1AY-01	5.20E-01	6.14E-01	1.24E+00	1.01E+00	8.92E-01	5.17E-01	9.70E-01	9.56E-01	1.13E+00	7.05E-01
TCGA-AR-A24H-01	1.12E+00	4.24E-01	9.28E-01	2.48E+00	1.73E+00	8.71E-01	2.31E+00	1.90E+00	1.68E+00	2.27E+00
TCGA-AR-A24K-01	0.00E+00	0.00E+00	9.42E-01	7.07E-01	8.06E-01	7.45E-01	7.94E-01	7.36E-01	9.01E-01	7.82E-01
TCGA-AR-A24L-01	4.76E-01	2.61E-01	4.74E-01	1.01E+00	1.12E+00	5.85E-01	1.26E+00	1.23E+00	4.79E-01	9.86E-01
TCGA-AR-A24M-01	1.64E-01	1.91E-01	5.34E-01	4.73E-01	6.13E-01	7.82E-01	5.16E-01	5.17E-01	3.36E-01	5.30E-01
TCGA-AR-A24N-01	2.02E-01	5.75E-01	9.63E-01	4.90E-01	8.86E-01	7.58E-01	6.60E-01	7.47E-01	8.20E-01	8.27E-01
TCGA-AR-A24O-01	1.49E-01	1.33E-01	8.06E-01	4.39E-01	5.96E-01	1.89E-01	5.24E-01	7.65E-01	6.36E-01	3.18E-01
TCGA-AR-A24P-01	0.00E+00	1.21E-01	5.71E-01	5.53E-01	5.12E-01	2.40E-01	4.11E-01	5.97E-01	7.04E-01	2.72E-01
TCGA-AR-A24Q-01	1.39E+00	1.19E+00	1.53E+00	2.99E+00	2.83E+00	1.24E+00	3.66E+00	2.44E+00	1.94E+00	4.13E+00
TCGA-AR-A24R-01	0.00E+00	2.62E-01	6.60E-01	2.72E-01	4.56E-01	5.47E-01	5.54E-01	4.44E-01	6.11E-01	5.34E-01
TCGA-AR-A24S-01	3.98E-01	6.00E-01	8.50E-01	6.24E-01	1.03E+00	8.96E-01	9.41E-01	6.46E-01	7.68E-01	1.06E+00
TCGA-AR-A24T-01	2.30E-01	3.02E-01	6.46E-01	4.13E-01	4.63E-01	1.47E-01	2.90E-01	9.64E-01	5.89E-01	4.28E-01
TCGA-AR-A24U-01	6.00E-01	8.15E-01	7.58E-01	6.98E-01	4.94E-01	0.00E+00	5.10E-01	4.97E-01	6.93E-01	4.03E-01
TCGA-AR-A24V-01	3.55E-01	3.02E-01	7.06E-01	6.03E-01	4.83E-01	4.14E-01	3.93E-01	5.71E-01	8.16E-01	5.58E-01
TCGA-AR-A24W-01	0.00E+00	2.23E-01	6.06E-01	4.56E-01	5.90E-01	0.00E+00	3.72E-01	3.53E-01	5.43E-01	2.07E-01
TCGA-AR-A24X-01	0.00E+00	0.00E+00	7.40E-01	2.81E-01	6.78E-01	5.26E-01	2.95E-01	1.09E+00	1.19E+00	5.94E-01
TCGA-AR-A24Z-01	3.21E-01	4.73E-01	8.82E-01	8.79E-01	1.19E+00	7.35E-02	7.36E-01	1.17E+00	8.76E-01	1.21E+00
TCGA-AR-A250-01	1.93E+00	1.35E+00	1.37E+00	1.38E+00	1.36E+00	5.86E-01	8.30E-01	1.50E+00	1.69E+00	1.52E+00
TCGA-AR-A251-01	1.27E+00	6.15E-01	8.85E-01	2.92E+00	3.20E+00	1.25E+00	2.92E+00	2.65E+00	2.16E+00	3.48E+00
TCGA-AR-A252-01	1.21E-01	1.33E-01	6.64E-01	2.86E-01	5.67E-01	6.46E-01	1.36E-01	4.21E-01	4.73E-01	3.82E-01
TCGA-AR-A254-01	3.16E-01	3.97E-01	1.09E+00	8.17E-01	6.80E-01	0.00E+00	5.22E-01	8.64E-01	9.60E-01	6.82E-01
TCGA-AR-A255-01	7.90E-01	9.60E-01	9.10E-01	9.84E-01	1.01E+00	6.97E-01	9.42E-01	9.32E-01	9.60E-01	9.70E-01
TCGA-AR-A256-01	1.08E+00	1.20E+00	1.10E+00	3.19E+00	2.97E+00	1.43E+00	2.85E+00	3.10E+00	2.30E+00	3.39E+00
