Sample Names	MutationType	ID83A	ID83B
TCGA-3C-AALI-01	1:Del:C:2	0.9999747293630513	2.5270636948717006e-05
TCGA-3C-AALI-01	1:Del:C:3	0.9999835109191526	1.648908084744215e-05
TCGA-3C-AALI-01	1:Del:C:4	0.999841235298337	0.00015876470166300007
TCGA-3C-AALI-01	1:Del:C:5	0.7127578143804064	0.2872421856195936
TCGA-3C-AALI-01	1:Del:T:0	0.00018857049697153428	0.9998114295030285
TCGA-3C-AALI-01	1:Del:T:1	0.9997589177502421	0.00024108224975801404
TCGA-3C-AALI-01	1:Del:T:2	0.9999730709817014	2.692901829862353e-05
TCGA-3C-AALI-01	1:Del:T:3	0.9999842431430377	1.5756856962258584e-05
TCGA-3C-AALI-01	1:Del:T:4	0.9999257100832551	7.4289916744862e-05
TCGA-3C-AALI-01	1:Del:T:5	0.8836440629942223	0.1163559370057777
TCGA-3C-AALI-01	1:Ins:C:0	1.3425401785649243e-05	0.9999865745982144
TCGA-3C-AALI-01	1:Ins:C:1	2.866999887351282e-06	0.9999971330001127
TCGA-3C-AALI-01	1:Ins:C:2	4.5872337027099275e-06	0.9999954127662973
TCGA-3C-AALI-01	1:Ins:C:3	6.215033159155967e-06	0.9999937849668408
TCGA-3C-AALI-01	1:Ins:C:4	3.576337858494135e-06	0.9999964236621414
TCGA-3C-AALI-01	1:Ins:C:5	1.7656268325000624e-06	0.9999982343731676
TCGA-3C-AALI-01	1:Ins:T:0	4.065877784839219e-06	0.9999959341222152
TCGA-3C-AALI-01	1:Ins:T:1	5.861750639539633e-07	0.9999994138249361
TCGA-3C-AALI-01	1:Ins:T:2	2.9241112103754345e-06	0.9999970758887897
TCGA-3C-AALI-01	1:Ins:T:3	3.4605897690492313e-06	0.999996539410231
TCGA-3C-AALI-01	1:Ins:T:4	1.0903401834977494e-05	0.999989096598165
TCGA-3C-AALI-01	1:Ins:T:5	3.398963246540353e-07	0.9999996601036754
TCGA-3C-AALI-01	2:Del:R:0	1.5947916513029867e-07	0.9999998405208349
TCGA-3C-AALI-01	2:Del:R:1	7.937810121689247e-06	0.9999920621898784
TCGA-3C-AALI-01	2:Del:R:2	0.0016535574933170616	0.9983464425066828
TCGA-3C-AALI-01	2:Del:R:3	0.0007970799136777393	0.9992029200863223
TCGA-3C-AALI-01	2:Del:R:4	0.00021802176060921802	0.9997819782393907
TCGA-3C-AALI-01	2:Del:R:5	0.06290263333478582	0.9370973666652143
TCGA-3C-AALI-01	3:Del:R:0	0.004168029251941339	0.9958319707480586
TCGA-3C-AALI-01	3:Del:R:1	1.52286396721621e-05	0.9999847713603279
TCGA-3C-AALI-01	3:Del:R:2	0.00023869317797172083	0.9997613068220284
TCGA-3C-AALI-01	3:Del:R:3	0.06290263333478582	0.9370973666652143
TCGA-3C-AALI-01	3:Del:R:4	0.06290263348252492	0.937097366517475
TCGA-3C-AALI-01	3:Del:R:5	0.06290263348252492	0.937097366517475
TCGA-3C-AALI-01	4:Del:R:0	1.2201326896207238e-06	0.9999987798673103
TCGA-3C-AALI-01	4:Del:R:1	0.018625725178947766	0.9813742748210522
TCGA-3C-AALI-01	4:Del:R:2	0.06290263348252492	0.937097366517475
TCGA-3C-AALI-01	4:Del:R:3	0.06290263333478582	0.9370973666652143
