Samples	ID1	ID2	ID7	ID8	ID15	ID83B	ID83C
TCGA-AC-A2FG-01	0	0	0	1	0	2	0
TCGA-AC-A2FO-01	0	0	0	0	0	0	3
TCGA-AC-A2QH-01	0	0	0	0	0	0	6
TCGA-AC-A3HN-01	0	0	0	0	0	0	1
TCGA-AC-A3OD-01	0	0	0	0	0	0	2
TCGA-AC-A3QP-01	0	0	0	0	0	0	2
TCGA-AC-A3QQ-01	0	0	0	0	0	1	0
TCGA-AC-A3W5-01	0	2	0	6	0	0	0
TCGA-AC-A3YI-01	0	0	0	0	0	0	1
TCGA-AC-A3YJ-01	0	0	0	3	0	0	0
TCGA-AC-A4ZE-01	5	0	0	0	0	0	0
TCGA-AC-A5EH-01	2	0	0	0	0	0	5
TCGA-AC-A5EI-01	1	1	0	3	0	0	3
TCGA-AC-A5XS-01	0	0	0	0	0	7	0
TCGA-AC-A5XU-01	0	2	0	3	0	0	0
TCGA-AC-A62V-01	0	0	0	3	0	0	4
TCGA-AC-A62X-01	2	0	0	2	0	0	0
TCGA-AC-A62Y-01	2	0	0	0	0	3	0
TCGA-AC-A6IV-01	0	0	0	0	0	0	1
TCGA-AC-A6IW-01	0	0	0	0	0	0	5
TCGA-AC-A6IX-01	0	0	0	0	0	0	3
TCGA-AC-A6NO-01	0	0	0	0	0	3	0
TCGA-AC-A7VB-01	0	0	0	4	0	0	0
TCGA-AC-A7VC-01	0	0	0	1	0	0	0
TCGA-AC-A8OP-01	3	0	0	0	0	0	6
TCGA-AC-A8OQ-01	0	2	0	0	0	1	3
TCGA-AC-A8OR-01	0	0	0	3	0	0	0
TCGA-AC-A8OS-01	0	0	0	4	0	0	0
TCGA-AN-A0XL-01	0	0	0	4	0	0	0
TCGA-AN-A0XN-01	0	0	0	11	0	0	0
TCGA-AN-A0XO-01	0	0	0	2	0	0	0
TCGA-AN-A0XP-01	1	0	0	1	0	2	0
TCGA-AN-A0XR-01	0	0	0	4	0	0	0
TCGA-AN-A0XS-01	0	0	0	1	0	0	2
TCGA-AN-A0XU-01	0	0	0	13	0	0	0
TCGA-AN-A0XV-01	0	0	0	0	0	1	2
TCGA-AN-A0XW-01	2	0	0	0	0	0	0
TCGA-AO-A03U-01	0	0	0	0	0	0	2
TCGA-AO-A03V-01	0	0	0	0	0	1	0
TCGA-AO-A0JG-01	0	0	0	0	0	0	1
TCGA-AO-A124-01	2	0	0	11	0	0	0
TCGA-AO-A125-01	0	0	0	0	0	0	1
TCGA-AO-A126-01	0	1	0	0	0	0	0
TCGA-AO-A128-01	0	10	21	0	0	0	11
TCGA-AO-A129-01	0	0	0	8	0	0	0
TCGA-AO-A12A-01	0	0	0	0	0	0	2
TCGA-AO-A12B-01	0	0	0	0	0	2	0
TCGA-AO-A12D-01	0	0	0	0	0	1	0
TCGA-AO-A12E-01	0	0	0	0	0	3	0
TCGA-AO-A12F-01	0	0	0	0	0	4	0
TCGA-AO-A12G-01	3	0	0	0	0	4	0
TCGA-AO-A12H-01	0	0	0	2	0	0	0
TCGA-AO-A1KR-01	0	0	0	3	0	0	0
TCGA-AO-A1KT-01	0	0	0	4	0	0	0
TCGA-AQ-A04H-01	0	0	0	0	3	0	0
TCGA-AQ-A0Y5-01	0	0	0	3	0	0	0
TCGA-AQ-A1H2-01	0	0	0	0	0	3	0
TCGA-AQ-A1H3-01	0	0	0	0	0	0	5
TCGA-AQ-A54O-01	0	0	0	0	0	1	0
TCGA-AQ-A7U7-01	0	0	0	0	3	0	0
TCGA-AR-A0TP-01	0	0	0	11	0	0	0
TCGA-AR-A0TQ-01	0	0	0	2	0	0	0
TCGA-AR-A0TR-01	0	0	0	0	4	0	0
TCGA-AR-A0TS-01	0	0	0	2	0	3	0
TCGA-AR-A0TT-01	0	0	0	0	0	0	3
TCGA-AR-A0TU-01	0	0	0	8	0	0	0
TCGA-AR-A0TV-01	0	0	0	0	0	4	0
TCGA-AR-A0TW-01	0	0	0	3	0	0	0
TCGA-AR-A0TX-01	0	0	0	0	3	0	0
TCGA-AR-A0TZ-01	0	0	0	0	2	0	0
TCGA-AR-A0U0-01	1	0	0	3	0	0	0
TCGA-AR-A0U1-01	0	0	0	1	0	0	1
TCGA-AR-A0U2-01	4	0	0	0	0	0	0
TCGA-AR-A0U3-01	1	0	0	0	0	2	0
TCGA-AR-A0U4-01	0	0	0	7	0	0	0
TCGA-AR-A1AH-01	3	0	0	0	0	0	5
TCGA-AR-A1AI-01	0	0	0	0	0	2	0
TCGA-AR-A1AJ-01	0	0	0	0	0	0	2
TCGA-AR-A1AK-01	0	0	0	0	0	0	2
TCGA-AR-A1AL-01	0	0	0	0	3	0	0
TCGA-AR-A1AN-01	0	0	0	0	0	1	0
