MutationType	ID1	ID2	ID7	ID11	ID13	ID15	ID83C	ID83D	ID83F	ID83H
5:Del:R:3	0.00001890	0.00015815	0.00040662	0.00000000	0.00000640	0.00000125	0.00000789	0.00002102	0.00002446	0.00002566
5:Del:R:4	0.00000311	0.00008470	0.00012588	0.00000000	0.00000146	0.00000000	0.00000789	0.00002102	0.00002446	0.00002566
5:Del:R:5	0.00003130	0.00002120	0.00002080	0.00000008	0.00000235	0.00000174	0.00000789	0.00002102	0.00002446	0.00002566
2:Ins:R:0	0.00040204	0.00033185	0.00003040	0.00019047	0.01061841	0.00000000	0.00000630	0.00642401	0.00547428	0.00800388
2:Ins:R:1	0.00000788	0.00027166	0.00039763	0.00000000	0.00180137	0.00000000	0.00000311	0.01542384	0.00619909	0.00865514
2:Ins:R:2	0.00022135	0.00103534	0.00007010	0.00024788	0.00068852	0.00000000	0.00191800	0.01063153	0.00452422	0.00719100
2:Ins:R:3	0.00051427	0.00038133	0.00314704	0.00037236	0.00074354	0.00000000	0.00000676	0.00001942	0.00002240	0.00002833
2:Ins:R:4	0.00291310	0.00197742	0.00182828	0.00044238	0.00021335	0.00000000	0.00000534	0.00202585	0.00005049	0.00097149
2:Ins:R:5	0.01812158	0.01363338	0.00024477	0.00028880	0.00084658	0.00000000	0.00018323	0.00227355	0.00054372	0.00037470
3:Ins:R:0	0.00000031	0.00005780	0.00000000	0.00000000	0.00008210	0.00000000	0.00039901	0.00820904	0.00213249	0.00415340
3:Ins:R:1	0.00025469	0.00122705	0.00000551	0.00020708	0.00368833	0.00000000	0.00283587	0.00652217	0.00177238	0.00154357
3:Ins:R:2	0.00004410	0.00021007	0.00005470	0.00022153	0.00020251	0.00000000	0.00085602	0.00111548	0.00111690	0.00189014
3:Ins:R:3	0.00016670	0.00000302	0.00017783	0.00002180	0.00002370	0.00000000	0.00000789	0.00002102	0.00002446	0.00002566
3:Ins:R:4	0.00008890	0.00014181	0.00041561	0.00000000	0.00000349	0.00000000	0.00000574	0.00046889	0.00033466	0.00038689
3:Ins:R:5	0.00124870	0.00186471	0.00076928	0.00009010	0.00003540	0.00000000	0.00003719	0.00248628	0.00028315	0.00070524
4:Ins:R:0	0.00000000	0.00001680	0.00000000	0.00015962	0.00111880	0.00000000	0.00000451	0.00159657	0.00151650	0.00275583
4:Ins:R:1	0.00074438	0.00120373	0.00002610	0.00037764	0.00269163	0.00000000	0.00088474	0.00675102	0.00249404	0.00546445
4:Ins:R:2	0.00007550	0.00001220	0.00019482	0.00000000	0.00006930	0.00000000	0.00000548	0.00130026	0.00030544	0.00034579
4:Ins:R:3	0.00015754	0.00013417	0.00027374	0.00000000	0.00000064	0.00000136	0.00000789	0.00002102	0.00002446	0.00002566
4:Ins:R:4	0.00031965	0.00024939	0.00025876	0.00000000	0.00001210	0.00000145	0.00000789	0.00002102	0.00002446	0.00002566
4:Ins:R:5	0.00100132	0.00219354	0.00000874	0.00000000	0.00000031	0.00000000	0.00017509	0.00048664	0.00024941	0.00014728
5:Ins:R:0	0.00000000	0.00000000	0.00000000	0.00066606	0.00259023	0.00000000	0.00000340	0.00933899	0.00554253	0.00638066
5:Ins:R:1	0.00144313	0.00013566	0.00000000	0.00115191	0.01350195	0.00000000	0.00000648	0.01711851	0.00648171	0.01426469
5:Ins:R:2	0.00025483	0.00000553	0.00000884	0.00036601	0.00004590	0.00000118	0.00000789	0.00002102	0.00002446	0.00002566
5:Ins:R:3	0.00023709	0.00009770	0.00000446	0.00000083	0.00004610	0.00000162	0.00000789	0.00002102	0.00002446	0.00002566
5:Ins:R:4	0.00026187	0.00000215	0.00001060	0.00000225	0.00000243	0.00000000	0.00020098	0.00033830	0.00002187	0.00061139
5:Ins:R:5	0.00011983	0.00011563	0.00000428	0.00000184	0.00004330	0.00000000	0.00003857	0.00077420	0.00020394	0.00015809
2:Del:M:1	0.00119782	0.00017555	0.00312706	0.00038206	0.00887241	0.00000000	0.00000280	0.01603690	0.00629011	0.06963423
3:Del:M:1	0.00008190	0.00000055	0.00025476	0.00020044	0.00114008	0.00000000	0.00000150	0.00871744	0.00807373	0.04393324
3:Del:M:2	0.00147959	0.00294406	0.00463564	0.00030174	0.00045031	0.00000000	0.00182163	0.01240843	0.00241205	0.02000070
4:Del:M:1	0.00008380	0.00014700	0.00018383	0.00000000	0.00127080	0.00000000	0.00351495	0.01539834	0.00699332	0.03200288
4:Del:M:2	0.00014548	0.00055061	0.00101904	0.00000000	0.00015972	0.00000000	0.00108352	0.00476001	0.00317233	0.01156792
4:Del:M:3	0.00016068	0.00069357	0.00071732	0.00078987	0.00027058	0.00000000	0.00014679	0.00316959	0.00088567	0.00187113
5:Del:M:1	0.00000082	0.00062496	0.00002360	0.00028279	0.01174078	0.00066088	0.00788399	0.21731706	0.14173203	0.00000622
5:Del:M:2	0.00000000	0.00011771	0.00024577	0.00037277	0.00705542	0.00043241	0.00000999	0.04816542	0.04959385	0.00679421
5:Del:M:3	0.00000000	0.00005670	0.00006160	0.00075013	0.00216598	0.00026613	0.00111358	0.01160229	0.01028741	0.00075081
5:Del:M:4	0.00003880	0.00046284	0.00006820	0.00013028	0.00028174	0.00024793	0.00009058	0.00611005	0.00257572	0.00160404
5:Del:M:5	0.00066512	0.00236732	0.00173836	0.00051895	0.01313191	0.00013983	0.00000446	0.00190514	0.00137693	0.00173906
