Samples	ID83A	ID83B
TCGA-AC-A2FO-01	0.00E+00	0.00E+00
TCGA-AC-A2QH-01	0.00E+00	0.00E+00
TCGA-AC-A3HN-01	0.00E+00	0.00E+00
TCGA-AC-A3OD-01	0.00E+00	0.00E+00
TCGA-AC-A3QP-01	0.00E+00	0.00E+00
TCGA-AC-A3QQ-01	0.00E+00	0.00E+00
TCGA-AC-A3W5-01	2.81E-01	2.81E-01
TCGA-AC-A3YI-01	0.00E+00	0.00E+00
TCGA-AC-A3YJ-01	1.73E-01	1.73E-01
TCGA-AC-A4ZE-01	0.00E+00	0.00E+00
TCGA-AC-A5EH-01	0.00E+00	0.00E+00
TCGA-AC-A5EI-01	2.00E-01	2.00E-01
TCGA-AC-A5XS-01	2.00E-01	1.95E-01
TCGA-AC-A5XU-01	1.62E-01	1.62E-01
TCGA-AC-A62V-01	0.00E+00	0.00E+00
TCGA-AC-A62X-01	0.00E+00	0.00E+00
TCGA-AC-A62Y-01	2.38E-01	2.38E-01
TCGA-AC-A6IV-01	0.00E+00	0.00E+00
TCGA-AC-A6IW-01	1.60E-01	1.60E-01
TCGA-AC-A6IX-01	1.67E-01	1.67E-01
TCGA-AC-A6NO-01	1.62E-01	1.62E-01
TCGA-AC-A7VB-01	0.00E+00	0.00E+00
TCGA-AC-A7VC-01	0.00E+00	0.00E+00
TCGA-AC-A8OP-01	2.40E-01	2.40E-01
TCGA-AC-A8OQ-01	3.51E-01	3.51E-01
TCGA-AC-A8OR-01	0.00E+00	0.00E+00
TCGA-AC-A8OS-01	0.00E+00	0.00E+00
TCGA-AN-A0XL-01	0.00E+00	0.00E+00
TCGA-AN-A0XN-01	1.11E-01	1.11E-01
TCGA-AN-A0XO-01	0.00E+00	0.00E+00
TCGA-AN-A0XP-01	1.55E-01	1.55E-01
TCGA-AN-A0XR-01	0.00E+00	0.00E+00
TCGA-AN-A0XS-01	0.00E+00	0.00E+00
TCGA-AN-A0XU-01	1.47E-01	1.47E-01
