MutationType	ID1	ID2	ID3	ID7	ID8	ID15
5:Ins:R:3	0.00023709	0.00009770	0.00003320	0.00000446	0.00007090	0.00000162
5:Ins:R:4	0.00026187	0.00000215	0.00000787	0.00001060	0.00000674	0.00000000
5:Ins:R:5	0.00011983	0.00011563	0.00000348	0.00000428	0.00019055	0.00000000
2:Del:M:1	0.00119782	0.00017555	0.00693076	0.00312706	0.00491367	0.00000000
3:Del:M:1	0.00008190	0.00000055	0.00034461	0.00025476	0.00929034	0.00000000
3:Del:M:2	0.00147959	0.00294406	0.00030285	0.00463564	0.00430269	0.00000000
4:Del:M:1	0.00008380	0.00014700	0.00007350	0.00018383	0.00580955	0.00000000
4:Del:M:2	0.00014548	0.00055061	0.00034022	0.00101904	0.00159159	0.00000000
4:Del:M:3	0.00016068	0.00069357	0.00013046	0.00071732	0.00109834	0.00000000
5:Del:M:1	0.00000082	0.00062496	0.00136963	0.00002360	0.28072426	0.00066088
5:Del:M:2	0.00000000	0.00011771	0.00175127	0.00024577	0.12361016	0.00043241
5:Del:M:3	0.00000000	0.00005670	0.00077496	0.00006160	0.04613041	0.00026613
5:Del:M:4	0.00003880	0.00046284	0.00064056	0.00006820	0.01636726	0.00024793
5:Del:M:5	0.00066512	0.00236732	0.00036297	0.00173836	0.01281488	0.00013983
