Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
TCGA-BH-A0DI-01	8	7	6	10	4	0	0	5	0	13	9	0	0	0
TCGA-BH-A0DK-01	3	2	0	5	0	6	0	9	0	0	4	0	24	0
TCGA-BH-A0DL-01	11	0	7	17	0	0	4	0	11	0	0	0	0	15
TCGA-BH-A0DO-01	3	4	0	4	0	0	7	0	6	0	0	6	0	0
TCGA-BH-A0DP-01	2	0	0	2	3	0	1	0	0	7	0	0	0	4
TCGA-BH-A0DQ-01	1	0	0	9	0	0	0	0	6	0	0	19	0	0
TCGA-BH-A0DT-01	3	0	0	2	0	0	0	6	2	0	2	0	0	0
TCGA-BH-A0DV-01	2	0	0	0	0	0	0	0	2	0	2	9	0	0
TCGA-BH-A0DX-01	21	10	7	0	6	0	7	21	0	0	5	0	0	0
TCGA-BH-A0DZ-01	51	60	46	0	42	0	18	0	0	0	0	0	0	0
TCGA-BH-A0E0-01	0	2	0	10	2	0	4	6	0	0	0	0	0	0
TCGA-BH-A0E1-01	1	4	0	0	1	0	4	9	0	0	0	0	0	0
TCGA-BH-A0E9-01	1	0	0	13	0	0	0	0	0	0	6	0	0	8
TCGA-BH-A0EA-01	2	1	0	2	0	0	4	3	12	0	3	0	0	5
TCGA-BH-A0EI-01	0	0	0	7	3	4	0	0	0	0	0	10	0	0
TCGA-BH-A0H3-01	1	0	0	0	0	0	0	8	0	0	3	0	0	5
TCGA-BH-A0H5-01	42	35	28	0	31	0	19	0	0	0	14	0	0	0
TCGA-BH-A0H7-01	1	1	3	0	0	3	1	7	0	0	1	0	0	0
TCGA-BH-A0H9-01	3	0	0	0	0	4	2	3	0	7	4	0	0	0
TCGA-BH-A0HA-01	14	12	0	70	15	121	12	59	79	0	0	0	0	0
TCGA-BH-A0HI-01	4	1	0	7	3	0	3	6	0	0	0	0	11	0
TCGA-BH-A0HK-01	15	8	0	9	16	0	7	0	8	0	0	0	0	0
TCGA-BH-A0HN-01	3	0	2	9	3	0	6	4	0	0	0	7	0	0
TCGA-BH-A0HP-01	88	83	81	0	89	0	16	0	0	0	0	0	0	0
TCGA-BH-A0RX-01	3	0	0	25	0	0	12	9	0	0	0	0	0	0
TCGA-BH-A0W3-01	2	2	0	4	0	0	0	0	0	0	0	10	5	0
TCGA-BH-A0W4-01	4	2	0	0	0	6	10	10	0	0	7	0	0	0
TCGA-BH-A0W5-01	0	0	2	10	0	6	3	0	0	0	0	0	8	0
TCGA-BH-A0W7-01	76	64	65	0	40	0	16	0	0	0	0	0	0	0
TCGA-BH-A0WA-01	7	7	0	9	14	0	0	0	0	34	10	0	0	32
TCGA-BH-A18F-01	10	0	0	5	12	0	10	19	0	0	0	0	11	0
TCGA-BH-A18G-01	0	0	0	301	0	612	54	107	594	0	0	0	0	0
TCGA-BH-A18H-01	4	3	3	0	6	6	2	6	16	0	8	0	0	0
TCGA-BH-A18I-01	2	2	0	11	3	0	5	0	0	0	0	0	0	8
TCGA-BH-A18J-01	42	20	18	7	11	0	0	0	13	0	0	0	0	0
TCGA-BH-A18K-01	12	6	10	5	0	0	6	0	0	0	14	0	0	15
TCGA-BH-A18L-01	0	5	0	19	0	0	5	12	13	0	11	0	0	0
TCGA-BH-A18M-01	2	2	2	7	2	0	0	0	0	0	3	0	0	0
TCGA-BH-A18N-01	0	0	2	11	0	9	2	4	0	0	0	0	0	15
TCGA-BH-A18P-01	119	101	61	0	73	0	41	0	0	0	43	0	0	0
TCGA-BH-A18Q-01	0	5	6	0	6	0	0	9	11	22	0	22	0	26
TCGA-BH-A18R-01	3	0	4	0	5	0	0	6	0	14	0	0	0	10
TCGA-BH-A18S-01	0	4	0	0	0	9	5	0	8	0	0	0	11	0
TCGA-BH-A18T-01	5	5	10	0	0	0	0	10	19	45	8	0	0	0
TCGA-BH-A18U-01	33	19	13	19	24	3	6	8	6	7	2	3	2	33
TCGA-BH-A18V-01	22	41	40	0	20	0	0	0	0	63	16	0	48	0
TCGA-BH-A1EO-01	5	0	0	18	0	0	5	9	0	0	0	13	0	0
TCGA-BH-A1ET-01	1	0	0	8	0	5	0	0	6	0	0	0	13	0
TCGA-BH-A1EU-01	0	1	0	0	5	5	0	13	0	0	0	0	0	10
TCGA-BH-A1EV-01	22	23	19	19	16	0	18	0	0	0	12	0	0	0
TCGA-BH-A1EW-01	1	0	0	0	6	0	3	3	4	0	4	0	0	0
TCGA-BH-A1EX-01	0	0	0	6	2	6	8	0	0	7	0	0	0	6
TCGA-BH-A1EY-01	4	4	10	6	0	8	9	6	0	8	0	0	0	0
TCGA-BH-A1F0-01	0	7	15	8	5	0	6	0	0	0	11	0	13	30
TCGA-BH-A1F2-01	7	3	6	21	7	0	0	0	0	0	0	17	10	0
TCGA-BH-A1F5-01	3	0	0	10	4	0	6	7	0	0	0	14	0	0
TCGA-BH-A1F6-01	3	0	4	9	0	0	0	6	8	9	4	0	0	10
TCGA-BH-A1F8-01	58	32	28	15	33	0	13	0	0	0	13	0	0	0
TCGA-BH-A1FC-01	12	18	5	11	8	0	7	23	17	21	8	0	0	0
TCGA-BH-A1FE-01	3	0	2	3	3	0	3	0	0	0	0	12	0	0
TCGA-BH-A1FG-01	0	0	3	4	2	0	0	5	7	0	0	0	0	0
TCGA-BH-A1FH-01	1	0	0	0	5	0	0	21	0	0	6	0	0	0
TCGA-BH-A1FJ-01	0	0	0	8	6	0	0	15	0	0	0	16	0	0
TCGA-BH-A1FL-01	1	0	0	7	2	3	3	0	0	0	0	10	0	0
TCGA-BH-A1FM-01	9	5	6	12	5	0	14	11	0	0	0	0	0	0
TCGA-BH-A1FN-01	30	28	21	7	0	0	0	0	0	0	12	31	17	0
TCGA-BH-A1FR-01	0	1	0	4	2	0	1	0	3	6	0	0	0	0
TCGA-BH-A1FU-01	4	9	9	6	4	17	9	6	8	12	7	9	1	17
TCGA-BH-A201-01	1	0	0	3	3	8	3	0	0	0	0	0	9	0
TCGA-BH-A202-01	3	0	0	7	0	5	0	0	0	0	0	0	13	0
TCGA-BH-A203-01	11	12	0	22	0	0	19	21	14	0	0	0	0	0
TCGA-BH-A204-01	0	5	0	9	3	5	4	0	0	0	3	23	0	0
TCGA-BH-A208-01	12	15	7	11	6	0	4	0	0	0	10	17	0	0
TCGA-BH-A209-01	25	31	35	0	16	0	12	0	0	0	0	0	0	0
TCGA-BH-A28Q-01	2	2	0	11	2	0	0	0	9	0	0	0	0	0
TCGA-BH-A2L8-01	190	151	121	0	79	0	28	0	0	0	59	0	0	0
TCGA-BH-A42U-01	7	3	0	0	3	0	5	7	0	0	7	0	0	0
TCGA-BH-A42V-01	17	13	4	5	9	0	7	0	0	0	0	0	0	0
TCGA-BH-A5IZ-01	4	0	8	9	6	0	0	19	0	18	15	0	17	0
TCGA-BH-A5J0-01	24	6	12	13	21	0	14	0	0	0	0	12	0	0
TCGA-BH-A6R8-01	1	2	0	6	5	0	5	12	6	0	0	0	0	0
TCGA-BH-A6R9-01	0	0	0	5	0	0	4	0	0	11	5	0	0	0
TCGA-BH-A8FY-01	0	5	0	4	5	0	0	0	10	9	11	0	0	12
TCGA-BH-A8FZ-01	7	5	0	10	0	8	0	0	11	20	0	0	13	17
TCGA-BH-A8G0-01	0	0	0	6	2	5	4	0	0	0	0	0	0	0
TCGA-BH-AB28-01	4	0	0	11	0	0	0	0	14	0	4	0	0	10
TCGA-C8-A12K-01	11	38	9	0	11	13	0	18	0	40	8	25	0	0
TCGA-C8-A12L-01	3	4	0	0	0	0	6	11	22	20	0	23	0	0
TCGA-C8-A12M-01	0	0	0	12	0	0	14	14	18	14	10	0	0	0
TCGA-C8-A12N-01	1	3	0	8	0	4	0	4	0	0	0	0	7	0
TCGA-C8-A12O-01	0	0	0	16	4	0	7	17	0	0	5	0	0	0
TCGA-C8-A12P-01	43	44	28	24	29	0	21	0	0	0	13	0	0	0
TCGA-C8-A12Q-01	28	18	29	6	15	10	20	0	0	0	13	0	0	0
TCGA-C8-A12T-01	50	54	40	0	21	0	9	23	0	0	17	0	0	0
TCGA-C8-A12U-01	5	3	4	19	0	0	0	6	0	0	0	24	0	0
TCGA-C8-A12V-01	0	0	5	0	0	0	4	13	8	12	0	0	0	10
TCGA-C8-A12W-01	0	4	0	25	0	0	14	34	0	0	0	0	0	0
TCGA-C8-A12X-01	0	0	4	23	0	0	5	0	0	0	7	14	0	12
TCGA-C8-A12Y-01	2	0	0	14	0	9	0	6	15	0	0	0	0	0
TCGA-C8-A12Z-01	6	8	5	11	6	0	3	5	6	0	11	0	0	0
TCGA-C8-A130-01	3	4	0	15	0	9	10	13	0	0	0	0	0	0
TCGA-C8-A131-01	5	0	0	8	4	0	12	0	17	0	7	21	0	0
TCGA-C8-A132-01	7	14	12	0	6	0	0	20	0	0	0	0	0	25
TCGA-C8-A133-01	4	0	0	0	0	0	3	3	0	0	7	0	7	9
TCGA-C8-A134-01	0	7	0	0	0	0	5	12	17	37	0	0	39	0
TCGA-C8-A135-01	4	4	4	23	0	0	8	14	20	0	0	0	0	0
TCGA-C8-A137-01	6	8	8	0	9	0	11	16	0	0	4	0	0	0
TCGA-C8-A138-01	0	0	0	9	0	5	0	9	0	0	12	0	17	0
TCGA-C8-A1HE-01	13	6	2	6	5	0	3	0	0	0	4	0	0	15
TCGA-C8-A1HF-01	6	3	4	6	3	0	3	0	0	0	4	0	0	10
TCGA-C8-A1HG-01	3	4	0	23	5	11	5	0	0	11	7	0	0	0
TCGA-C8-A1HI-01	7	7	0	0	5	0	0	39	14	0	0	0	0	0
TCGA-C8-A1HJ-01	0	9	6	12	0	19	0	0	0	51	0	0	27	0
TCGA-C8-A1HK-01	6	14	12	6	0	0	11	0	13	0	0	11	0	0
TCGA-C8-A1HL-01	0	0	0	7	2	0	0	0	11	0	0	17	0	0
TCGA-C8-A1HM-01	80	140	101	19	61	0	23	0	0	0	24	0	0	0
TCGA-C8-A1HN-01	3	0	0	16	3	8	0	15	0	15	10	0	0	0
TCGA-C8-A1HO-01	7	0	4	3	5	0	2	12	0	0	0	0	16	0
TCGA-C8-A26V-01	17	21	16	11	0	0	12	0	0	0	0	0	0	19
TCGA-C8-A26W-01	11	5	13	5	7	7	12	0	0	0	9	0	0	0
TCGA-C8-A26X-01	3	0	0	21	0	0	8	0	0	0	0	25	18	0
TCGA-C8-A26Y-01	254	232	188	0	126	0	61	0	0	0	55	0	0	0
TCGA-C8-A26Z-01	0	0	0	17	0	0	4	0	0	10	8	0	10	0
TCGA-C8-A273-01	0	2	0	0	0	0	4	13	5	0	0	0	0	0
TCGA-C8-A274-01	95	55	48	12	28	0	20	0	23	0	0	0	0	0
TCGA-C8-A275-01	24	29	36	7	12	0	13	0	0	0	21	0	0	0
TCGA-C8-A278-01	5	3	6	5	3	0	7	14	0	10	0	0	0	0
TCGA-C8-A27A-01	5	3	0	6	0	0	7	0	0	0	3	7	9	0
TCGA-C8-A27B-01	9	56	19	9	12	0	0	0	0	57	0	0	0	0
TCGA-C8-A3M7-01	60	15	36	21	49	0	24	0	0	0	16	0	0	0
TCGA-C8-A3M8-01	4	0	12	7	0	10	4	7	0	0	0	18	0	0
TCGA-C8-A8HP-01	68	59	59	11	39	0	37	0	0	0	0	0	0	0
TCGA-C8-A8HQ-01	104	74	72	0	43	0	53	26	0	0	0	0	0	0
TCGA-C8-A8HR-01	0	0	0	14	0	8	0	0	0	10	9	0	0	19
TCGA-C8-A9FZ-01	2	3	0	11	0	0	0	0	10	0	3	0	0	0
TCGA-D8-A13Y-01	8	0	14	8	6	12	0	8	0	0	15	11	0	0
TCGA-D8-A13Z-01	3	11	5	21	4	0	6	0	0	34	0	19	0	0
TCGA-D8-A140-01	16	0	6	13	18	0	7	23	36	0	15	0	0	0
TCGA-D8-A141-01	0	0	0	6	0	0	0	0	0	0	3	5	0	7
TCGA-D8-A142-01	0	6	15	26	5	0	11	39	0	28	13	23	0	0
TCGA-D8-A143-01	3	0	0	12	0	0	0	9	0	14	7	16	0	0
TCGA-D8-A145-01	0	3	0	15	0	0	0	0	8	0	0	0	0	21
TCGA-D8-A146-01	3	0	0	9	5	9	7	5	0	0	3	0	0	0
TCGA-D8-A147-01	11	29	22	0	12	0	8	16	0	60	18	0	0	24
TCGA-D8-A1J8-01	180	141	164	50	93	0	77	0	204	0	52	0	0	0
TCGA-D8-A1J9-01	74	54	65	0	23	0	40	0	0	0	22	0	0	0
TCGA-D8-A1JB-01	4	4	0	6	0	7	3	0	0	0	8	31	0	0
TCGA-D8-A1JC-01	20	17	21	0	18	0	13	25	0	0	8	0	0	0
TCGA-D8-A1JD-01	8	12	0	0	6	0	6	11	26	17	0	23	13	0
TCGA-D8-A1JE-01	2	0	0	4	0	0	0	14	9	0	0	0	11	0
TCGA-D8-A1JF-01	3	3	0	0	0	0	4	16	23	0	0	0	0	0
TCGA-D8-A1JG-01	0	8	0	17	0	0	28	15	0	0	14	0	87	0
TCGA-D8-A1JH-01	1	0	0	4	2	0	0	0	0	0	0	0	0	17
TCGA-D8-A1JI-01	0	0	0	0	5	0	3	8	12	0	4	10	0	0
TCGA-D8-A1JJ-01	22	8	12	12	8	0	12	0	0	0	0	0	0	24
TCGA-D8-A1JK-01	11	10	0	9	18	20	0	0	21	0	16	47	41	56
TCGA-D8-A1JL-01	3	5	10	0	0	20	7	18	0	21	8	35	0	0
TCGA-D8-A1JM-01	0	0	0	9	0	0	9	12	0	0	7	0	16	0
TCGA-D8-A1JN-01	57	25	34	11	31	0	36	0	0	0	14	0	0	0
TCGA-D8-A1JP-01	0	6	11	0	11	15	0	0	0	23	0	44	0	25
TCGA-D8-A1JS-01	1	0	0	4	0	4	0	7	0	0	8	0	5	0
TCGA-D8-A1JT-01	0	0	0	9	0	0	0	9	0	0	5	18	0	0
TCGA-D8-A1JU-01	1	0	0	2	0	6	2	9	0	0	0	0	0	0
TCGA-D8-A1X5-01	2	4	0	14	3	10	0	5	0	0	4	0	24	0
TCGA-D8-A1X6-01	3	0	0	19	0	0	0	0	0	9	0	0	11	0
TCGA-D8-A1X7-01	0	2	0	0	4	0	4	10	5	0	7	0	0	0
TCGA-D8-A1X9-01	0	5	5	0	0	11	0	15	10	0	0	20	36	0
TCGA-D8-A1XA-01	0	0	0	7	4	6	3	0	0	0	0	8	0	0
TCGA-D8-A1XB-01	6	2	0	13	0	0	7	0	8	0	0	0	0	14
TCGA-D8-A1XC-01	0	0	0	11	6	0	0	0	7	0	0	0	10	0
TCGA-D8-A1XF-01	0	3	0	17	6	0	11	0	7	0	0	0	7	0
TCGA-D8-A1XG-01	1	0	0	0	0	4	4	0	13	5	0	0	0	0
TCGA-D8-A1XK-01	0	0	0	105	0	921	0	0	0	0	0	0	0	274
TCGA-D8-A1XL-01	4	6	0	6	0	18	7	11	0	32	0	0	26	0
TCGA-D8-A1XM-01	9	3	6	5	13	0	12	16	0	0	0	0	0	0
TCGA-D8-A1XO-01	5	5	0	4	0	0	0	4	0	0	0	0	0	11
TCGA-D8-A1XQ-01	19	27	0	119	0	372	48	130	201	115	0	0	0	0
TCGA-D8-A1XR-01	1	0	0	7	4	0	0	0	11	0	0	0	0	9
TCGA-D8-A1XS-01	3	2	0	3	3	0	7	4	4	0	0	0	0	0
TCGA-D8-A1XT-01	0	0	3	15	7	0	0	0	0	0	7	0	0	13
TCGA-D8-A1XU-01	8	0	2	6	0	0	0	0	0	0	7	0	0	12
TCGA-D8-A1XV-01	1	0	5	8	0	0	0	18	0	0	4	0	0	0
TCGA-D8-A1XW-01	7	6	6	0	0	0	6	21	0	38	7	0	0	31
TCGA-D8-A1XY-01	4	0	0	22	8	0	3	7	10	0	5	0	0	0
TCGA-D8-A1XZ-01	0	5	11	24	0	0	12	23	21	0	0	0	0	0
TCGA-D8-A1Y0-01	4	6	8	0	0	8	0	16	9	0	12	0	18	0
TCGA-D8-A1Y1-01	13	0	0	87	10	21	11	91	0	0	0	0	0	0
TCGA-D8-A1Y2-01	6	3	0	4	0	0	2	7	0	0	0	0	0	0
TCGA-D8-A1Y3-01	3	0	0	27	0	0	5	7	0	0	0	25	0	0
TCGA-D8-A27E-01	0	0	0	0	2	0	2	0	3	4	0	0	0	0
TCGA-D8-A27F-01	3	6	6	0	0	7	0	11	0	10	0	14	13	0
TCGA-D8-A27G-01	342	310	182	0	187	0	73	0	0	0	82	0	0	0
TCGA-D8-A27H-01	9	37	7	0	11	11	0	19	0	58	8	0	0	0
TCGA-D8-A27I-01	4	4	0	4	0	0	3	11	0	0	0	0	0	10
TCGA-D8-A27K-01	0	2	0	6	0	0	1	3	0	0	0	0	0	9
TCGA-D8-A27L-01	9	0	10	8	11	0	7	0	0	0	8	0	0	0
TCGA-D8-A27M-01	3	7	8	9	0	0	8	0	0	22	0	0	33	0
TCGA-D8-A27N-01	0	0	0	20	4	0	7	11	0	0	4	0	14	0
TCGA-D8-A27P-01	1	0	0	6	2	0	0	0	9	0	0	0	0	12
TCGA-D8-A27R-01	1	4	0	3	2	0	5	0	6	0	0	14	0	0
TCGA-D8-A27T-01	3	0	0	15	5	0	0	0	0	0	0	8	0	0
TCGA-D8-A27V-01	48	44	60	0	24	0	28	0	0	0	31	0	0	0
TCGA-D8-A27W-01	3	0	5	21	0	0	6	13	7	0	0	0	0	0
TCGA-D8-A3Z6-01	5	2	0	9	0	4	0	0	6	0	0	11	0	0
TCGA-D8-A4Z1-01	19	4	3	2	0	0	9	0	0	0	9	0	0	0
TCGA-D8-A73U-01	70	19	33	13	44	0	9	0	0	0	19	0	0	0
TCGA-D8-A73W-01	3	0	0	18	0	0	0	0	17	0	0	0	0	14
TCGA-D8-A73X-01	6	0	0	10	0	12	7	17	0	0	0	0	0	0
TCGA-E2-A105-01	4	0	5	18	8	9	0	0	0	0	0	23	0	0
TCGA-E2-A107-01	5	0	0	5	0	7	5	10	0	0	4	0	0	0
TCGA-E2-A108-01	43	53	28	0	23	0	0	13	0	0	0	0	0	26
TCGA-E2-A109-01	0	0	0	18	8	0	4	0	14	0	0	19	21	0
TCGA-E2-A10A-01	3	3	0	3	4	0	0	0	5	0	0	10	0	0
TCGA-E2-A10B-01	12	8	7	8	9	7	5	0	0	0	0	0	0	17
TCGA-E2-A10C-01	160	116	81	0	94	0	43	0	0	0	25	0	0	0
TCGA-E2-A10F-01	3	2	0	10	1	4	2	3	0	0	5	0	0	0
TCGA-E2-A14N-01	7	11	4	7	0	0	8	0	0	27	8	18	0	19
TCGA-E2-A14O-01	1	0	0	12	0	0	11	0	0	0	0	12	0	0
TCGA-E2-A14P-01	13	5	6	23	11	12	12	0	0	0	13	0	17	0
TCGA-E2-A14Q-01	4	0	0	15	0	0	0	0	0	0	0	12	9	0
TCGA-E2-A14R-01	1	9	12	3	6	12	7	11	13	32	2	17	13	5
TCGA-E2-A14T-01	4	4	0	6	0	0	7	8	6	0	0	0	0	8
TCGA-E2-A14V-01	20	22	24	15	7	0	20	26	0	0	7	0	0	0
TCGA-E2-A14W-01	0	5	11	0	0	0	8	0	11	27	13	0	0	27
TCGA-E2-A14X-01	4	2	0	15	3	0	6	7	0	0	0	0	0	0
TCGA-E2-A14Y-01	14	10	9	10	7	0	0	0	0	0	0	0	0	0
TCGA-E2-A14Z-01	16	0	10	10	12	0	12	0	0	0	0	18	17	0
TCGA-E2-A150-01	4	4	0	14	0	0	7	0	27	0	0	0	35	0
TCGA-E2-A152-01	36	29	46	0	26	0	34	0	0	0	0	0	0	0
TCGA-E2-A153-01	5	0	0	7	0	0	2	8	0	0	4	0	0	0
TCGA-E2-A154-01	0	0	0	11	0	0	12	14	0	0	0	0	21	0
TCGA-E2-A155-01	9	4	0	14	0	0	6	0	11	0	5	0	13	19
TCGA-E2-A156-01	3	0	2	3	3	0	0	4	0	0	0	10	0	0
TCGA-E2-A158-01	0	0	9	0	0	0	6	17	11	40	0	0	0	14
TCGA-E2-A159-01	45	28	74	14	20	0	0	0	0	0	20	0	0	0
TCGA-E2-A15A-01	0	0	3	10	7	0	0	8	9	0	0	0	25	0
TCGA-E2-A15C-01	2	0	0	17	0	0	0	0	10	0	6	15	0	0
TCGA-E2-A15D-01	0	1	0	6	0	4	2	10	6	0	0	0	5	0
TCGA-E2-A15E-01	1	5	0	6	0	10	0	11	0	0	0	7	0	0
TCGA-E2-A15F-01	0	2	0	9	0	0	0	7	0	0	10	0	0	0
TCGA-E2-A15G-01	6	0	0	8	0	9	8	16	0	0	8	18	0	0
TCGA-E2-A15H-01	0	0	2	11	0	0	3	0	11	0	6	0	0	0
TCGA-E2-A15I-01	3	0	0	11	5	0	0	10	0	0	4	0	10	0
TCGA-E2-A15J-01	0	0	0	9	2	0	0	0	0	0	3	8	0	0
TCGA-E2-A15K-01	0	0	3	12	0	0	0	12	9	0	17	0	0	0
TCGA-E2-A15L-01	0	4	0	8	2	4	3	11	0	0	2	0	0	0
TCGA-E2-A15M-01	14	6	16	25	6	8	0	0	0	0	10	23	0	0
TCGA-E2-A15O-01	1	0	0	0	2	0	4	21	6	0	0	0	0	0
TCGA-E2-A15P-01	1	0	0	8	0	6	0	0	0	0	6	7	0	0
TCGA-E2-A15R-01	3	0	0	16	0	0	8	0	0	0	9	11	0	0
TCGA-E2-A15S-01	7	0	5	0	0	12	0	18	0	11	4	11	0	0
TCGA-E2-A15T-01	1	2	0	5	0	0	2	19	0	0	4	0	0	7
TCGA-E2-A1AZ-01	7	7	19	0	0	0	19	0	10	0	0	17	0	0
TCGA-E2-A1B0-01	4	4	0	12	0	11	11	0	0	0	7	0	0	11
TCGA-E2-A1B1-01	8	13	4	6	16	0	0	10	0	0	9	0	0	0
TCGA-E2-A1B4-01	3	0	3	0	7	0	5	0	11	0	0	0	0	13
TCGA-E2-A1B5-01	12	4	5	8	0	0	8	0	0	0	0	0	0	9
TCGA-E2-A1B6-01	0	0	3	5	0	0	0	12	9	27	0	0	0	0
TCGA-E2-A1BC-01	0	0	7	8	0	0	0	0	9	0	5	12	0	0
TCGA-E2-A1BD-01	0	0	0	21	0	0	5	0	0	0	0	0	17	0
TCGA-E2-A1IE-01	0	0	0	7	0	0	0	6	0	0	4	13	0	0
TCGA-E2-A1IF-01	0	0	0	2	0	6	2	5	0	0	0	9	0	0
TCGA-E2-A1IG-01	5	0	0	4	10	0	11	22	0	0	5	0	0	0
TCGA-E2-A1IH-01	13	12	12	6	6	15	0	12	0	0	9	0	0	0
TCGA-E2-A1II-01	0	2	0	9	0	0	0	0	0	12	0	0	0	11
TCGA-E2-A1IJ-01	0	0	0	2	0	0	0	10	0	0	2	0	4	0
TCGA-E2-A1IK-01	0	2	0	0	0	0	9	6	0	0	0	0	0	0
TCGA-E2-A1IL-01	0	0	0	9	0	0	6	0	0	0	5	11	0	0
TCGA-E2-A1IN-01	68	69	45	16	37	0	13	0	0	0	0	0	0	0
TCGA-E2-A1IO-01	1	0	0	4	0	0	3	8	0	0	0	0	0	0
TCGA-E2-A1IU-01	4	1	0	2	0	0	12	0	0	12	0	0	0	0
TCGA-E2-A1L6-01	1	0	0	0	0	4	10	0	7	6	0	0	0	0
TCGA-E2-A1L7-01	0	3	0	0	3	10	0	26	0	0	4	16	19	0
TCGA-E2-A1L8-01	3	3	0	0	0	7	0	16	0	0	9	0	0	0
TCGA-E2-A1L9-01	3	0	0	6	0	0	3	0	5	9	2	0	0	0
TCGA-E2-A1LA-01	3	0	10	10	0	12	0	0	0	43	0	0	0	29
TCGA-E2-A1LB-01	6	5	12	0	14	0	3	9	6	0	0	0	0	0
TCGA-E2-A1LG-01	31	62	56	0	31	0	20	0	0	0	19	0	0	0
TCGA-E2-A1LH-01	11	32	17	8	15	22	0	18	0	67	10	0	31	0
TCGA-E2-A1LI-01	5	7	0	0	0	0	5	0	5	15	0	0	0	0
TCGA-E2-A1LK-01	0	4	0	36	0	0	14	0	0	0	0	0	0	0
TCGA-E2-A1LL-01	0	7	0	10	0	0	0	0	6	11	0	11	0	16
TCGA-E2-A2P6-01	52	32	0	17	49	0	21	0	15	0	0	0	0	0
TCGA-E2-A56Z-01	0	0	0	0	0	7	7	24	16	0	6	0	0	0
TCGA-E2-A570-01	0	1	0	10	0	0	0	0	0	0	11	0	0	8
TCGA-E2-A572-01	1	0	3	6	2	0	0	17	0	0	0	0	0	0
TCGA-E2-A573-01	0	0	6	11	4	0	0	0	14	13	0	0	11	13
TCGA-E2-A574-01	21	20	16	22	17	0	20	0	0	19	21	0	0	0
TCGA-E2-A576-01	0	0	0	16	0	0	7	22	13	0	12	0	0	0
TCGA-E2-A9RU-01	4	9	0	34	18	11	12	0	0	0	0	0	19	0
TCGA-E9-A1N3-01	1	2	0	0	0	0	0	6	8	0	0	8	6	0
TCGA-E9-A1N4-01	2	5	3	0	5	0	7	12	0	0	0	0	0	0
TCGA-E9-A1N5-01	8	5	0	0	0	0	0	0	13	0	0	0	0	13
TCGA-E9-A1N8-01	3	5	3	0	0	9	8	0	0	0	0	0	8	0
TCGA-E9-A1N9-01	7	0	0	16	0	0	0	0	0	20	0	0	11	12
TCGA-E9-A1NA-01	5	8	12	6	0	0	8	8	10	19	22	0	19	0
TCGA-E9-A1NE-01	3	3	0	3	0	0	0	0	11	24	4	0	14	0
TCGA-E9-A1NF-01	13	0	5	4	0	0	8	7	0	0	13	11	0	0
TCGA-E9-A1NG-01	1	0	0	3	0	0	1	4	4	0	0	8	0	0
TCGA-E9-A1NH-01	1	0	2	5	2	4	0	9	0	0	0	0	0	14
TCGA-E9-A1QZ-01	0	0	0	2	0	4	2	5	0	0	0	10	0	0
TCGA-E9-A1R0-01	3	3	4	13	3	0	6	0	0	0	3	0	0	0
TCGA-E9-A1R2-01	2	13	0	6	0	14	3	0	0	0	0	28	0	0
TCGA-E9-A1R3-01	3	0	0	4	0	4	3	3	0	8	0	0	0	0
TCGA-E9-A1R4-01	34	12	38	12	26	0	10	0	0	0	0	0	21	0
TCGA-E9-A1R5-01	2	0	4	0	0	6	5	28	0	0	6	0	0	0
TCGA-E9-A1R6-01	0	0	0	9	3	0	9	7	0	0	0	0	8	0
TCGA-E9-A1R7-01	6	0	4	7	0	0	0	0	8	0	7	17	0	14
TCGA-E9-A1RA-01	4	0	0	4	0	0	0	4	0	0	5	8	0	0
TCGA-E9-A1RB-01	0	0	0	9	0	11	0	0	0	0	0	10	8	0
TCGA-E9-A1RC-01	0	0	0	15	0	8	7	9	0	0	5	0	0	11
TCGA-E9-A1RD-01	4	0	2	5	1	0	0	0	4	4	3	0	0	0
TCGA-E9-A1RE-01	0	0	0	17	4	0	6	12	23	0	4	0	0	0
TCGA-E9-A1RF-01	4	11	9	15	7	0	7	19	19	47	0	0	32	0
TCGA-E9-A1RG-01	3	4	0	4	3	0	0	8	0	0	5	0	0	14
TCGA-E9-A1RH-01	5	9	0	17	4	11	7	8	0	22	10	0	18	0
TCGA-E9-A1RI-01	4	0	0	3	0	0	0	6	6	0	4	0	6	0
TCGA-E9-A226-01	10	21	7	10	18	0	13	0	0	0	0	0	0	0
TCGA-E9-A227-01	0	1	2	2	5	0	0	0	0	9	0	0	0	0
TCGA-E9-A228-01	4	6	0	26	9	0	0	0	0	0	7	0	0	0
TCGA-E9-A229-01	1	5	0	11	3	0	0	0	0	0	0	0	0	10
TCGA-E9-A22A-01	3	4	0	3	6	0	0	9	0	11	0	0	0	0
TCGA-E9-A22B-01	5	4	0	15	9	0	5	11	0	0	5	0	0	22
TCGA-E9-A22D-01	0	3	0	10	3	0	10	14	0	0	0	0	0	0
TCGA-E9-A22E-01	8	15	14	7	10	0	0	15	0	28	8	0	16	23
TCGA-E9-A22G-01	0	7	0	6	0	30	0	0	0	23	6	28	17	0
TCGA-E9-A22H-01	1	0	0	10	2	4	3	0	0	6	0	0	0	0
