Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
TCGA-A2-A25F-01	0	0	0	0	0	0	0	0	0	0	0	3	3	0
TCGA-A2-A3KD-01	1	0	0	4	1	3	0	7	0	0	2	0	0	0
TCGA-A2-A3XT-01	5	16	18	0	0	14	0	17	0	28	0	24	0	0
TCGA-A2-A3XU-01	1	0	0	11	0	6	0	4	0	0	0	9	0	0
TCGA-A2-A3XV-01	0	0	0	6	0	6	5	0	11	0	4	16	0	0
TCGA-A2-A3XW-01	1	0	0	3	0	0	4	0	0	0	0	0	0	9
TCGA-A2-A3XX-01	3	0	0	6	0	0	7	8	9	19	0	0	0	0
TCGA-A2-A3XZ-01	7	9	7	7	2	0	9	6	0	0	5	0	0	0
TCGA-A2-A3Y0-01	10	33	10	16	2	30	5	4	10	64	7	36	5	11
TCGA-A2-A4S1-01	4	3	0	20	0	12	0	0	0	16	0	0	43	0
TCGA-A2-A4S2-01	7	0	0	5	0	0	0	7	6	0	0	0	0	18
TCGA-A2-A4S3-01	6	0	13	10	7	9	4	19	17	0	0	0	22	0
TCGA-A7-A0CE-01	3	0	0	7	3	11	0	0	0	25	12	0	0	0
TCGA-A7-A0CH-01	0	0	0	2	2	0	1	0	0	0	2	10	0	0
TCGA-A7-A0D9-01	1	1	0	1	1	0	0	2	0	0	6	0	0	0
TCGA-A7-A0DA-01	8	11	0	12	0	0	9	0	0	74	0	0	25	48
TCGA-A7-A0DB-01	7	9	0	9	6	0	0	6	0	0	0	0	0	16
TCGA-A7-A13D-01	4	6	13	14	5	0	0	11	0	55	11	21	0	0
TCGA-A7-A13E-01	0	4	0	24	4	0	0	28	13	0	7	0	0	0
TCGA-A7-A13F-01	0	0	6	15	5	0	10	0	9	0	0	0	0	0
TCGA-A7-A13G-01	7	2	0	7	0	0	0	0	5	0	0	0	0	11
TCGA-A7-A26E-01	14	3	0	11	6	0	18	15	0	0	0	0	0	0
