MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
4:Ins:R:1	2.44E-09	2.32E-03	1.76E-03	6.88E-04	1.49E-03	1.18E-03
4:Ins:R:2	1.19E-05	5.03E-04	4.70E-05	6.64E-07	5.55E-04	1.61E-04
4:Ins:R:3	3.65E-08	2.75E-06	1.92E-06	8.14E-07	5.36E-07	3.82E-07
4:Ins:R:4	3.65E-08	2.75E-06	1.92E-06	8.14E-07	5.36E-07	3.82E-07
4:Ins:R:5	4.93E-08	1.43E-04	2.82E-04	1.55E-04	2.08E-04	1.19E-04
5:Ins:R:0	1.58E-09	3.11E-03	1.43E-03	4.25E-07	1.34E-03	1.15E-03
5:Ins:R:1	3.40E-09	3.04E-03	1.36E-03	1.05E-03	3.50E-03	2.53E-03
5:Ins:R:2	3.65E-08	2.75E-06	1.92E-06	8.14E-07	5.36E-07	3.82E-07
5:Ins:R:3	3.65E-08	2.75E-06	1.92E-06	8.14E-07	5.36E-07	3.82E-07
5:Ins:R:4	4.15E-08	5.70E-05	1.73E-04	1.27E-04	1.41E-04	4.92E-05
5:Ins:R:5	3.77E-08	1.71E-04	1.74E-04	1.79E-04	1.28E-04	1.81E-04
2:Del:M:1	3.18E-09	1.02E-02	6.00E-03	4.11E-03	1.05E-02	4.56E-03
3:Del:M:1	2.49E-09	1.36E-02	4.20E-06	5.86E-03	9.66E-03	4.57E-03
3:Del:M:2	2.95E-09	5.95E-03	1.67E-03	2.51E-03	3.19E-03	2.04E-03
4:Del:M:1	3.96E-09	8.80E-03	6.83E-04	1.23E-03	6.43E-03	3.32E-03
4:Del:M:2	2.59E-09	2.76E-03	1.35E-03	7.42E-06	1.89E-03	1.28E-03
4:Del:M:3	9.66E-10	8.58E-04	2.29E-04	3.71E-04	5.47E-04	4.07E-04
5:Del:M:1	3.95E-09	1.57E-02	1.70E-06	1.88E-05	2.77E-02	1.95E-02
5:Del:M:2	2.05E-09	1.22E-02	4.07E-06	1.14E-04	6.05E-03	6.35E-03
5:Del:M:3	2.24E-09	3.04E-03	8.60E-04	5.95E-07	1.78E-03	1.75E-03
5:Del:M:4	1.90E-09	1.26E-03	4.48E-04	6.02E-07	8.95E-04	6.48E-04
5:Del:M:5	8.08E-06	6.50E-04	1.18E-04	1.85E-04	1.15E-03	3.88E-04
