MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
2:Del:M:1	1.27E-06	1.51E-02	6.10E-03	1.39E-02	7.65E-07	1.08E-06	8.44E-04	3.88E-07	1.97E-06	2.36E-02	1.59E-02	6.81E-03	7.27E-03
3:Del:M:1	2.19E-02	1.40E-02	2.42E-02	1.25E-06	8.20E-07	7.20E-07	3.26E-03	9.12E-07	4.80E-03	2.12E-02	1.38E-02	9.58E-03	1.49E-02
3:Del:M:2	7.18E-06	1.12E-02	8.79E-03	6.25E-03	2.97E-06	4.09E-06	2.50E-03	1.31E-06	1.89E-03	9.96E-03	4.14E-03	5.98E-03	3.10E-03
4:Del:M:1	7.78E-03	1.87E-02	1.75E-02	1.32E-02	1.90E-06	1.43E-06	6.01E-04	2.90E-06	3.04E-03	1.12E-02	7.44E-03	1.18E-02	4.76E-03
4:Del:M:2	1.42E-06	7.73E-03	2.77E-03	3.11E-03	1.70E-06	1.74E-06	9.08E-09	9.91E-07	6.83E-04	5.24E-03	3.49E-03	2.11E-03	2.29E-03
4:Del:M:3	2.43E-03	1.82E-03	1.70E-03	5.58E-04	1.80E-06	1.18E-04	9.18E-05	6.16E-04	3.73E-04	1.14E-03	8.70E-04	4.24E-04	9.79E-04
5:Del:M:1	1.09E-07	7.24E-07	1.03E-06	1.49E-06	1.36E-06	1.48E-06	1.00E-07	5.65E-09	2.49E-02	1.08E-06	1.68E-02	5.27E-02	1.59E-06
5:Del:M:2	1.47E-06	1.57E-06	2.06E-06	2.52E-06	2.84E-06	7.08E-03	2.10E-07	1.90E-06	7.25E-03	1.05E-02	1.05E-02	2.43E-02	1.09E-02
5:Del:M:3	1.51E-06	3.55E-06	3.14E-06	3.23E-03	1.35E-06	1.67E-04	1.52E-08	2.36E-03	2.04E-03	3.34E-03	2.27E-03	7.71E-03	6.23E-03
5:Del:M:4	1.27E-06	2.55E-03	3.31E-03	2.37E-06	2.02E-06	6.27E-06	1.64E-08	2.85E-06	1.05E-03	2.89E-03	1.31E-03	3.53E-03	2.46E-03
5:Del:M:5	2.68E-04	1.03E-03	1.52E-04	5.58E-04	1.78E-06	2.18E-06	4.11E-04	1.01E-03	3.96E-04	1.34E-03	4.23E-04	8.02E-04	1.65E-03
