MutationType	ID1	ID2	ID7	ID13	ID83A	ID83B	ID83C	ID83D	ID83F	ID83G	ID83I	ID83J	ID83K	ID83L	ID83M	ID83O
2:Del:R:5	0.00000000	0.00000000	0.05704633	0.00006630	0.00000038	0.00000653	0.00000628	0.00000816	0.00001449	0.00000716	0.00001135	0.00002274	0.00002673	0.00002416	0.00002712	0.00003320
3:Del:R:0	0.00012804	0.00001250	0.00062541	0.00303967	0.00000330	0.00041012	0.00000000	0.00022261	0.00000196	0.00021463	0.02025991	0.00533315	0.02061369	0.04703030	0.10329055	0.07222533
3:Del:R:1	0.00501109	0.00500326	0.01168900	0.00118696	0.00000000	0.00772115	0.00000259	0.00718598	0.00001241	0.00223293	0.00211784	0.00046966	0.00213043	0.00134107	0.00646606	0.00127417
3:Del:R:2	0.00076938	0.00228989	0.00547485	0.00038438	0.00000012	0.00000469	0.00054655	0.00076429	0.00001785	0.00062231	0.00043940	0.00008680	0.00070450	0.00031396	0.00291496	0.00160441
3:Del:R:3	0.00037126	0.00040259	0.00345675	0.00006900	0.00000038	0.00000653	0.00000628	0.00000816	0.00001449	0.00000716	0.00001135	0.00002274	0.00002673	0.00002416	0.00002712	0.00003320
3:Del:R:4	0.00000000	0.00000000	0.00049254	0.00000309	0.00000038	0.00000653	0.00000628	0.00000816	0.00001449	0.00000716	0.00001135	0.00002274	0.00002673	0.00002416	0.00002712	0.00003320
3:Del:R:5	0.00000000	0.00000000	0.00043659	0.00009960	0.00000038	0.00000653	0.00000628	0.00000816	0.00001449	0.00000716	0.00001135	0.00002274	0.00002673	0.00002416	0.00002712	0.00003320
4:Del:R:0	0.00009970	0.00001210	0.00013088	0.00215535	0.00032466	0.00139152	0.00000180	0.00002742	0.00833413	0.00000191	0.03794518	0.01417524	0.01355688	0.03305193	0.03386437	0.04807456
4:Del:R:1	0.00090050	0.00211579	0.00339680	0.00002300	0.00000012	0.00000488	0.00000440	0.00075011	0.00001108	0.00001075	0.00059430	0.00015766	0.00203304	0.00035305	0.00125970	0.00122319
4:Del:R:2	0.00000323	0.00054329	0.00277739	0.00007920	0.00000038	0.00000653	0.00000628	0.00000816	0.00001449	0.00000716	0.00001135	0.00002274	0.00002673	0.00002416	0.00002712	0.00003320
4:Del:R:3	0.00000000	0.00000727	0.00043959	0.00003920	0.00000038	0.00000653	0.00000628	0.00000816	0.00001449	0.00000716	0.00001135	0.00002274	0.00002673	0.00002416	0.00002712	0.00003320
4:Del:R:4	0.00000000	0.00000000	0.00020181	0.00000947	0.00000038	0.00000653	0.00000628	0.00000816	0.00001449	0.00000716	0.00001135	0.00002274	0.00002673	0.00002416	0.00002712	0.00003320
4:Del:R:5	0.00002890	0.00021041	0.00025076	0.00006300	0.00000038	0.00000653	0.00000628	0.00000816	0.00001449	0.00000716	0.00001135	0.00002274	0.00002673	0.00002416	0.00002712	0.00003320
5:Del:R:0	0.00000835	0.00003850	0.00008550	0.02009754	0.00000019	0.00000130	0.00000089	0.00000336	0.00000067	0.00000162	0.00000273	0.77749728	0.00000307	0.00001743	0.00000437	0.00000692
5:Del:R:1	0.00019068	0.00297751	0.00347673	0.00298053	0.00000038	0.00000653	0.00000628	0.00000816	0.00001449	0.00000716	0.00001135	0.00002274	0.00002673	0.00002416	0.00002712	0.00003320
5:Del:R:2	0.00012636	0.00039753	0.00116890	0.00006990	0.00000038	0.00000653	0.00000628	0.00000816	0.00001449	0.00000716	0.00001135	0.00002274	0.00002673	0.00002416	0.00002712	0.00003320
5:Del:R:3	0.00001890	0.00015815	0.00040662	0.00000640	0.00000038	0.00000653	0.00000628	0.00000816	0.00001449	0.00000716	0.00001135	0.00002274	0.00002673	0.00002416	0.00002712	0.00003320
5:Del:R:4	0.00000311	0.00008470	0.00012588	0.00000146	0.00000038	0.00000653	0.00000628	0.00000816	0.00001449	0.00000716	0.00001135	0.00002274	0.00002673	0.00002416	0.00002712	0.00003320
5:Del:R:5	0.00003130	0.00002120	0.00002080	0.00000235	0.00000038	0.00000653	0.00000628	0.00000816	0.00001449	0.00000716	0.00001135	0.00002274	0.00002673	0.00002416	0.00002712	0.00003320
2:Ins:R:0	0.00040204	0.00033185	0.00003040	0.01061841	0.00000007	0.01517306	0.00614463	0.03348194	0.00504896	0.00000460	0.00742099	0.00065480	0.00533166	0.01252030	0.00192254	0.01228940
2:Ins:R:1	0.00000788	0.00027166	0.00039763	0.00180137	0.00062181	0.00919762	0.00000387	0.00001440	0.00334307	0.00000349	0.00099777	0.00002171	0.01317367	0.00711102	0.04629114	0.02856948
