MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
3:Del:R:0	1.00E-06	5.31E-06	1.20E-05	2.35E-05	1.05E-04	6.04E-07	1.79E-03	1.12E-02	1.01E-06	1.81E-02	1.85E-02	4.41E-02	1.97E-02	1.49E-02
3:Del:R:1	4.20E-06	1.04E-06	2.52E-06	1.43E-06	2.58E-06	2.50E-06	1.02E-03	1.38E-05	3.55E-04	1.30E-03	2.95E-06	2.41E-03	6.43E-03	1.70E-03
3:Del:R:2	9.83E-07	9.49E-07	2.12E-06	2.56E-03	5.27E-04	2.58E-04	1.03E-07	4.28E-04	8.78E-05	8.23E-05	6.87E-04	3.62E-04	7.20E-04	1.73E-04
3:Del:R:3	1.35E-06	1.34E-06	2.71E-06	1.89E-06	2.16E-06	2.39E-06	2.03E-07	2.69E-06	4.84E-07	1.93E-06	5.08E-07	1.24E-06	1.18E-06	1.59E-06
3:Del:R:4	1.35E-06	1.34E-06	2.71E-06	1.89E-06	2.16E-06	2.39E-06	2.03E-07	2.69E-06	4.84E-07	1.93E-06	5.08E-07	1.24E-06	1.18E-06	1.59E-06
3:Del:R:5	1.35E-06	1.34E-06	2.71E-06	1.89E-06	2.16E-06	2.39E-06	2.03E-07	2.69E-06	4.84E-07	1.93E-06	5.08E-07	1.24E-06	1.18E-06	1.59E-06
4:Del:R:0	1.05E-03	8.56E-07	2.14E-06	4.03E-06	5.72E-07	8.13E-07	9.77E-04	9.45E-03	3.71E-03	1.09E-02	5.17E-03	4.23E-02	1.14E-02	8.59E-03
4:Del:R:1	1.02E-06	9.71E-07	4.35E-04	1.29E-03	5.08E-04	2.34E-06	4.74E-08	2.28E-06	1.56E-04	5.30E-04	5.07E-04	1.07E-03	1.16E-04	6.27E-04
4:Del:R:2	1.35E-06	1.34E-06	2.71E-06	1.89E-06	2.16E-06	2.39E-06	2.03E-07	2.69E-06	4.84E-07	1.93E-06	5.08E-07	1.24E-06	1.18E-06	1.59E-06
4:Del:R:3	1.35E-06	1.34E-06	2.71E-06	1.89E-06	2.16E-06	2.39E-06	2.03E-07	2.69E-06	4.84E-07	1.93E-06	5.08E-07	1.24E-06	1.18E-06	1.59E-06
4:Del:R:4	1.35E-06	1.34E-06	2.71E-06	1.89E-06	2.16E-06	2.39E-06	2.03E-07	2.69E-06	4.84E-07	1.93E-06	5.08E-07	1.24E-06	1.18E-06	1.59E-06
4:Del:R:5	1.35E-06	1.34E-06	2.71E-06	1.89E-06	2.16E-06	2.39E-06	2.03E-07	2.69E-06	4.84E-07	1.93E-06	5.08E-07	1.24E-06	1.18E-06	1.59E-06
5:Del:R:0	6.04E-07	2.17E-08	7.59E-07	1.62E-07	2.18E-08	8.68E-07	1.48E-04	1.19E-06	2.53E-02	3.99E-06	5.19E-07	7.65E-07	1.09E-06	9.82E-07
5:Del:R:1	1.35E-06	1.34E-06	2.71E-06	1.89E-06	2.16E-06	2.39E-06	2.03E-07	2.69E-06	4.84E-07	1.93E-06	5.08E-07	1.24E-06	1.18E-06	1.59E-06
5:Del:R:2	1.35E-06	1.34E-06	2.71E-06	1.89E-06	2.16E-06	2.39E-06	2.03E-07	2.69E-06	4.84E-07	1.93E-06	5.08E-07	1.24E-06	1.18E-06	1.59E-06
5:Del:R:3	1.35E-06	1.34E-06	2.71E-06	1.89E-06	2.16E-06	2.39E-06	2.03E-07	2.69E-06	4.84E-07	1.93E-06	5.08E-07	1.24E-06	1.18E-06	1.59E-06
5:Del:R:4	1.35E-06	1.34E-06	2.71E-06	1.89E-06	2.16E-06	2.39E-06	2.03E-07	2.69E-06	4.84E-07	1.93E-06	5.08E-07	1.24E-06	1.18E-06	1.59E-06
5:Del:R:5	1.35E-06	1.34E-06	2.71E-06	1.89E-06	2.16E-06	2.39E-06	2.03E-07	2.69E-06	4.84E-07	1.93E-06	5.08E-07	1.24E-06	1.18E-06	1.59E-06
2:Ins:R:0	4.47E-07	1.03E-06	9.29E-03	4.28E-03	2.57E-06	3.19E-03	2.08E-46	3.47E-06	1.15E-06	6.32E-03	2.85E-03	6.48E-03	3.45E-03	4.23E-03
2:Ins:R:1	1.07E-02	6.24E-03	2.37E-06	7.67E-03	7.36E-03	1.58E-06	1.06E-04	7.80E-03	2.13E-03	6.00E-03	6.55E-03	6.25E-03	7.76E-03	7.69E-03
2:Ins:R:2	6.89E-07	3.11E-03	3.77E-03	9.26E-03	2.17E-06	1.18E-03	2.10E-46	3.38E-03	1.36E-03	5.32E-03	5.49E-03	2.83E-03	3.88E-03	6.80E-03
2:Ins:R:3	2.46E-04	1.90E-06	2.69E-06	1.70E-06	2.23E-06	2.28E-06	2.88E-04	2.57E-06	5.65E-07	2.16E-06	5.71E-07	1.75E-06	2.81E-04	1.86E-06
2:Ins:R:4	9.67E-07	1.02E-06	4.34E-04	1.07E-03	4.48E-04	2.56E-04	2.50E-04	5.90E-04	9.03E-07	6.11E-04	1.91E-04	1.08E-03	7.71E-04	8.35E-04
2:Ins:R:5	1.14E-03	1.06E-06	3.69E-06	4.62E-04	2.25E-06	8.11E-04	4.69E-04	5.26E-04	3.57E-04	4.62E-04	1.18E-04	1.04E-03	1.48E-03	1.10E-03
3:Ins:R:0	6.10E-07	3.65E-07	5.08E-03	1.34E-06	2.48E-03	1.27E-03	6.01E-09	2.98E-06	1.11E-03	1.04E-02	8.18E-04	5.07E-03	1.44E-03	9.43E-03
3:Ins:R:1	5.95E-07	2.08E-03	2.69E-03	1.93E-03	3.10E-04	5.97E-04	1.30E-46	1.42E-03	9.14E-04	1.88E-03	9.46E-04	2.86E-03	1.61E-03	8.58E-04
3:Ins:R:2	3.86E-04	9.61E-07	2.95E-06	1.32E-03	1.12E-03	1.80E-06	3.01E-04	9.96E-04	5.86E-04	3.32E-03	6.11E-04	3.09E-03	8.88E-04	2.37E-03
3:Ins:R:3	1.35E-06	1.34E-06	2.71E-06	1.89E-06	2.16E-06	2.39E-06	2.03E-07	2.69E-06	4.84E-07	1.93E-06	5.08E-07	1.24E-06	1.18E-06	1.59E-06
3:Ins:R:4	1.08E-06	1.05E-06	7.72E-04	3.79E-04	6.22E-04	2.36E-06	4.86E-04	4.19E-04	6.05E-05	6.39E-04	9.86E-07	2.13E-04	5.23E-04	5.47E-04
3:Ins:R:5	7.91E-04	1.13E-06	3.43E-04	1.47E-06	7.10E-04	1.25E-04	4.09E-04	6.39E-04	2.03E-04	3.67E-04	2.70E-04	1.68E-04	1.37E-03	8.41E-04
4:Ins:R:0	8.47E-07	1.58E-06	4.14E-04	7.16E-04	2.48E-03	5.78E-04	1.10E-08	2.13E-06	2.38E-04	1.22E-03	8.86E-04	2.23E-03	1.06E-03	2.90E-03
4:Ins:R:1	1.39E-06	1.63E-09	1.37E-02	1.43E-06	1.67E-06	1.62E-03	3.03E-08	4.11E-04	1.34E-06	1.78E-02	1.26E-03	4.43E-03	2.89E-03	7.77E-03
4:Ins:R:2	9.89E-07	9.67E-07	2.40E-06	1.91E-04	1.86E-06	5.74E-05	8.96E-08	7.23E-04	1.24E-06	2.14E-04	4.49E-04	1.19E-03	7.04E-04	1.66E-03
4:Ins:R:3	1.35E-06	1.34E-06	2.71E-06	1.89E-06	2.16E-06	2.39E-06	2.03E-07	2.69E-06	4.84E-07	1.93E-06	5.08E-07	1.24E-06	1.18E-06	1.59E-06
4:Ins:R:4	1.35E-06	1.34E-06	2.71E-06	1.89E-06	2.16E-06	2.39E-06	2.03E-07	2.69E-06	4.84E-07	1.93E-06	5.08E-07	1.24E-06	1.18E-06	1.59E-06
4:Ins:R:5	9.04E-07	1.16E-06	2.37E-06	1.91E-04	4.05E-06	2.80E-04	1.19E-04	2.60E-06	5.67E-07	2.27E-04	3.65E-04	6.11E-04	3.65E-04	3.11E-04
5:Ins:R:0	8.10E-03	2.28E-03	3.36E-03	2.40E-06	3.33E-03	2.04E-06	9.70E-47	4.11E-03	1.74E-03	3.43E-03	2.13E-03	2.98E-03	4.61E-03	2.66E-03
5:Ins:R:1	2.71E-07	1.70E-06	2.83E-06	6.41E-04	1.53E-06	1.80E-06	1.81E-03	3.29E-03	3.31E-03	5.28E-03	4.59E-03	7.40E-03	1.44E-02	6.04E-03
5:Ins:R:2	1.35E-06	1.34E-06	2.71E-06	1.89E-06	2.16E-06	2.39E-06	2.03E-07	2.69E-06	4.84E-07	1.93E-06	5.08E-07	1.24E-06	1.18E-06	1.59E-06
5:Ins:R:3	1.35E-06	1.34E-06	2.71E-06	1.89E-06	2.16E-06	2.39E-06	2.03E-07	2.69E-06	4.84E-07	1.93E-06	5.08E-07	1.24E-06	1.18E-06	1.59E-06
5:Ins:R:4	1.01E-06	1.30E-06	2.37E-06	1.70E-06	1.88E-06	2.11E-04	1.09E-04	2.49E-06	6.48E-07	1.11E-04	2.56E-04	3.65E-04	2.13E-04	4.66E-04
5:Ins:R:5	1.33E-06	1.12E-06	2.31E-06	3.81E-04	4.05E-06	1.80E-04	5.98E-05	2.46E-04	8.97E-05	2.27E-04	1.83E-06	6.52E-04	3.87E-04	4.55E-04
2:Del:M:1	5.73E-08	1.12E-07	1.79E-06	2.40E-02	1.50E-02	1.47E-06	6.14E-04	1.63E-06	1.83E-06	7.22E-03	1.48E-02	2.62E-02	1.35E-02	1.40E-02
3:Del:M:1	5.64E-03	1.44E-02	4.34E-06	1.67E-06	7.68E-07	1.27E-06	3.54E-03	1.17E-06	5.44E-03	2.41E-02	1.28E-02	1.79E-02	1.70E-02	3.21E-02
3:Del:M:2	1.69E-03	1.35E-06	9.73E-03	8.24E-03	1.65E-06	2.82E-06	1.54E-03	6.36E-03	1.28E-06	4.05E-03	5.21E-03	9.71E-03	4.33E-03	1.34E-02
4:Del:M:1	5.00E-04	1.26E-06	3.82E-06	1.05E-02	9.79E-07	1.57E-06	4.19E-04	1.53E-06	3.24E-03	1.06E-02	7.71E-03	1.60E-02	6.16E-03	1.06E-02
4:Del:M:2	9.10E-07	1.18E-06	7.01E-04	1.02E-02	1.95E-06	1.39E-03	1.41E-46	2.66E-03	1.25E-03	1.47E-03	2.70E-03	2.61E-03	3.88E-03	4.69E-03
4:Del:M:3	7.42E-07	2.93E-06	5.99E-03	1.77E-03	1.66E-06	2.69E-04	1.94E-08	7.77E-04	4.70E-04	1.26E-03	1.23E-03	1.62E-03	2.49E-03	1.78E-03
5:Del:M:1	6.38E-09	7.27E-07	2.07E-06	7.07E-07	1.60E-06	3.42E-06	6.00E-07	1.75E-06	2.88E-02	5.78E-02	1.66E-02	1.18E-06	1.39E-06	2.27E-06
5:Del:M:2	3.02E-06	5.21E-07	1.36E-02	1.65E-03	1.32E-06	6.79E-03	1.25E-04	3.43E-06	9.54E-03	1.83E-02	6.79E-03	1.75E-02	1.16E-02	7.93E-03
5:Del:M:3	5.70E-07	7.40E-07	1.86E-06	4.76E-03	2.26E-06	3.16E-03	1.37E-46	6.03E-06	2.05E-03	5.54E-03	3.29E-03	4.76E-03	4.05E-03	7.00E-03
5:Del:M:4	7.15E-07	1.04E-03	2.00E-06	2.86E-03	1.57E-06	8.72E-04	1.12E-03	3.40E-06	1.10E-03	7.78E-04	1.42E-03	4.78E-03	4.13E-04	3.79E-03
5:Del:M:5	8.88E-05	6.26E-04	1.22E-03	1.44E-06	1.39E-03	2.04E-06	3.79E-04	9.99E-04	4.07E-04	4.60E-04	3.71E-04	1.19E-03	5.29E-04	1.40E-03
