Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-AC-A2B8-01	48	55	8	1	13	3
TCGA-AC-A2BK-01	6	0	33	52	0	19
TCGA-AC-A2BM-01	4	0	9	0	13	0
TCGA-AC-A2FB-01	0	7	4	0	0	6
TCGA-AC-A2FF-01	3	3	0	0	5	0
TCGA-AC-A2FG-01	3	10	11	3	8	4
TCGA-AC-A2FK-01	0	3	0	0	0	0
TCGA-AC-A2FO-01	4	10	0	0	13	0
TCGA-AC-A2QH-01	4	0	16	0	0	7
TCGA-AC-A3HN-01	2	2	8	5	0	5
TCGA-AC-A3OD-01	0	11	13	0	15	0
TCGA-AC-A3QP-01	0	0	0	0	28	7
TCGA-AC-A3QQ-01	1	1	17	10	4	3
TCGA-AC-A3W5-01	50	25	29	107	0	0
TCGA-AC-A3YI-01	0	2	7	0	9	0
TCGA-AC-A3YJ-01	0	6	17	0	15	0
TCGA-AC-A4ZE-01	1	10	16	16	16	15
TCGA-AC-A5EH-01	17	16	17	92	37	26
TCGA-AC-A5EI-01	0	15	14	0	14	0
TCGA-AC-A5XS-01	352	363	0	0	0	0
TCGA-AC-A5XU-01	7	18	55	17	6	10
TCGA-AC-A62V-01	9	0	57	40	0	0
TCGA-AC-A62X-01	5	0	64	18	0	0
TCGA-AC-A62Y-01	19	16	19	9	11	15
TCGA-AC-A6IV-01	0	2	9	0	16	0
TCGA-AC-A6IW-01	76	34	45	76	0	0
TCGA-AC-A6IX-01	11	31	13	0	0	16
TCGA-AC-A6NO-01	0	3	13	0	19	8
TCGA-AC-A7VB-01	0	0	19	0	9	7
TCGA-AC-A7VC-01	0	0	14	0	12	0
TCGA-AC-A8OP-01	19	16	60	82	28	39
TCGA-AC-A8OQ-01	5	22	40	3	59	8
TCGA-AC-A8OR-01	0	0	12	14	0	6
TCGA-AC-A8OS-01	6	17	14	21	7	14
TCGA-AN-A0XL-01	0	2	11	0	27	0
TCGA-AN-A0XN-01	16	3	11	62	52	31
TCGA-AN-A0XO-01	2	14	7	9	2	9
TCGA-AN-A0XP-01	4	5	6	5	4	10
TCGA-AN-A0XR-01	3	5	9	0	21	0
TCGA-AN-A0XS-01	0	8	7	0	17	0
TCGA-AN-A0XT-01	0	0	15	0	7	0
TCGA-AN-A0XU-01	17	3	12	47	50	8
TCGA-AN-A0XV-01	7	0	14	13	0	10
TCGA-AN-A0XW-01	258	165	0	0	0	0
TCGA-AO-A03M-01	695	455	0	0	0	0
TCGA-AO-A03N-01	45	48	18	2	12	9
TCGA-AO-A03U-01	2	0	0	0	3	0
TCGA-AO-A03V-01	10	12	10	5	34	1
TCGA-AO-A0JG-01	0	2	0	15	0	4
TCGA-AO-A124-01	8	5	19	88	43	15
TCGA-AO-A125-01	2	5	21	13	1	3
TCGA-AO-A126-01	0	5	8	0	12	0
TCGA-AO-A128-01	0	0	478	0	0	732
TCGA-AO-A129-01	25	13	10	42	31	23
TCGA-AO-A12A-01	0	7	12	0	0	0
TCGA-AO-A12B-01	0	0	14	9	0	0
TCGA-AO-A12D-01	10	30	14	0	19	0
TCGA-AO-A12E-01	0	3	18	12	0	0
TCGA-AO-A12F-01	0	0	25	15	0	0
TCGA-AO-A12G-01	5	5	17	0	15	0
TCGA-AO-A12H-01	0	0	13	0	17	0
TCGA-AO-A1KO-01	0	0	0	5	0	5
TCGA-AO-A1KR-01	10	6	14	49	0	10
TCGA-AO-A1KT-01	0	5	17	13	0	16
TCGA-AQ-A04H-01	5	2	50	5	10	9
TCGA-AQ-A0Y5-01	13	13	30	14	0	0
TCGA-AQ-A1H2-01	0	3	18	0	13	0
TCGA-AQ-A1H3-01	0	0	27	0	0	0
TCGA-AQ-A54O-01	0	5	10	10	0	0
TCGA-AQ-A7U7-01	37	43	16	0	0	0
TCGA-AR-A0TP-01	5	4	1	37	9	15
TCGA-AR-A0TQ-01	2	15	10	11	8	3
TCGA-AR-A0TR-01	0	4	16	11	0	11
TCGA-AR-A0TS-01	10	6	19	40	8	7
TCGA-AR-A0TT-01	7	13	23	20	0	12
TCGA-AR-A0TU-01	10	2	14	52	3	9
TCGA-AR-A0TV-01	4	4	23	7	36	5
TCGA-AR-A0TW-01	3	2	25	20	13	4
TCGA-AR-A0TX-01	213	194	0	0	0	0
TCGA-AR-A0TZ-01	15	14	17	0	21	0
TCGA-AR-A0U0-01	9	3	9	13	14	2
TCGA-AR-A0U1-01	15	1	1	49	21	22
TCGA-AR-A0U2-01	0	0	28	16	0	12
TCGA-AR-A0U3-01	0	0	22	18	0	0
TCGA-AR-A0U4-01	48	15	7	79	40	12
TCGA-AR-A1AH-01	9	1	8	27	46	29
TCGA-AR-A1AI-01	17	7	24	20	13	8
TCGA-AR-A1AJ-01	11	22	20	0	0	0
TCGA-AR-A1AK-01	22	20	17	0	23	0
TCGA-AR-A1AL-01	3	6	6	2	4	9
TCGA-AR-A1AN-01	6	0	25	0	0	0
TCGA-AR-A1AO-01	17	16	18	63	2	6
TCGA-AR-A1AP-01	7	7	26	4	5	2
TCGA-AR-A1AQ-01	3	0	12	18	0	8
TCGA-AR-A1AR-01	8	3	17	25	6	4
TCGA-AR-A1AS-01	3	16	7	6	1	8
TCGA-AR-A1AT-01	0	0	11	21	0	0
TCGA-AR-A1AU-01	0	2	11	8	0	5
TCGA-AR-A1AV-01	1	6	23	5	9	5
TCGA-AR-A1AW-01	2	2	11	14	1	11
TCGA-AR-A1AX-01	0	4	8	0	20	0
TCGA-AR-A1AY-01	6	10	19	10	18	9
