Samples	SBS96A	SBS96B
TCGA-BH-A0HI-01	27	8
TCGA-BH-A0HK-01	29	34
TCGA-BH-A0HN-01	28	6
TCGA-BH-A0HP-01	10	347
TCGA-BH-A0RX-01	45	4
TCGA-BH-A0W3-01	18	5
TCGA-BH-A0W4-01	27	12
TCGA-BH-A0W5-01	28	1
TCGA-BH-A0W7-01	0	261
TCGA-BH-A0WA-01	79	34
TCGA-BH-A18F-01	45	22
TCGA-BH-A18G-01	1668	0
TCGA-BH-A18H-01	37	17
TCGA-BH-A18I-01	26	5
TCGA-BH-A18J-01	18	93
TCGA-BH-A18K-01	32	36
TCGA-BH-A18L-01	61	4
TCGA-BH-A18M-01	14	4
TCGA-BH-A18N-01	43	0
TCGA-BH-A18P-01	46	392
TCGA-BH-A18Q-01	87	20
TCGA-BH-A18R-01	29	13
TCGA-BH-A18S-01	32	5
TCGA-BH-A18T-01	74	28
TCGA-BH-A18U-01	87	91
TCGA-BH-A18V-01	87	163
TCGA-BH-A1EO-01	45	5
TCGA-BH-A1ET-01	32	1
TCGA-BH-A1EU-01	30	4
TCGA-BH-A1EV-01	59	70
TCGA-BH-A1EW-01	15	6
TCGA-BH-A1EX-01	33	2
TCGA-BH-A1EY-01	38	17
TCGA-BH-A1F0-01	65	30
TCGA-BH-A1F2-01	54	17
TCGA-BH-A1F5-01	38	6
TCGA-BH-A1F6-01	45	8
TCGA-BH-A1F8-01	47	145
TCGA-BH-A1FC-01	87	43
TCGA-BH-A1FE-01	18	8
TCGA-BH-A1FG-01	20	1
TCGA-BH-A1FH-01	28	5
TCGA-BH-A1FJ-01	41	4
TCGA-BH-A1FL-01	23	3
TCGA-BH-A1FM-01	43	19
TCGA-BH-A1FN-01	41	105
TCGA-BH-A1FR-01	15	2
TCGA-BH-A1FU-01	87	31
TCGA-BH-A201-01	22	5
TCGA-BH-A202-01	24	4
TCGA-BH-A203-01	76	23
TCGA-BH-A204-01	43	9
TCGA-BH-A208-01	40	42
TCGA-BH-A209-01	11	108
TCGA-BH-A28Q-01	24	2
TCGA-BH-A2L8-01	0	628
TCGA-BH-A42U-01	13	19
TCGA-BH-A42V-01	13	42
TCGA-BH-A5IZ-01	76	20
TCGA-BH-A5J0-01	44	58
TCGA-BH-A6R8-01	31	6
TCGA-BH-A6R9-01	24	1
TCGA-BH-A8FY-01	43	13
TCGA-BH-A8FZ-01	71	20
TCGA-BH-A8G0-01	16	1
TCGA-BH-AB28-01	37	6
TCGA-C8-A12K-01	82	91
TCGA-C8-A12L-01	77	12
TCGA-C8-A12M-01	77	5
TCGA-C8-A12N-01	24	3
TCGA-C8-A12O-01	45	4
TCGA-C8-A12P-01	77	125
TCGA-C8-A12Q-01	43	96
TCGA-C8-A12T-01	32	182
TCGA-C8-A12U-01	52	9
TCGA-C8-A12V-01	44	8
TCGA-C8-A12W-01	73	4
TCGA-C8-A12X-01	62	3
TCGA-C8-A12Y-01	44	2
TCGA-C8-A12Z-01	39	22
TCGA-C8-A130-01	48	6
TCGA-C8-A131-01	60	14
TCGA-C8-A132-01	44	40
TCGA-C8-A133-01	23	10
TCGA-C8-A134-01	102	15
TCGA-C8-A135-01	69	8
TCGA-C8-A137-01	32	30
TCGA-C8-A138-01	50	2
TCGA-C8-A1HE-01	22	32
TCGA-C8-A1HF-01	23	16
TCGA-C8-A1HG-01	61	8
TCGA-C8-A1HI-01	55	17
TCGA-C8-A1HJ-01	101	23
TCGA-C8-A1HK-01	40	33
TCGA-C8-A1HL-01	36	1
TCGA-C8-A1HM-01	64	384
TCGA-C8-A1HN-01	63	7
TCGA-C8-A1HO-01	33	16
TCGA-C8-A26V-01	39	57
TCGA-C8-A26W-01	33	36
TCGA-C8-A26X-01	66	9
TCGA-C8-A26Y-01	66	850
TCGA-C8-A26Z-01	46	3
TCGA-C8-A273-01	23	1
TCGA-C8-A274-01	48	233
TCGA-C8-A275-01	36	106
TCGA-C8-A278-01	37	16
TCGA-C8-A27A-01	28	12
TCGA-C8-A27B-01	55	107
TCGA-C8-A3M7-01	71	150
TCGA-C8-A3M8-01	48	14
TCGA-C8-A8HP-01	43	230
TCGA-C8-A8HQ-01	59	313
TCGA-C8-A8HR-01	53	7
TCGA-C8-A9FZ-01	26	3
TCGA-D8-A13Y-01	53	29
TCGA-D8-A13Z-01	82	21
TCGA-D8-A140-01	99	35
TCGA-D8-A141-01	21	0
TCGA-D8-A142-01	147	19
TCGA-D8-A143-01	56	5
TCGA-D8-A145-01	44	3
TCGA-D8-A146-01	35	6
TCGA-D8-A147-01	99	101
TCGA-D8-A1J8-01	382	579
TCGA-D8-A1J9-01	28	250
TCGA-D8-A1JB-01	49	14
TCGA-D8-A1JC-01	46	76
TCGA-D8-A1JD-01	83	39
TCGA-D8-A1JE-01	37	3
TCGA-D8-A1JF-01	43	6
TCGA-D8-A1JG-01	140	29
TCGA-D8-A1JH-01	21	3
TCGA-D8-A1JI-01	38	4
TCGA-D8-A1JJ-01	47	51
TCGA-D8-A1JK-01	191	58
TCGA-D8-A1JL-01	102	25
TCGA-D8-A1JM-01	47	6
TCGA-D8-A1JN-01	55	153
TCGA-D8-A1JP-01	100	35
TCGA-D8-A1JS-01	25	4
TCGA-D8-A1JT-01	41	0
TCGA-D8-A1JU-01	19	1
TCGA-D8-A1X5-01	56	10
TCGA-D8-A1X6-01	39	3
TCGA-D8-A1X7-01	27	5
TCGA-D8-A1X9-01	85	17
TCGA-D8-A1XA-01	26	2
TCGA-D8-A1XB-01	41	9
TCGA-D8-A1XC-01	32	2
TCGA-D8-A1XF-01	45	6
TCGA-D8-A1XG-01	24	3
TCGA-D8-A1XK-01	1300	0
TCGA-D8-A1XL-01	91	19
TCGA-D8-A1XM-01	38	26
TCGA-D8-A1XO-01	17	12
TCGA-D8-A1XQ-01	986	45
TCGA-D8-A1XR-01	29	3
TCGA-D8-A1XS-01	19	7
TCGA-D8-A1XT-01	38	7
TCGA-D8-A1XU-01	20	15
TCGA-D8-A1XV-01	32	4
TCGA-D8-A1XW-01	94	28
TCGA-D8-A1XY-01	52	7
TCGA-D8-A1XZ-01	86	10
TCGA-D8-A1Y0-01	58	23
TCGA-D8-A1Y1-01	221	12
TCGA-D8-A1Y2-01	13	9
TCGA-D8-A1Y3-01	65	2
TCGA-D8-A27E-01	9	2
TCGA-D8-A27F-01	49	21
TCGA-D8-A27G-01	0	1176
TCGA-D8-A27H-01	72	88
TCGA-D8-A27I-01	27	9
TCGA-D8-A27K-01	20	1
TCGA-D8-A27L-01	28	25
TCGA-D8-A27M-01	66	24
TCGA-D8-A27N-01	55	5
TCGA-D8-A27P-01	28	2
TCGA-D8-A27R-01	27	8
TCGA-D8-A27T-01	27	4
TCGA-D8-A27V-01	45	190
TCGA-D8-A27W-01	51	4
TCGA-D8-A3Z6-01	30	7
TCGA-D8-A4Z1-01	12	34
TCGA-D8-A73U-01	40	167
TCGA-D8-A73W-01	48	4
TCGA-D8-A73X-01	45	7
TCGA-E2-A105-01	56	11
TCGA-E2-A107-01	28	8
TCGA-E2-A108-01	27	159
TCGA-E2-A109-01	79	5
TCGA-E2-A10A-01	17	11
TCGA-E2-A10B-01	37	36
TCGA-E2-A10C-01	1	518
TCGA-E2-A10F-01	25	5
TCGA-E2-A14N-01	72	37
TCGA-E2-A14O-01	33	3
TCGA-E2-A14P-01	79	33
TCGA-E2-A14Q-01	34	6
TCGA-E2-A14R-01	111	32
TCGA-E2-A14T-01	34	9
TCGA-E2-A14V-01	78	63
TCGA-E2-A14W-01	76	26
TCGA-E2-A14X-01	31	6
TCGA-E2-A14Y-01	20	30
TCGA-E2-A14Z-01	53	42
TCGA-E2-A150-01	81	10
TCGA-E2-A152-01	39	132
TCGA-E2-A153-01	21	5
TCGA-E2-A154-01	54	4
TCGA-E2-A155-01	62	19
TCGA-E2-A156-01	18	7
TCGA-E2-A158-01	87	10
TCGA-E2-A159-01	38	163
TCGA-E2-A15A-01	54	8
TCGA-E2-A15C-01	48	2
TCGA-E2-A15D-01	33	1
TCGA-E2-A15E-01	34	6
TCGA-E2-A15F-01	26	2
TCGA-E2-A15G-01	61	12
TCGA-E2-A15H-01	32	1
TCGA-E2-A15I-01	38	5
TCGA-E2-A15J-01	21	1
TCGA-E2-A15K-01	49	4
TCGA-E2-A15L-01	31	3
TCGA-E2-A15M-01	72	36
TCGA-E2-A15O-01	31	3
TCGA-E2-A15P-01	26	2
TCGA-E2-A15R-01	41	6
TCGA-E2-A15S-01	51	17
TCGA-E2-A15T-01	36	4
TCGA-E2-A1AZ-01	43	36
TCGA-E2-A1B0-01	49	11
TCGA-E2-A1B1-01	28	38
TCGA-E2-A1B4-01	30	12
TCGA-E2-A1B5-01	24	22
TCGA-E2-A1B6-01	52	4
TCGA-E2-A1BC-01	38	3
TCGA-E2-A1BD-01	41	2
TCGA-E2-A1IE-01	30	0
TCGA-E2-A1IF-01	24	0
TCGA-E2-A1IG-01	45	12
TCGA-E2-A1IH-01	43	42
TCGA-E2-A1II-01	33	1
TCGA-E2-A1IJ-01	18	0
TCGA-E2-A1IK-01	14	3
TCGA-E2-A1IL-01	30	1
TCGA-E2-A1IN-01	39	209
TCGA-E2-A1IO-01	15	1
TCGA-E2-A1IU-01	21	10
TCGA-E2-A1L6-01	24	4
TCGA-E2-A1L7-01	70	11
TCGA-E2-A1L8-01	29	9
TCGA-E2-A1L9-01	24	4
TCGA-E2-A1LA-01	89	18
TCGA-E2-A1LB-01	24	31
TCGA-E2-A1LG-01	28	191
TCGA-E2-A1LH-01	132	99
TCGA-E2-A1LI-01	19	18
TCGA-E2-A1LK-01	51	3
TCGA-E2-A1LL-01	54	7
TCGA-E2-A2P6-01	57	129
TCGA-E2-A56Z-01	57	3
TCGA-E2-A570-01	28	2
TCGA-E2-A572-01	26	3
TCGA-E2-A573-01	63	9
TCGA-E2-A574-01	84	72
TCGA-E2-A576-01	67	3
TCGA-E2-A9RU-01	86	21
TCGA-E9-A1N3-01	27	4
TCGA-E9-A1N4-01	22	12
TCGA-E9-A1N5-01	20	19
TCGA-E9-A1N8-01	20	16
TCGA-E9-A1N9-01	55	11
TCGA-E9-A1NA-01	82	35
TCGA-E9-A1NE-01	50	12
TCGA-E9-A1NF-01	34	27
TCGA-E9-A1NG-01	20	1
TCGA-E9-A1NH-01	34	3
TCGA-E9-A1QZ-01	23	0
TCGA-E9-A1R0-01	27	8
TCGA-E9-A1R2-01	46	20
TCGA-E9-A1R3-01	21	4
TCGA-E9-A1R4-01	48	105
TCGA-E9-A1R5-01	45	6
TCGA-E9-A1R6-01	33	3
TCGA-E9-A1R7-01	46	17
TCGA-E9-A1RA-01	18	7
TCGA-E9-A1RB-01	38	0
TCGA-E9-A1RC-01	53	2
TCGA-E9-A1RD-01	16	7
TCGA-E9-A1RE-01	62	4
TCGA-E9-A1RF-01	138	32
TCGA-E9-A1RG-01	30	11
TCGA-E9-A1RH-01	89	22
TCGA-E9-A1RI-01	23	6
TCGA-E9-A226-01	32	47
TCGA-E9-A227-01	12	7
TCGA-E9-A228-01	41	11
TCGA-E9-A229-01	24	6
TCGA-E9-A22A-01	24	12
TCGA-E9-A22B-01	60	16
TCGA-E9-A22D-01	35	5
TCGA-E9-A22E-01	88	56
TCGA-E9-A22G-01	99	18
TCGA-E9-A22H-01	24	2
TCGA-E9-A243-01	60	29
TCGA-E9-A244-01	112	9
TCGA-E9-A245-01	20	3
TCGA-E9-A247-01	47	0
TCGA-E9-A248-01	23	5
TCGA-E9-A249-01	24	1
TCGA-E9-A24A-01	22	0
TCGA-E9-A295-01	102	7
TCGA-E9-A2JS-01	85	4
TCGA-E9-A2JT-01	0	28
TCGA-E9-A3HO-01	55	17
TCGA-E9-A3QA-01	27	35
TCGA-E9-A3X8-01	28	9
TCGA-E9-A54Y-01	39	19
TCGA-E9-A5FK-01	35	4
TCGA-E9-A5FL-01	95	38
TCGA-E9-A5UO-01	37	1
TCGA-E9-A6HE-01	21	1
TCGA-EW-A1IW-01	51	76
TCGA-EW-A1IX-01	5	37
TCGA-EW-A1IY-01	16	22
TCGA-EW-A1IZ-01	431	4
TCGA-EW-A1J1-01	22	1
TCGA-EW-A1J3-01	26	4
TCGA-EW-A1J5-01	0	540
TCGA-EW-A1J6-01	41	3
TCGA-EW-A1OV-01	25	115
TCGA-EW-A1OX-01	14	7
TCGA-EW-A1OZ-01	64	12
TCGA-EW-A1P0-01	27	1
TCGA-EW-A1P1-01	3	0
TCGA-EW-A1P3-01	25	3
TCGA-EW-A1P4-01	64	13
TCGA-EW-A1P5-01	20	0
TCGA-EW-A1P6-01	25	1
TCGA-EW-A1P7-01	19	0
TCGA-EW-A1P8-01	35	4
TCGA-EW-A1PA-01	32	9
TCGA-EW-A1PB-01	57	125
TCGA-EW-A1PD-01	56	37
TCGA-EW-A1PE-01	29	9
TCGA-EW-A1PG-01	9	2
TCGA-EW-A1PH-01	53	9
TCGA-EW-A2FR-01	37	17
TCGA-EW-A2FS-01	43	2
TCGA-EW-A2FV-01	28	4
TCGA-EW-A2FW-01	24	2
TCGA-EW-A423-01	65	23
TCGA-EW-A6S9-01	27	4
TCGA-EW-A6SA-01	97	26
TCGA-EW-A6SB-01	71	10
TCGA-EW-A6SC-01	29	10
TCGA-EW-A6SD-01	33	35
TCGA-GI-A2C8-01	117	31
TCGA-GM-A2D9-01	41	604
TCGA-GM-A2DA-01	35	10
TCGA-GM-A2DB-01	109	19
TCGA-GM-A2DC-01	27	0
TCGA-GM-A2DD-01	59	9
TCGA-GM-A2DF-01	45	8
TCGA-GM-A2DH-01	87	145
TCGA-GM-A2DI-01	15	76
TCGA-GM-A2DK-01	30	7
TCGA-GM-A2DL-01	34	15
TCGA-GM-A2DM-01	18	9
TCGA-GM-A2DN-01	16	3
TCGA-GM-A2DO-01	30	190
TCGA-GM-A3NW-01	43	52
TCGA-GM-A3XL-01	80	64
TCGA-GM-A4E0-01	33	1
TCGA-GM-A5PV-01	33	14
TCGA-GM-A5PX-01	32	10
TCGA-HN-A2NL-01	76	15
TCGA-HN-A2OB-01	15	4
TCGA-JL-A3YX-01	29	20
TCGA-LD-A66U-01	42	2
TCGA-LD-A74U-01	60	292
TCGA-LD-A7W5-01	49	16
TCGA-LD-A7W6-01	41	5
TCGA-LD-A9QF-01	36	3
TCGA-LL-A440-01	5	1
TCGA-LL-A50Y-01	40	3
TCGA-LL-A5YL-01	53	40
TCGA-LL-A5YM-01	34	6
TCGA-LL-A5YN-01	41	2
TCGA-LL-A5YO-01	38	23
TCGA-LL-A5YP-01	76	29
TCGA-LL-A6FP-01	50	25
TCGA-LL-A6FQ-01	64	5
TCGA-LL-A6FR-01	58	5
TCGA-LL-A73Y-01	44	149
TCGA-LL-A73Z-01	44	4
TCGA-LL-A740-01	58	10
TCGA-LL-A7SZ-01	63	12
TCGA-LL-A7T0-01	65	12
TCGA-LL-A8F5-01	164	36
TCGA-LL-A9Q3-01	57	11
TCGA-OK-A5Q2-01	35	8
TCGA-OL-A5D6-01	46	11
TCGA-OL-A5D7-01	61	19
TCGA-OL-A5D8-01	35	4
TCGA-OL-A5DA-01	45	69
TCGA-OL-A5RU-01	44	2
