MutationType	ID1	ID2	ID7	ID11	ID13	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83I	ID83J	ID83K	ID83L
3:Del:R:1	0.00501109	0.00500326	0.01168900	0.00039086	0.00118696	0.00000276	0.00000426	0.00141284	0.00099071	0.00000491	0.00001000	0.00002204	0.00634079	0.00238626	0.00415694
3:Del:R:2	0.00076938	0.00228989	0.00547485	0.00017042	0.00038438	0.00000421	0.00052069	0.00001035	0.00018718	0.00108188	0.00027112	0.00045600	0.00034024	0.00123059	0.00114522
3:Del:R:3	0.00037126	0.00040259	0.00345675	0.00012758	0.00006900	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00002325	0.00002796	0.00002641	0.00002572
3:Del:R:4	0.00000000	0.00000000	0.00049254	0.00120211	0.00000309	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00002325	0.00002796	0.00002641	0.00002572
3:Del:R:5	0.00000000	0.00000000	0.00043659	0.00174236	0.00009960	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00002325	0.00002796	0.00002641	0.00002572
4:Del:R:0	0.00009970	0.00001210	0.00013088	0.00000000	0.00215535	0.02231477	0.00242380	0.00001498	0.00000285	0.00092320	0.00637506	0.02763143	0.04042814	0.02025862	0.04334236
4:Del:R:1	0.00090050	0.00211579	0.00339680	0.00035550	0.00002300	0.00000333	0.00000649	0.00019638	0.00001035	0.00000482	0.00000895	0.00036862	0.00152674	0.00100635	0.00122080
4:Del:R:2	0.00000323	0.00054329	0.00277739	0.00000000	0.00007920	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00002325	0.00002796	0.00002641	0.00002572
4:Del:R:3	0.00000000	0.00000727	0.00043959	0.00031214	0.00003920	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00002325	0.00002796	0.00002641	0.00002572
4:Del:R:4	0.00000000	0.00000000	0.00020181	0.00068737	0.00000947	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00002325	0.00002796	0.00002641	0.00002572
4:Del:R:5	0.00002890	0.00021041	0.00025076	0.00015760	0.00006300	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00002325	0.00002796	0.00002641	0.00002572
5:Del:R:0	0.00000835	0.00003850	0.00008550	0.00128145	0.02009754	0.00000001	0.00000074	0.00000179	0.00000001	0.00000001	0.00000026	0.72934545	0.00000389	0.00000335	0.00001332
5:Del:R:1	0.00019068	0.00297751	0.00347673	0.00047463	0.00298053	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00002325	0.00002796	0.00002641	0.00002572
5:Del:R:2	0.00012636	0.00039753	0.00116890	0.00000000	0.00006990	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00002325	0.00002796	0.00002641	0.00002572
5:Del:R:3	0.00001890	0.00015815	0.00040662	0.00000000	0.00000640	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00002325	0.00002796	0.00002641	0.00002572
5:Del:R:4	0.00000311	0.00008470	0.00012588	0.00000000	0.00000146	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00002325	0.00002796	0.00002641	0.00002572
5:Del:R:5	0.00003130	0.00002120	0.00002080	0.00000008	0.00000235	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00002325	0.00002796	0.00002641	0.00002572
2:Ins:R:0	0.00040204	0.00033185	0.00003040	0.00019047	0.01061841	0.00452099	0.00808457	0.00933142	0.00001180	0.00000397	0.00133486	0.00137808	0.01358665	0.00648002	0.02365650
2:Ins:R:1	0.00000788	0.00027166	0.00039763	0.00000000	0.00180137	0.00000267	0.00000429	0.00003165	0.00000891	0.00000993	0.00000489	0.00603364	0.03227730	0.01423081	0.01735423
2:Ins:R:2	0.00022135	0.00103534	0.00007010	0.00024788	0.00068852	0.00000260	0.00001164	0.00465919	0.00741767	0.00000489	0.00000950	0.00735440	0.01394637	0.00476567	0.01241856
2:Ins:R:3	0.00051427	0.00038133	0.00314704	0.00037236	0.00074354	0.00000386	0.00035685	0.00001162	0.00000699	0.00000603	0.00001101	0.00002171	0.00002579	0.00002549	0.00002464
2:Ins:R:4	0.00291310	0.00197742	0.00182828	0.00044238	0.00021335	0.00070790	0.00012270	0.00124887	0.00064293	0.00095161	0.00010434	0.00001875	0.00128331	0.00033367	0.00120822
2:Ins:R:5	0.01812158	0.01363338	0.00024477	0.00028880	0.00084658	0.00186550	0.00000499	0.00001361	0.00074520	0.00000466	0.00012724	0.00065308	0.00324774	0.00015098	0.00156165
3:Ins:R:0	0.00000031	0.00005780	0.00000000	0.00000000	0.00008210	0.00000250	0.00000401	0.00199091	0.00025431	0.00000807	0.00240626	0.00286330	0.00105946	0.00533822	0.01703755
3:Ins:R:1	0.00025469	0.00122705	0.00000551	0.00020708	0.00368833	0.00000180	0.01307573	0.00485057	0.00025254	0.00157284	0.00076833	0.00056142	0.01017874	0.00147648	0.00136514
3:Ins:R:2	0.00004410	0.00021007	0.00005470	0.00022153	0.00020251	0.00175106	0.00024697	0.00129391	0.00000483	0.00000363	0.00023228	0.00347615	0.00106154	0.00070829	0.00268689
3:Ins:R:3	0.00016670	0.00000302	0.00017783	0.00002180	0.00002370	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00002325	0.00002796	0.00002641	0.00002572
3:Ins:R:4	0.00008890	0.00014181	0.00041561	0.00000000	0.00000349	0.00000332	0.00000654	0.00027935	0.00000631	0.00000503	0.00009627	0.00030420	0.00083772	0.00002261	0.00021616
3:Ins:R:5	0.00124870	0.00186471	0.00076928	0.00009010	0.00003540	0.00052180	0.00078534	0.00119977	0.00019975	0.00079559	0.00000991	0.00028035	0.00058985	0.00096339	0.00117235
4:Ins:R:0	0.00000000	0.00001680	0.00000000	0.00015962	0.00111880	0.00139392	0.00895800	0.00318084	0.00111815	0.00263416	0.00000907	0.00196124	0.00117800	0.00206647	0.00593316
4:Ins:R:1	0.00074438	0.00120373	0.00002610	0.00037764	0.00269163	0.00000237	0.01528368	0.00567690	0.00413676	0.00473040	0.00370412	0.00340107	0.00876672	0.00366991	0.00034548
4:Ins:R:2	0.00007550	0.00001220	0.00019482	0.00000000	0.00006930	0.00000462	0.00000568	0.00064484	0.00019306	0.00000481	0.00000881	0.00042813	0.00222920	0.00036692	0.00414923
4:Ins:R:3	0.00015754	0.00013417	0.00027374	0.00000000	0.00000064	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00002325	0.00002796	0.00002641	0.00002572
4:Ins:R:4	0.00031965	0.00024939	0.00025876	0.00000000	0.00001210	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00002325	0.00002796	0.00002641	0.00002572
4:Ins:R:5	0.00100132	0.00219354	0.00000874	0.00000000	0.00000031	0.00032936	0.00033730	0.00009585	0.00000601	0.00000494	0.00000963	0.00023332	0.00111137	0.00038692	0.00047147
5:Ins:R:0	0.00000000	0.00000000	0.00000000	0.00066606	0.00259023	0.00212652	0.01073413	0.00592194	0.00000480	0.00000564	0.00284519	0.00336382	0.00622659	0.00369147	0.01088504
5:Ins:R:1	0.00144313	0.00013566	0.00000000	0.00115191	0.01350195	0.00000157	0.01071650	0.01850935	0.00640417	0.00000365	0.00001014	0.01153776	0.01564256	0.01524512	0.00207288
5:Ins:R:2	0.00025483	0.00000553	0.00000884	0.00036601	0.00004590	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00002325	0.00002796	0.00002641	0.00002572
5:Ins:R:3	0.00023709	0.00009770	0.00000446	0.00000083	0.00004610	0.00000395	0.00000716	0.00001272	0.00000768	0.00000636	0.00001212	0.00002325	0.00002796	0.00002641	0.00002572
5:Ins:R:4	0.00026187	0.00000215	0.00001060	0.00000225	0.00000243	0.00000351	0.00114620	0.00057492	0.00000536	0.00000526	0.00001888	0.00001983	0.00155126	0.00107445	0.00086755
5:Ins:R:5	0.00011983	0.00011563	0.00000428	0.00000184	0.00004330	0.00028849	0.00033741	0.00018189	0.00000808	0.00000485	0.00000964	0.00038103	0.00028751	0.00031014	0.00095227
2:Del:M:1	0.00119782	0.00017555	0.00312706	0.00038206	0.00887241	0.00000200	0.01506427	0.00610465	0.01388572	0.00000114	0.00000285	0.00001075	0.09846573	0.06267527	0.00974358
3:Del:M:1	0.00008190	0.00000055	0.00025476	0.00020044	0.00114008	0.02194766	0.01396013	0.04209538	0.00000207	0.00000132	0.00000179	0.00691334	0.06527373	0.03851688	0.01303583
3:Del:M:2	0.00147959	0.00294406	0.00463564	0.00030174	0.00045031	0.00000912	0.01530324	0.01426748	0.00624966	0.00000607	0.00000980	0.00268945	0.03841620	0.00962983	0.00720913
4:Del:M:1	0.00008380	0.00014700	0.00018383	0.00000000	0.00127080	0.00778337	0.02642227	0.02963748	0.01363247	0.00000423	0.00000339	0.00525211	0.03206646	0.02581352	0.01939209
4:Del:M:2	0.00014548	0.00055061	0.00101904	0.00000000	0.00015972	0.00000253	0.01112822	0.00496344	0.00310891	0.00000369	0.00000597	0.00095764	0.01341763	0.01342160	0.00278250
4:Del:M:3	0.00016068	0.00069357	0.00071732	0.00078987	0.00027058	0.00243716	0.00182934	0.00274770	0.00056308	0.00000430	0.00012694	0.00039081	0.00276053	0.00276325	0.00062188
5:Del:M:1	0.00000082	0.00062496	0.00002360	0.00028279	0.01174078	0.00000012	0.00000090	0.00000305	0.00000257	0.00000149	0.00000327	0.08035468	0.00000676	0.02378381	0.38009102
5:Del:M:2	0.00000000	0.00011771	0.00024577	0.00037277	0.00705542	0.00000220	0.00000330	0.00000653	0.00000580	0.00000474	0.00708459	0.01698642	0.01705512	0.02761420	0.10091798
5:Del:M:3	0.00000000	0.00005670	0.00006160	0.00075013	0.00216598	0.00000275	0.00000844	0.00001012	0.00397594	0.00000322	0.00017385	0.00747278	0.00535940	0.00304498	0.02453566
5:Del:M:4	0.00003880	0.00046284	0.00006820	0.00013028	0.00028174	0.00000220	0.00255486	0.00693539	0.00000553	0.00000444	0.00001257	0.00306607	0.00568232	0.00337794	0.00694086
5:Del:M:5	0.00066512	0.00236732	0.00173836	0.00051895	0.01313191	0.00035124	0.00103541	0.00016215	0.00056278	0.00000424	0.00000841	0.00095268	0.00358942	0.00077922	0.00159711
