MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
4:Ins:R:1	0.00000000	0.00193094	0.00069690	0.00001009	0.00291017	0.00963531	0.00380638
4:Ins:R:2	0.00000006	0.00000245	0.00014594	0.00018339	0.00082298	0.00110827	0.00100920
4:Ins:R:3	0.00000042	0.00000410	0.00000396	0.00001243	0.00002434	0.00002561	0.00002756
4:Ins:R:4	0.00000042	0.00000410	0.00000396	0.00001243	0.00002434	0.00002561	0.00002756
4:Ins:R:5	0.00000017	0.00008259	0.00000305	0.00017658	0.00023428	0.00056200	0.00058628
5:Ins:R:0	0.00000000	0.00152914	0.00100584	0.00441880	0.00390644	0.00598666	0.00560417
5:Ins:R:1	0.00000001	0.00209390	0.00000289	0.00315508	0.00797529	0.01590125	0.00980020
5:Ins:R:2	0.00000042	0.00000410	0.00000396	0.00001243	0.00002434	0.00002561	0.00002756
5:Ins:R:3	0.00000042	0.00000410	0.00000396	0.00001243	0.00002434	0.00002561	0.00002756
5:Ins:R:4	0.00000018	0.00012537	0.00008166	0.00055028	0.00009109	0.00028211	0.00049384
5:Ins:R:5	0.00000012	0.00027170	0.00000243	0.00009699	0.00025719	0.00128225	0.00057581
2:Del:M:1	0.00000002	0.00797957	0.00000099	0.01291701	0.01076845	0.03176552	0.05538315
3:Del:M:1	0.00000000	0.02821203	0.00825181	0.00498831	0.00905651	0.04517046	0.05704465
3:Del:M:2	0.00000001	0.00635466	0.00331825	0.00262927	0.00461726	0.02417955	0.02025552
4:Del:M:1	0.00000002	0.00233758	0.00362677	0.00000393	0.00133636	0.03126772	0.05029181
4:Del:M:2	0.00000001	0.00016384	0.00000191	0.00173334	0.00255655	0.01372714	0.00991700
4:Del:M:3	0.00000002	0.00006439	0.00077553	0.00051143	0.00047461	0.00458540	0.00277769
5:Del:M:1	0.00000002	0.00005870	0.00000124	0.00000735	0.18118231	0.07708014	0.02938580
5:Del:M:2	0.00000000	0.00012278	0.00000297	0.00810444	0.06216076	0.01890776	0.00172659
5:Del:M:3	0.00000000	0.00000080	0.00375184	0.00062177	0.01371051	0.00561293	0.00334848
5:Del:M:4	0.00000000	0.00019226	0.00103321	0.00214248	0.00355375	0.00494099	0.00374627
5:Del:M:5	0.00000002	0.00000183	0.00020776	0.00029472	0.00185526	0.00132659	0.00271078
