Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-AC-A3OD-01	0	17	0	14	8
TCGA-AC-A3QP-01	1	1	20	7	6
TCGA-AC-A3QQ-01	1	1	12	19	3
TCGA-AC-A3W5-01	54	22	93	26	16
TCGA-AC-A3YI-01	0	3	7	8	0
TCGA-AC-A3YJ-01	1	8	6	19	4
TCGA-AC-A4ZE-01	1	15	22	18	18
TCGA-AC-A5EH-01	17	22	116	22	28
TCGA-AC-A5EI-01	2	19	2	14	6
TCGA-AC-A5XS-01	356	359	0	0	0
TCGA-AC-A5XU-01	8	22	11	59	13
TCGA-AC-A62V-01	8	1	28	52	17
TCGA-AC-A62X-01	0	0	19	68	0
TCGA-AC-A62Y-01	24	16	12	20	17
TCGA-AC-A6IV-01	0	6	0	21	0
TCGA-AC-A6IW-01	85	26	58	44	18
TCGA-AC-A6IX-01	12	35	0	10	14
TCGA-AC-A6NO-01	1	6	5	18	13
TCGA-AC-A7VB-01	0	0	0	24	11
TCGA-AC-A7VC-01	0	0	8	18	0
TCGA-AC-A8OP-01	19	20	93	66	46
TCGA-AC-A8OQ-01	6	32	34	51	14
TCGA-AC-A8OR-01	0	0	14	12	6
TCGA-AC-A8OS-01	7	24	18	15	15
TCGA-AN-A0XL-01	0	6	16	18	0
TCGA-AN-A0XN-01	16	4	102	17	36
TCGA-AN-A0XO-01	3	19	4	7	10
TCGA-AN-A0XP-01	5	5	7	6	11
TCGA-AN-A0XR-01	3	6	17	11	1
TCGA-AN-A0XS-01	1	12	7	9	3
TCGA-AN-A0XT-01	0	0	0	22	0
TCGA-AN-A0XU-01	18	3	85	20	11
TCGA-AN-A0XV-01	7	0	11	15	11
TCGA-AN-A0XW-01	281	142	0	0	0
TCGA-AO-A03M-01	751	399	0	0	0
TCGA-AO-A03N-01	55	58	0	21	0
TCGA-AO-A03U-01	5	0	0	0	0
TCGA-AO-A03V-01	13	17	23	16	3
TCGA-AO-A0JG-01	0	4	13	0	4
TCGA-AO-A124-01	7	9	118	26	18
TCGA-AO-A125-01	2	6	12	21	4
TCGA-AO-A126-01	0	10	0	15	0
TCGA-AO-A128-01	0	0	0	426	784
TCGA-AO-A129-01	28	13	65	12	26
TCGA-AO-A12A-01	0	8	0	11	0
TCGA-AO-A12B-01	0	0	7	16	0
TCGA-AO-A12D-01	13	42	0	18	0
TCGA-AO-A12E-01	1	3	7	21	1
TCGA-AO-A12F-01	0	0	13	27	0
TCGA-AO-A12G-01	6	5	4	18	9
TCGA-AO-A12H-01	0	0	10	20	0
TCGA-AO-A1KO-01	0	0	0	0	10
TCGA-AO-A1KR-01	10	6	47	16	10
TCGA-AO-A1KT-01	0	9	0	20	22
TCGA-AQ-A04H-01	7	0	0	59	15
TCGA-AQ-A0Y5-01	15	12	7	31	5
TCGA-AQ-A1H2-01	0	5	0	20	9
TCGA-AQ-A1H3-01	0	0	0	27	0
TCGA-AQ-A54O-01	1	5	7	9	3
TCGA-AQ-A7U7-01	39	43	0	14	0
TCGA-AR-A0TP-01	4	6	44	1	16
TCGA-AR-A0TQ-01	2	23	9	11	4
TCGA-AR-A0TR-01	1	5	6	18	12
TCGA-AR-A0TS-01	10	5	47	21	7
TCGA-AR-A0TT-01	8	16	15	23	13
TCGA-AR-A0TU-01	11	1	52	15	11
TCGA-AR-A0TV-01	4	7	29	31	8
TCGA-AR-A0TW-01	3	2	27	29	6
TCGA-AR-A0TX-01	222	185	0	0	0
TCGA-AR-A0TZ-01	19	17	7	20	4
TCGA-AR-A0U0-01	10	3	22	12	3
TCGA-AR-A0U1-01	15	0	69	0	25
TCGA-AR-A0U2-01	0	0	14	27	15
TCGA-AR-A0U3-01	0	0	16	24	0
TCGA-AR-A0U4-01	53	11	111	13	13
TCGA-AR-A1AH-01	9	2	63	12	34
TCGA-AR-A1AI-01	20	6	23	30	10
TCGA-AR-A1AJ-01	12	23	0	18	0
TCGA-AR-A1AK-01	26	23	10	22	1
TCGA-AR-A1AL-01	4	7	3	6	10
TCGA-AR-A1AN-01	6	0	0	25	0
TCGA-AR-A1AO-01	19	19	59	19	6
TCGA-AR-A1AP-01	8	7	2	30	4
TCGA-AR-A1AQ-01	3	1	15	12	10
TCGA-AR-A1AR-01	8	1	31	19	4
TCGA-AR-A1AS-01	4	21	1	5	10
TCGA-AR-A1AT-01	0	0	19	13	0
TCGA-AR-A1AU-01	1	2	5	12	6
TCGA-AR-A1AV-01	1	8	8	25	7
TCGA-AR-A1AW-01	1	2	15	11	12
TCGA-AR-A1AX-01	0	8	10	14	0
TCGA-AR-A1AY-01	7	13	18	23	11
TCGA-AR-A24H-01	25	4	95	19	9
TCGA-AR-A24K-01	0	0	21	13	0
TCGA-AR-A24L-01	7	0	39	7	0
TCGA-AR-A24M-01	0	0	8	5	12
TCGA-AR-A24N-01	1	9	7	21	9
TCGA-AR-A24O-01	0	0	10	12	0
TCGA-AR-A24P-01	0	3	0	16	0
TCGA-AR-A24Q-01	24	34	137	4	33
TCGA-AR-A24R-01	0	0	0	15	11
TCGA-AR-A24S-01	6	10	9	20	12
TCGA-AR-A24T-01	3	0	0	21	0
TCGA-AR-A24U-01	14	15	0	15	0
TCGA-AR-A24V-01	4	3	1	16	4
TCGA-AR-A24W-01	0	3	7	4	0
TCGA-AR-A24X-01	0	0	13	21	0
TCGA-AR-A24Z-01	3	6	24	19	4
TCGA-AR-A250-01	63	12	19	56	5
TCGA-AR-A251-01	35	0	138	14	18
TCGA-AR-A252-01	0	0	0	12	7
TCGA-AR-A254-01	0	13	0	29	0
TCGA-AR-A255-01	26	18	21	16	8
