Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-E2-A15J-01	0	0	8	9	5
TCGA-E2-A15K-01	3	3	17	24	6
TCGA-E2-A15L-01	6	0	0	28	0
TCGA-E2-A15M-01	22	22	22	31	11
TCGA-E2-A15O-01	0	4	12	18	0
TCGA-E2-A15P-01	0	4	0	14	10
TCGA-E2-A15R-01	0	12	0	35	0
TCGA-E2-A15S-01	6	10	28	7	17
TCGA-E2-A15T-01	4	1	7	24	4
TCGA-E2-A1AZ-01	25	11	21	14	8
TCGA-E2-A1B0-01	6	11	4	23	16
TCGA-E2-A1B1-01	24	27	0	15	0
TCGA-E2-A1B4-01	0	17	15	10	0
TCGA-E2-A1B5-01	12	19	0	15	0
TCGA-E2-A1B6-01	0	0	34	14	8
TCGA-E2-A1BC-01	3	0	18	12	8
TCGA-E2-A1BD-01	0	0	13	30	0
TCGA-E2-A1IE-01	0	0	16	14	0
TCGA-E2-A1IF-01	0	0	9	7	8
TCGA-E2-A1IG-01	0	21	14	22	0
TCGA-E2-A1IH-01	27	20	10	11	17
TCGA-E2-A1II-01	0	0	20	14	0
TCGA-E2-A1IJ-01	0	0	0	18	0
TCGA-E2-A1IK-01	2	1	4	8	2
TCGA-E2-A1IL-01	0	0	16	15	0
TCGA-E2-A1IN-01	139	109	0	0	0
TCGA-E2-A1IO-01	0	2	0	14	0
TCGA-E2-A1IU-01	0	13	9	9	0
TCGA-E2-A1L6-01	0	9	0	10	9
TCGA-E2-A1L7-01	3	4	51	12	11
TCGA-E2-A1L8-01	4	6	10	9	9
TCGA-E2-A1L9-01	0	5	7	10	6
TCGA-E2-A1LA-01	10	0	63	11	23
TCGA-E2-A1LB-01	16	21	6	6	6
TCGA-E2-A1LG-01	153	46	0	20	0
TCGA-E2-A1LH-01	57	8	127	17	22
TCGA-E2-A1LI-01	9	6	16	3	3
TCGA-E2-A1LK-01	4	0	0	50	0
TCGA-E2-A1LL-01	6	0	31	14	10
TCGA-E2-A2P6-01	46	121	0	19	0
TCGA-E2-A56Z-01	0	6	16	21	17
TCGA-E2-A570-01	0	0	13	17	0
TCGA-E2-A572-01	4	0	0	17	8
TCGA-E2-A573-01	5	2	32	16	17
TCGA-E2-A574-01	41	51	21	40	3
TCGA-E2-A576-01	1	2	23	40	4
TCGA-E2-A9RU-01	12	19	9	56	11
TCGA-E9-A1N3-01	3	0	16	4	8
TCGA-E9-A1N4-01	9	7	3	13	2
TCGA-E9-A1N5-01	10	11	0	0	18
TCGA-E9-A1N8-01	11	4	8	2	11
TCGA-E9-A1N9-01	2	10	26	20	8
TCGA-E9-A1NA-01	19	11	61	22	4
TCGA-E9-A1NE-01	4	4	41	6	7
TCGA-E9-A1NF-01	6	34	5	13	3
TCGA-E9-A1NG-01	0	0	9	12	0
TCGA-E9-A1NH-01	2	2	10	14	9
TCGA-E9-A1QZ-01	0	0	12	6	5
TCGA-E9-A1R0-01	7	6	0	22	0
TCGA-E9-A1R2-01	16	0	29	7	14
TCGA-E9-A1R3-01	0	7	0	10	8
TCGA-E9-A1R4-01	52	75	5	10	11
TCGA-E9-A1R5-01	3	5	14	23	6
TCGA-E9-A1R6-01	1	4	9	21	1
TCGA-E9-A1R7-01	5	13	25	12	8
TCGA-E9-A1RA-01	0	10	7	8	0
TCGA-E9-A1RB-01	0	0	14	10	14
TCGA-E9-A1RC-01	1	2	14	27	11
TCGA-E9-A1RD-01	2	8	3	8	2
TCGA-E9-A1RE-01	1	4	9	38	14
TCGA-E9-A1RF-01	20	2	99	40	9
TCGA-E9-A1RG-01	6	6	14	8	7
TCGA-E9-A1RH-01	11	12	47	31	10
TCGA-E9-A1RI-01	0	10	9	10	0
TCGA-E9-A226-01	34	27	0	18	0
TCGA-E9-A227-01	2	4	9	4	0
TCGA-E9-A228-01	8	9	4	27	4
TCGA-E9-A229-01	7	0	8	15	0
TCGA-E9-A22A-01	6	6	15	8	1
TCGA-E9-A22B-01	5	17	18	31	5
TCGA-E9-A22D-01	4	5	0	31	0
TCGA-E9-A22E-01	31	10	77	18	8
TCGA-E9-A22G-01	9	1	71	1	35
TCGA-E9-A22H-01	0	4	0	22	0
TCGA-E9-A243-01	16	6	39	7	21
TCGA-E9-A244-01	5	0	66	29	21
TCGA-E9-A245-01	0	3	17	3	0
TCGA-E9-A247-01	0	0	0	35	12
TCGA-E9-A248-01	2	6	0	14	6
TCGA-E9-A249-01	0	0	0	18	7
TCGA-E9-A24A-01	0	0	10	12	0
TCGA-E9-A295-01	0	0	56	53	0
TCGA-E9-A2JS-01	0	0	28	61	0
TCGA-E9-A2JT-01	17	11	0	0	0
TCGA-E9-A3HO-01	7	4	46	4	11
TCGA-E9-A3QA-01	20	6	29	6	1
TCGA-E9-A3X8-01	7	0	17	13	0
TCGA-E9-A54Y-01	6	28	0	24	0
TCGA-E9-A5FK-01	1	4	16	13	5
TCGA-E9-A5FL-01	23	5	65	16	24
TCGA-E9-A5UO-01	0	0	17	21	0
TCGA-E9-A6HE-01	0	3	0	14	5
TCGA-EW-A1IW-01	37	61	6	20	3
TCGA-EW-A1IX-01	23	19	0	0	0
TCGA-EW-A1IY-01	4	28	0	6	0
TCGA-EW-A1IZ-01	0	0	0	209	226
TCGA-EW-A1J1-01	0	0	9	14	0
TCGA-EW-A1J3-01	0	6	12	6	6
TCGA-EW-A1J5-01	238	302	0	0	0
TCGA-EW-A1J6-01	0	0	26	18	0
TCGA-EW-A1OV-01	45	95	0	0	0
TCGA-EW-A1OX-01	4	4	5	5	3
TCGA-EW-A1OZ-01	6	10	18	36	6
TCGA-EW-A1P0-01	0	0	16	4	8
TCGA-EW-A1P1-01	0	0	0	3	0
TCGA-EW-A1P3-01	0	6	8	14	0
TCGA-EW-A1P4-01	11	0	34	16	16
TCGA-EW-A1P5-01	0	0	0	16	4
TCGA-EW-A1P6-01	0	5	0	21	0
TCGA-EW-A1P7-01	0	0	13	0	6
TCGA-EW-A1P8-01	0	4	17	10	8
TCGA-EW-A1PA-01	3	9	13	12	4
TCGA-EW-A1PB-01	73	25	73	9	2
TCGA-EW-A1PD-01	14	11	54	0	14
TCGA-EW-A1PE-01	1	12	8	9	8
TCGA-EW-A1PG-01	0	4	0	7	0
TCGA-EW-A1PH-01	7	4	16	30	5
TCGA-EW-A2FR-01	11	8	16	19	0
TCGA-EW-A2FS-01	2	1	12	17	13
TCGA-EW-A2FV-01	0	6	14	12	0
TCGA-EW-A2FW-01	0	4	0	22	0
TCGA-EW-A423-01	13	18	15	32	10
TCGA-EW-A6S9-01	1	5	6	15	4
TCGA-EW-A6SA-01	10	20	41	33	19
TCGA-EW-A6SB-01	7	3	26	26	19
TCGA-EW-A6SC-01	0	15	0	4	20
TCGA-EW-A6SD-01	21	22	0	10	15
TCGA-GI-A2C8-01	21	1	81	28	17
TCGA-GM-A2D9-01	263	382	0	0	0
TCGA-GM-A2DA-01	8	4	9	21	3
TCGA-GM-A2DB-01	9	7	66	36	10
TCGA-GM-A2DC-01	0	0	0	27	0
TCGA-GM-A2DD-01	4	5	27	14	18
TCGA-GM-A2DF-01	7	2	15	24	5
TCGA-GM-A2DH-01	97	23	83	18	11
TCGA-GM-A2DI-01	42	49	0	0	0
TCGA-GM-A2DK-01	0	12	0	12	13
TCGA-GM-A2DL-01	6	14	14	15	0
TCGA-GM-A2DM-01	0	11	7	0	9
TCGA-GM-A2DN-01	0	8	0	11	0
TCGA-GM-A2DO-01	99	121	0	0	0
TCGA-GM-A3NW-01	41	25	1	27	1
TCGA-GM-A3XL-01	45	1	67	15	16
TCGA-GM-A4E0-01	0	0	10	24	0
TCGA-GM-A5PV-01	2	15	16	8	6
TCGA-GM-A5PX-01	4	9	7	13	9
TCGA-HN-A2NL-01	10	0	51	20	10
TCGA-HN-A2OB-01	2	3	2	10	2
TCGA-JL-A3YX-01	8	21	0	12	8
TCGA-LD-A66U-01	0	0	0	22	22
TCGA-LD-A74U-01	128	224	0	0	0
TCGA-LD-A7W5-01	11	11	4	28	11
TCGA-LD-A7W6-01	1	5	13	19	8
TCGA-LD-A9QF-01	3	0	10	26	0
TCGA-LL-A440-01	0	2	0	4	0
TCGA-LL-A50Y-01	0	6	0	22	15
TCGA-LL-A5YL-01	15	49	0	29	0
TCGA-LL-A5YM-01	3	5	13	14	5
TCGA-LL-A5YN-01	0	0	20	23	0
TCGA-LL-A5YO-01	16	0	30	0	15
TCGA-LL-A5YP-01	9	13	62	6	15
TCGA-LL-A6FP-01	4	30	20	14	7
TCGA-LL-A6FQ-01	0	11	0	45	13
TCGA-LL-A6FR-01	3	4	20	23	13
TCGA-LL-A73Y-01	127	20	4	15	27
TCGA-LL-A73Z-01	1	4	16	19	8
TCGA-LL-A740-01	1	13	21	19	14
TCGA-LL-A7SZ-01	4	16	9	29	17
TCGA-LL-A7T0-01	6	13	6	39	13
TCGA-LL-A8F5-01	17	8	115	25	35
TCGA-LL-A9Q3-01	0	21	0	30	17
TCGA-OK-A5Q2-01	0	15	0	28	0
TCGA-OL-A5D6-01	0	15	17	25	0
TCGA-OL-A5D7-01	10	6	36	17	11
TCGA-OL-A5D8-01	2	2	11	16	8
TCGA-OL-A5DA-01	46	43	0	25	0
TCGA-OL-A5RU-01	1	2	12	27	4
TCGA-OL-A5RV-01	0	0	0	17	0
TCGA-OL-A5RW-01	106	28	82	2	35
TCGA-OL-A5RX-01	2	1	3	20	9
TCGA-OL-A5RY-01	2	0	0	5	6
TCGA-OL-A5RZ-01	11	17	51	63	10
TCGA-OL-A5S0-01	3	5	5	25	6
TCGA-OL-A66H-01	0	0	14	8	5
TCGA-OL-A66I-01	3	8	20	22	3
TCGA-OL-A66J-01	3	13	11	25	16
TCGA-OL-A66K-01	1	4	7	26	9
TCGA-OL-A66L-01	29	56	0	9	0
TCGA-OL-A66N-01	1	4	8	35	10
TCGA-OL-A66O-01	0	0	11	20	7
TCGA-OL-A66P-01	0	11	68	19	25
TCGA-OL-A6VO-01	0	0	15	23	0
TCGA-OL-A6VQ-01	24	43	0	15	0
TCGA-OL-A6VR-01	1	1	2	6	7
TCGA-OL-A97C-01	1	2	26	19	22
TCGA-PE-A5DC-01	11	20	74	27	22
TCGA-PE-A5DD-01	22	41	0	22	0
TCGA-PE-A5DE-01	242	447	0	0	0
TCGA-PL-A8LV-01	38	15	66	14	22
TCGA-PL-A8LX-01	0	0	15	16	18
TCGA-PL-A8LY-01	0	0	0	0	7
TCGA-PL-A8LZ-01	0	36	72	14	14
TCGA-S3-A6ZF-01	8	0	0	44	0
TCGA-S3-A6ZG-01	0	15	0	45	0
TCGA-S3-A6ZH-01	1	7	10	21	6
TCGA-S3-AA0Z-01	11	14	18	23	11
TCGA-S3-AA10-01	17	12	92	11	18
TCGA-S3-AA11-01	0	15	53	12	16
TCGA-S3-AA12-01	3	7	22	25	3
TCGA-S3-AA14-01	6	0	0	18	0
TCGA-S3-AA15-01	28	19	2	8	3
TCGA-S3-AA17-01	16	9	68	23	25
TCGA-UL-AAZ6-01	15	13	61	18	33
TCGA-UU-A93S-01	12	14	111	31	28
TCGA-V7-A7HQ-01	5	0	16	10	0
TCGA-W8-A86G-01	2	2	7	15	9
TCGA-WT-AB41-01	0	43	0	19	0
TCGA-WT-AB44-01	0	0	19	30	11
TCGA-XX-A899-01	12	38	0	10	0
TCGA-XX-A89A-01	175	55	0	35	0
TCGA-Z7-A8R5-01	0	0	0	34	0
TCGA-Z7-A8R6-01	30	54	0	23	0
