Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-A7-A6VV-01	1	9	17	1	13	4	19
TCGA-A7-A6VW-01	5	5	6	2	26	14	34
TCGA-A7-A6VX-01	31	11	2	25	55	19	34
TCGA-A7-A6VY-01	10	14	15	0	80	17	0
TCGA-A8-A075-01	19	12	7	8	28	2	24
TCGA-AC-A23C-01	38	24	11	45	0	27	0
TCGA-AC-A23E-01	0	0	12	6	6	0	0
TCGA-AC-A23H-01	2881	3497	0	0	0	0	0
TCGA-AC-A2B8-01	61	52	15	0	0	0	0
TCGA-AC-A2BK-01	0	5	34	0	55	16	0
TCGA-AC-A2BM-01	0	4	10	0	12	0	0
TCGA-AC-A2FB-01	7	0	5	0	0	5	0
TCGA-AC-A2FF-01	2	3	0	0	0	0	6
TCGA-AC-A2FG-01	10	0	8	0	0	0	21
TCGA-AC-A2FK-01	3	0	0	0	0	0	0
TCGA-AC-A2FO-01	10	5	0	0	0	0	12
TCGA-AC-A2QH-01	3	3	16	0	0	5	0
TCGA-AC-A3HN-01	2	2	11	0	0	7	0
TCGA-AC-A3OD-01	11	0	13	0	0	0	15
TCGA-AC-A3QP-01	0	0	0	0	0	6	29
TCGA-AC-A3QQ-01	1	1	18	3	10	1	2
TCGA-AC-A3W5-01	27	48	29	0	107	0	0
TCGA-AC-A3YI-01	0	0	4	10	0	4	0
TCGA-AC-A3YJ-01	6	0	15	0	0	0	17
TCGA-AC-A4ZE-01	10	0	14	0	15	13	22
TCGA-AC-A5EH-01	14	15	14	23	82	24	33
TCGA-AC-A5EI-01	14	0	11	0	0	0	18
TCGA-AC-A5XS-01	249	241	0	225	0	0	0
TCGA-AC-A5XU-01	15	5	54	21	11	6	1
TCGA-AC-A62V-01	0	8	57	0	41	0	0
TCGA-AC-A62X-01	0	0	63	24	0	0	0
TCGA-AC-A62Y-01	16	20	16	0	0	13	24
TCGA-AC-A6IV-01	0	0	6	6	0	0	15
TCGA-AC-A6IW-01	30	65	36	56	44	0	0
TCGA-AC-A6IX-01	32	9	16	0	0	14	0
TCGA-AC-A6NO-01	3	0	9	0	0	6	25
TCGA-AC-A7VB-01	0	0	18	0	0	6	11
TCGA-AC-A7VC-01	0	0	10	8	0	0	8
TCGA-AC-A8OP-01	11	14	57	63	63	36	0
TCGA-AC-A8OQ-01	20	5	30	4	5	6	67
TCGA-AC-A8OR-01	0	0	15	0	17	0	0
TCGA-AC-A8OS-01	17	6	9	0	0	12	35
TCGA-AN-A0XL-01	0	0	8	17	0	0	15
TCGA-AN-A0XN-01	1	14	8	31	55	30	36
TCGA-AN-A0XO-01	9	0	4	21	0	9	0
TCGA-AN-A0XP-01	5	4	7	0	8	10	0
TCGA-AN-A0XR-01	4	3	7	0	10	0	14
TCGA-AN-A0XS-01	9	0	7	0	0	0	16
TCGA-AN-A0XT-01	0	0	12	0	0	0	10
TCGA-AN-A0XU-01	0	19	0	0	43	0	75
TCGA-AN-A0XV-01	0	4	10	22	0	8	0
TCGA-AN-A0XW-01	176	247	0	0	0	0	0
TCGA-AO-A03M-01	477	673	0	0	0	0	0
TCGA-AO-A03N-01	46	43	19	26	0	0	0
TCGA-AO-A03U-01	0	2	0	0	0	0	3
TCGA-AO-A03V-01	6	6	7	53	0	0	0
TCGA-AO-A0JG-01	0	0	0	16	0	5	0
TCGA-AO-A124-01	3	7	16	28	87	15	22
TCGA-AO-A125-01	5	0	22	0	18	0	0
TCGA-AO-A126-01	4	0	4	0	0	0	17
TCGA-AO-A128-01	0	0	531	0	0	679	0
TCGA-AO-A129-01	13	23	0	0	33	21	54
TCGA-AO-A12A-01	7	0	12	0	0	0	0
TCGA-AO-A12B-01	0	0	14	0	9	0	0
TCGA-AO-A12D-01	22	6	9	36	0	0	0
TCGA-AO-A12E-01	0	0	16	17	0	0	0
TCGA-AO-A12F-01	0	0	25	0	15	0	0
TCGA-AO-A12G-01	4	5	11	0	0	0	22
TCGA-AO-A12H-01	0	0	8	0	0	0	22
TCGA-AO-A1KO-01	0	0	0	0	0	5	5
TCGA-AO-A1KR-01	7	8	15	0	49	10	0
TCGA-AO-A1KT-01	5	0	17	0	14	15	0
TCGA-AQ-A04H-01	0	6	48	0	0	0	27
TCGA-AQ-A0Y5-01	13	12	29	0	16	0	0
TCGA-AQ-A1H2-01	3	0	15	0	0	0	16
TCGA-AQ-A1H3-01	0	0	27	0	0	0	0
TCGA-AQ-A54O-01	5	0	10	0	10	0	0
TCGA-AQ-A7U7-01	43	36	17	0	0	0	0
TCGA-AR-A0TP-01	4	5	0	0	30	13	19
TCGA-AR-A0TQ-01	15	1	11	6	10	2	4
TCGA-AR-A0TR-01	0	0	13	20	0	9	0
TCGA-AR-A0TS-01	7	10	23	0	50	0	0
TCGA-AR-A0TT-01	12	6	23	4	17	10	3
TCGA-AR-A0TU-01	3	10	11	5	35	8	18
TCGA-AR-A0TV-01	5	4	19	0	0	0	51
TCGA-AR-A0TW-01	0	0	22	28	0	0	17
TCGA-AR-A0TX-01	200	207	0	0	0	0	0
TCGA-AR-A0TZ-01	15	16	16	0	0	0	20
TCGA-AR-A0U0-01	0	8	9	33	0	0	0
TCGA-AR-A0U1-01	0	14	0	22	49	24	0
TCGA-AR-A0U2-01	0	0	26	0	0	11	19
TCGA-AR-A0U3-01	0	0	15	25	0	0	0
TCGA-AR-A0U4-01	15	47	12	34	93	0	0
TCGA-AR-A1AH-01	0	10	11	0	43	27	29
TCGA-AR-A1AI-01	0	13	19	57	0	0	0
TCGA-AR-A1AJ-01	22	11	20	0	0	0	0
TCGA-AR-A1AK-01	20	22	14	0	0	0	26
TCGA-AR-A1AL-01	6	4	8	0	0	12	0
TCGA-AR-A1AN-01	0	4	16	0	0	0	11
TCGA-AR-A1AO-01	13	14	15	31	49	0	0
TCGA-AR-A1AP-01	3	4	19	25	0	0	0
TCGA-AR-A1AQ-01	2	2	12	0	18	7	0
TCGA-AR-A1AR-01	3	8	15	2	19	4	12
TCGA-AR-A1AS-01	16	3	10	0	12	0	0
TCGA-AR-A1AT-01	0	0	11	0	21	0	0
TCGA-AR-A1AU-01	0	0	10	11	0	5	0
TCGA-AR-A1AV-01	4	0	23	22	0	0	0
TCGA-AR-A1AW-01	3	0	13	0	15	10	0
TCGA-AR-A1AX-01	0	0	6	26	0	0	0
TCGA-AR-A1AY-01	9	5	17	6	12	8	15
TCGA-AR-A24H-01	7	22	12	13	69	5	24
TCGA-AR-A24K-01	0	0	6	0	12	0	16
TCGA-AR-A24L-01	1	6	4	6	30	5	1
TCGA-AR-A24M-01	0	0	7	0	7	11	0
TCGA-AR-A24N-01	8	0	23	0	16	0	0
TCGA-AR-A24O-01	0	2	6	0	0	0	14
TCGA-AR-A24P-01	0	0	7	12	0	0	0
TCGA-AR-A24Q-01	21	18	0	48	118	27	0
TCGA-AR-A24R-01	0	0	12	0	7	7	0
TCGA-AR-A24S-01	7	5	16	7	5	10	7
TCGA-AR-A24T-01	2	0	10	0	0	0	12
TCGA-AR-A24U-01	11	9	11	13	0	0	0
TCGA-AR-A24V-01	2	3	13	10	0	0	0
TCGA-AR-A24W-01	0	0	0	9	0	0	5
TCGA-AR-A24X-01	0	0	6	0	0	0	28
TCGA-AR-A24Z-01	4	3	13	0	14	0	22
TCGA-AR-A250-01	16	48	41	50	0	0	0
TCGA-AR-A251-01	6	33	8	4	108	17	29
TCGA-AR-A252-01	0	0	13	0	0	6	0
TCGA-AR-A254-01	4	0	13	13	0	0	12
TCGA-AR-A255-01	14	18	9	27	2	7	12
TCGA-AR-A256-01	18	14	10	35	112	18	17
TCGA-AR-A2LE-01	190	114	0	90	0	0	0
TCGA-AR-A2LH-01	23	11	0	37	0	0	0
TCGA-AR-A2LK-01	7	0	23	0	0	0	18
TCGA-AR-A2LL-01	0	0	12	0	0	0	25
TCGA-AR-A2LM-01	0	0	0	0	0	0	17
TCGA-AR-A2LN-01	16	0	6	32	0	0	0
TCGA-AR-A2LO-01	1	0	5	11	0	0	0
TCGA-AR-A2LQ-01	0	0	5	0	0	0	8
TCGA-AR-A2LR-01	2	2	13	5	15	3	30
TCGA-AR-A5QM-01	0	0	10	0	0	0	26
TCGA-AR-A5QN-01	6	0	24	12	0	7	0
TCGA-AR-A5QP-01	5	0	8	0	0	5	16
TCGA-AR-A5QQ-01	6	8	14	0	49	19	0
TCGA-B6-A0I1-01	6	0	14	0	0	0	60
TCGA-B6-A0IH-01	0	0	17	17	0	7	0
TCGA-B6-A0RH-01	11	7	6	0	0	0	21
TCGA-B6-A0RL-01	17	5	29	0	18	0	0
TCGA-B6-A0RM-01	8	0	15	0	0	0	13
TCGA-B6-A0RN-01	3	0	16	0	0	6	8
TCGA-B6-A0RO-01	4	1	5	7	14	7	5
TCGA-B6-A0RP-01	0	0	8	0	0	0	22
TCGA-B6-A0RQ-01	15	0	8	25	0	8	0
TCGA-B6-A0RT-01	0	17	8	19	28	0	0
TCGA-B6-A0RU-01	6	0	12	27	0	13	0
TCGA-B6-A0RV-01	32	26	9	0	0	0	0
TCGA-B6-A0WS-01	2	2	0	0	0	9	5
TCGA-B6-A0WT-01	0	0	7	10	0	5	0
TCGA-B6-A0WV-01	0	5	0	0	0	6	26
TCGA-B6-A0WW-01	10	4	13	1	13	4	2
TCGA-B6-A0WX-01	0	0	13	0	12	7	13
