Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-AR-A24H-01	23	6	15	79	22	7
TCGA-AR-A24K-01	0	0	9	15	5	5
TCGA-AR-A24L-01	7	1	4	35	0	6
TCGA-AR-A24M-01	1	1	5	5	2	11
TCGA-AR-A24N-01	1	7	19	11	1	8
TCGA-AR-A24O-01	1	0	7	0	12	2
TCGA-AR-A24P-01	0	1	10	2	5	1
TCGA-AR-A24Q-01	23	24	4	126	27	28
TCGA-AR-A24R-01	0	1	12	5	0	8
TCGA-AR-A24S-01	5	8	18	6	9	11
TCGA-AR-A24T-01	1	2	12	0	9	0
TCGA-AR-A24U-01	11	13	14	6	0	0
TCGA-AR-A24V-01	4	3	13	0	4	4
TCGA-AR-A24W-01	0	2	2	2	8	0
TCGA-AR-A24X-01	0	1	10	0	20	3
TCGA-AR-A24Z-01	3	4	15	11	21	2
TCGA-AR-A250-01	53	19	44	0	37	2
TCGA-AR-A251-01	34	4	11	122	16	18
TCGA-AR-A252-01	0	0	11	2	0	6
TCGA-AR-A254-01	1	6	17	0	18	0
TCGA-AR-A255-01	21	15	11	1	34	7
TCGA-AR-A256-01	17	22	12	131	22	20
TCGA-AR-A2LE-01	136	227	0	0	28	3
TCGA-AR-A2LH-01	18	35	9	7	0	2
TCGA-AR-A2LK-01	0	7	23	7	4	7
TCGA-AR-A2LL-01	0	0	17	0	20	0
TCGA-AR-A2LM-01	0	1	1	1	13	1
TCGA-AR-A2LN-01	5	24	10	5	6	4
TCGA-AR-A2LO-01	2	2	6	7	0	0
TCGA-AR-A2LQ-01	0	0	5	2	4	2
TCGA-AR-A2LR-01	1	2	17	13	33	4
TCGA-AR-A5QM-01	0	0	14	4	16	2
TCGA-AR-A5QN-01	0	8	24	1	7	9
TCGA-AR-A5QP-01	0	5	11	1	11	6
TCGA-AR-A5QQ-01	9	6	11	47	0	23
TCGA-B6-A0I1-01	1	7	25	7	40	0
TCGA-B6-A0IH-01	0	3	20	0	8	10
TCGA-B6-A0RH-01	7	12	10	3	11	2
TCGA-B6-A0RL-01	6	16	27	12	0	8
TCGA-B6-A0RM-01	0	7	15	2	6	6
TCGA-B6-A0RN-01	0	3	16	4	2	8
TCGA-B6-A0RO-01	1	5	5	7	17	8
TCGA-B6-A0RP-01	0	1	7	2	17	3
TCGA-B6-A0RQ-01	4	19	10	6	10	7
TCGA-B6-A0RT-01	21	0	10	36	2	3
TCGA-B6-A0RU-01	1	9	13	13	10	12
TCGA-B6-A0RV-01	27	31	8	0	0	1
TCGA-B6-A0WS-01	2	2	0	0	4	10
TCGA-B6-A0WT-01	0	2	11	0	3	6
TCGA-B6-A0WV-01	4	1	5	7	14	6
TCGA-B6-A0WW-01	4	10	12	7	9	5
TCGA-B6-A0WX-01	2	0	14	4	18	7
TCGA-B6-A0WY-01	3	7	10	6	0	9
TCGA-B6-A0WZ-01	25	58	1	7	0	4
TCGA-B6-A0X0-01	0	2	4	0	19	0
TCGA-B6-A0X1-01	15	8	6	34	14	15
TCGA-B6-A0X4-01	0	3	8	0	11	0
TCGA-B6-A0X5-01	1	8	3	0	29	7
TCGA-B6-A0X7-01	1	5	10	0	6	1
TCGA-B6-A1KN-01	3	3	11	12	32	11
TCGA-B6-A2IU-01	1	21	20	3	1	8
TCGA-B6-A401-01	1	0	13	3	9	2
TCGA-B6-A409-01	4	4	19	8	17	4
TCGA-B6-A40B-01	5	15	11	17	11	7
TCGA-B6-A40C-01	2	4	26	3	17	2
TCGA-BH-A0AU-01	3	1	7	3	6	3
TCGA-BH-A0AV-01	12	5	4	44	8	14
