MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
2:Ins:R:0	4.53E-09	1.87E-03	2.61E-06	2.54E-03	4.88E-07	1.87E-03	2.94E-03	2.73E-03
2:Ins:R:1	3.87E-09	3.40E-03	1.35E-06	6.65E-03	1.37E-03	2.43E-03	5.56E-03	3.20E-03
2:Ins:R:2	8.41E-46	3.82E-03	1.91E-03	5.75E-03	7.83E-04	1.73E-03	2.89E-03	2.58E-03
2:Ins:R:3	4.31E-08	2.61E-06	1.70E-06	2.33E-06	2.48E-04	6.63E-07	1.23E-04	4.20E-06
2:Ins:R:4	1.70E-08	5.11E-04	1.81E-06	6.74E-04	3.15E-04	2.84E-05	6.23E-04	6.33E-04
2:Ins:R:5	1.32E-08	1.07E-03	1.51E-04	1.25E-03	3.89E-04	2.88E-04	7.41E-04	2.06E-04
3:Ins:R:0	4.23E-09	2.39E-03	3.96E-04	3.32E-03	4.76E-04	8.32E-04	8.49E-04	1.37E-03
3:Ins:R:1	3.30E-46	1.59E-03	1.60E-03	2.40E-03	2.82E-04	7.16E-04	1.94E-03	7.48E-04
3:Ins:R:2	4.18E-09	9.63E-04	4.84E-04	6.74E-04	4.50E-04	3.54E-04	1.06E-03	7.13E-04
3:Ins:R:3	4.08E-08	2.83E-06	1.89E-06	2.43E-06	6.53E-07	5.83E-07	1.96E-06	1.71E-06
3:Ins:R:4	2.04E-08	4.46E-04	1.76E-06	2.72E-04	3.50E-04	1.54E-04	3.56E-04	2.04E-04
3:Ins:R:5	2.83E-08	6.16E-04	3.23E-05	8.92E-04	2.91E-04	1.79E-04	3.72E-04	3.05E-04
4:Ins:R:0	4.56E-09	2.66E-03	1.74E-06	8.01E-04	1.04E-06	6.61E-04	8.97E-04	7.89E-04
4:Ins:R:1	4.21E-09	1.62E-03	8.81E-04	2.67E-03	5.24E-04	1.05E-03	3.61E-03	2.54E-03
4:Ins:R:2	1.76E-08	8.01E-04	1.95E-06	4.52E-04	8.92E-05	1.10E-04	5.20E-04	1.84E-04
4:Ins:R:3	4.08E-08	2.83E-06	1.89E-06	2.43E-06	6.53E-07	5.83E-07	1.96E-06	1.71E-06
4:Ins:R:4	4.08E-08	2.83E-06	1.89E-06	2.43E-06	6.53E-07	5.83E-07	1.96E-06	1.71E-06
4:Ins:R:5	4.03E-08	5.56E-04	1.17E-04	2.78E-04	7.91E-05	1.44E-04	1.65E-04	8.65E-05
5:Ins:R:0	3.83E-09	3.92E-03	1.41E-06	3.65E-03	2.96E-07	1.56E-03	2.13E-03	2.95E-03
5:Ins:R:1	4.06E-09	3.46E-03	3.15E-06	7.89E-03	1.85E-07	2.57E-03	4.29E-03	5.69E-03
5:Ins:R:2	4.08E-08	2.83E-06	1.89E-06	2.43E-06	6.53E-07	5.83E-07	1.96E-06	1.71E-06
5:Ins:R:3	4.08E-08	2.83E-06	1.89E-06	2.43E-06	6.53E-07	5.83E-07	1.96E-06	1.71E-06
5:Ins:R:4	3.23E-08	6.17E-04	1.22E-04	2.29E-04	1.18E-04	1.70E-06	9.78E-05	2.56E-04
5:Ins:R:5	3.46E-08	2.60E-04	3.08E-05	5.32E-04	7.18E-05	1.45E-04	4.31E-04	1.07E-04
2:Del:M:1	5.45E-09	2.26E-06	2.01E-06	9.03E-03	5.11E-04	3.50E-03	1.33E-02	1.25E-02
3:Del:M:1	3.71E-09	1.46E-06	9.21E-07	6.05E-03	6.88E-03	4.85E-03	1.87E-02	1.22E-02
3:Del:M:2	5.25E-09	4.61E-03	1.82E-03	6.88E-03	2.25E-03	1.64E-03	5.35E-03	5.30E-03
4:Del:M:1	5.74E-09	8.00E-03	3.51E-03	6.45E-03	5.17E-04	3.18E-03	5.66E-03	6.56E-03
4:Del:M:2	1.42E-09	2.15E-03	1.08E-03	2.64E-03	8.63E-04	1.23E-03	1.88E-03	2.55E-03
4:Del:M:3	2.81E-11	5.27E-04	9.97E-05	1.37E-03	4.32E-04	4.78E-04	1.02E-03	7.34E-04
5:Del:M:1	3.78E-09	2.00E-06	7.88E-03	4.53E-02	7.91E-05	2.34E-02	1.90E-06	1.59E-06
5:Del:M:2	2.29E-09	9.52E-03	5.33E-06	1.42E-02	3.57E-05	8.20E-03	6.58E-03	4.42E-03
5:Del:M:3	1.99E-09	2.96E-03	1.11E-03	4.35E-03	2.90E-07	1.79E-03	2.37E-03	5.42E-04
5:Del:M:4	2.57E-09	3.03E-03	8.81E-05	1.82E-03	2.13E-04	7.61E-04	1.47E-03	7.81E-04
5:Del:M:5	6.43E-09	1.79E-03	1.76E-06	7.81E-04	4.92E-04	5.11E-04	5.43E-04	5.67E-04
