MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
4:Ins:R:4	0.00000148	0.00000630	0.00000288	0.00000222	0.00000827	0.00000677	0.00001696	0.00002360	0.00003175	0.00002794	0.00002794
4:Ins:R:5	0.00000077	0.00000534	0.00000187	0.00000144	0.00000635	0.00000532	0.00022205	0.00014098	0.00023164	0.00053764	0.00080719
5:Ins:R:0	0.00000008	0.00477330	0.00368491	0.00046088	0.00161061	0.00183762	0.00570392	0.00670673	0.00589395	0.00177739	0.00684418
5:Ins:R:1	0.00001022	0.01017378	0.00000240	0.00000003	0.00083529	0.00000346	0.00844391	0.00618675	0.02654660	0.01327805	0.01628202
5:Ins:R:2	0.00000148	0.00000630	0.00000288	0.00000222	0.00000827	0.00000677	0.00001696	0.00002360	0.00003175	0.00002794	0.00002794
5:Ins:R:3	0.00000148	0.00000629	0.00000288	0.00000223	0.00000827	0.00000677	0.00001696	0.00002360	0.00003176	0.00002795	0.00002795
5:Ins:R:4	0.00000095	0.00000570	0.00000228	0.00066438	0.00020645	0.00000559	0.00018852	0.00002019	0.00071186	0.00062085	0.00008847
5:Ins:R:5	0.00000080	0.00029537	0.00000213	0.00000125	0.00000601	0.00000532	0.00039027	0.00013045	0.00023598	0.00037570	0.00251539
2:Del:M:1	0.02452460	0.00000291	0.00000045	0.00056718	0.00815442	0.00000390	0.02508543	0.00598053	0.04953362	0.05251640	0.04233647
3:Del:M:1	0.00000001	0.00000638	0.00000000	0.02811540	0.00000085	0.00000078	0.04449039	0.00000477	0.09522636	0.03333708	0.04085265
3:Del:M:2	0.00000051	0.00000396	0.00077717	0.00867589	0.00118303	0.00000297	0.00860379	0.00091195	0.04042309	0.02304147	0.00569796
4:Del:M:1	0.00000169	0.00000279	0.00000094	0.00174816	0.00330946	0.00000122	0.00747525	0.00532914	0.06729944	0.02264704	0.03254195
4:Del:M:2	0.00000070	0.00000355	0.00000068	0.00000001	0.00189592	0.00284885	0.00405395	0.00101777	0.01416347	0.00959214	0.00688054
4:Del:M:3	0.00000070	0.00000397	0.00000144	0.00000053	0.00114325	0.00000443	0.00142717	0.00001637	0.00686163	0.00210764	0.00234282
5:Del:M:1	0.00000028	0.00000157	0.00000309	0.00000429	0.01287461	0.00000003	0.30151152	0.12477760	0.00658514	0.00651445	0.00000694
5:Del:M:2	0.00000029	0.00000184	0.00000887	0.00086808	0.00420187	0.00000304	0.07122270	0.04245216	0.01650637	0.00001982	0.03014062
5:Del:M:3	0.00000120	0.00662597	0.00000149	0.00000026	0.00000425	0.00810570	0.01080353	0.01269454	0.00581331	0.00408356	0.01477312
5:Del:M:4	0.00000090	0.00376773	0.00000149	0.00000021	0.00000401	0.00142130	0.00156109	0.00398178	0.00833754	0.00136369	0.00424243
5:Del:M:5	0.00101873	0.00019084	0.00000178	0.00026319	0.00000436	0.00105871	0.00207757	0.00125075	0.00315259	0.00125379	0.00148384
