Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-A7-A4SC-01	0	2	8	10	0	0	15	3
TCGA-A7-A4SD-01	2	1	29	8	6	13	0	3
TCGA-A7-A4SE-01	30	13	4	0	15	46	21	17
TCGA-A7-A56D-01	47	67	30	20	2	16	43	0
TCGA-A7-A5ZV-01	31	7	31	21	25	96	6	51
TCGA-A7-A5ZW-01	7	5	6	4	10	0	0	4
TCGA-A7-A5ZX-01	0	4	1	23	4	10	0	0
TCGA-A7-A6VV-01	9	1	17	0	3	0	7	27
TCGA-A7-A6VW-01	5	4	7	11	13	23	0	29
TCGA-A7-A6VX-01	14	31	7	1	17	46	30	31
TCGA-A7-A6VY-01	14	6	7	19	16	68	6	0
TCGA-A8-A075-01	11	18	9	0	0	14	17	31
TCGA-AC-A23C-01	23	36	10	0	20	16	29	11
TCGA-AC-A23E-01	0	0	11	3	0	3	7	0
TCGA-AC-A23H-01	3301	2686	10	0	18	24	339	0
TCGA-AC-A2B8-01	43	48	8	7	0	0	15	7
TCGA-AC-A2BK-01	6	0	29	2	18	40	3	12
TCGA-AC-A2BM-01	3	0	7	0	3	4	4	5
TCGA-AC-A2FB-01	0	4	3	0	3	0	1	6
TCGA-AC-A2FF-01	2	1	0	5	0	0	3	0
TCGA-AC-A2FG-01	2	8	8	9	3	3	0	6
TCGA-AC-A2FK-01	0	1	0	1	0	0	0	1
TCGA-AC-A2FO-01	4	7	0	10	0	3	3	0
TCGA-AC-A2QH-01	2	2	12	0	4	7	0	0
TCGA-AC-A3HN-01	2	2	6	1	5	3	0	3
TCGA-AC-A3OD-01	0	8	8	12	4	3	1	3
TCGA-AC-A3QP-01	1	0	0	12	5	0	0	17
TCGA-AC-A3QQ-01	1	0	14	0	0	0	17	4
TCGA-AC-A3W5-01	44	23	18	19	13	84	10	0
TCGA-AC-A3YI-01	0	0	2	7	3	0	0	6
TCGA-AC-A3YJ-01	1	4	12	0	2	0	9	10
TCGA-AC-A4ZE-01	1	9	16	2	13	14	0	19
TCGA-AC-A5EH-01	16	13	12	4	21	49	32	58
TCGA-AC-A5EI-01	1	12	10	5	4	2	0	9
TCGA-AC-A5XS-01	266	260	0	137	0	0	52	0
TCGA-AC-A5XU-01	6	14	45	9	5	6	28	0
TCGA-AC-A62V-01	6	4	43	0	9	25	19	0
TCGA-AC-A62X-01	4	0	49	0	3	1	30	0
TCGA-AC-A62Y-01	18	15	17	3	12	7	0	17
TCGA-AC-A6IV-01	0	0	2	19	1	0	0	5
TCGA-AC-A6IW-01	64	30	28	17	12	21	39	20
TCGA-AC-A6IX-01	8	26	13	0	12	2	6	4
TCGA-AC-A6NO-01	1	2	11	10	7	0	10	2
TCGA-AC-A7VB-01	0	0	17	0	6	0	4	8
TCGA-AC-A7VC-01	0	0	7	13	2	0	1	3
TCGA-AC-A8OP-01	16	10	42	37	33	61	45	0
TCGA-AC-A8OQ-01	4	19	31	26	6	5	0	46
TCGA-AC-A8OR-01	0	1	10	0	4	6	0	11
TCGA-AC-A8OS-01	5	15	13	0	10	11	0	25
TCGA-AN-A0XL-01	0	1	7	6	3	0	23	0
TCGA-AN-A0XN-01	15	1	6	21	28	42	25	37
TCGA-AN-A0XO-01	1	8	0	23	8	3	0	0
TCGA-AN-A0XP-01	4	5	6	0	8	3	3	5
TCGA-AN-A0XR-01	3	4	8	0	0	3	4	16
TCGA-AN-A0XS-01	0	8	6	4	2	1	0	11
TCGA-AN-A0XT-01	1	0	9	2	1	0	2	7
TCGA-AN-A0XU-01	17	5	11	0	6	30	9	59
TCGA-AN-A0XV-01	5	0	8	14	9	8	0	0
TCGA-AN-A0XW-01	242	172	4	0	3	2	0	0
TCGA-AO-A03M-01	639	441	0	70	0	0	0	0
TCGA-AO-A03N-01	39	39	11	24	4	0	17	0
TCGA-AO-A03U-01	2	0	0	1	0	0	1	1
TCGA-AO-A03V-01	9	8	4	18	0	1	31	1
TCGA-AO-A0JG-01	0	2	0	0	3	6	9	1
TCGA-AO-A124-01	8	1	11	23	13	80	40	2
TCGA-AO-A125-01	2	4	13	9	2	4	2	9
TCGA-AO-A126-01	0	4	6	5	0	0	0	10
TCGA-AO-A128-01	17	22	460	7	687	17	0	0
TCGA-AO-A129-01	23	13	11	0	20	33	0	44
TCGA-AO-A12A-01	0	5	10	0	2	0	0	2
TCGA-AO-A12B-01	0	1	11	0	2	5	0	4
TCGA-AO-A12D-01	8	22	4	34	0	0	5	0
TCGA-AO-A12E-01	1	2	13	7	0	4	0	6
TCGA-AO-A12F-01	0	0	20	1	5	14	0	0
TCGA-AO-A12G-01	4	4	14	4	5	0	0	11
TCGA-AO-A12H-01	0	0	8	14	2	2	0	4
TCGA-AO-A1KO-01	0	0	0	3	4	2	0	1
TCGA-AO-A1KR-01	9	6	11	1	9	35	0	18
TCGA-AO-A1KT-01	0	4	12	8	14	8	0	5
TCGA-AQ-A04H-01	5	3	41	6	8	10	1	7
TCGA-AQ-A0Y5-01	10	10	23	13	3	11	0	0
TCGA-AQ-A1H2-01	0	2	11	10	4	2	0	5
TCGA-AQ-A1H3-01	0	0	22	0	0	1	0	4
TCGA-AQ-A54O-01	0	4	9	0	2	10	0	0
TCGA-AQ-A7U7-01	30	35	9	14	8	0	0	0
TCGA-AR-A0TP-01	5	4	1	0	13	25	0	23
TCGA-AR-A0TQ-01	2	13	10	0	1	7	16	0
TCGA-AR-A0TR-01	1	2	11	6	10	1	11	0
TCGA-AR-A0TS-01	9	6	16	0	5	16	17	21
TCGA-AR-A0TT-01	6	11	17	9	10	5	0	17
TCGA-AR-A0TU-01	9	3	12	0	7	41	1	17
TCGA-AR-A0TV-01	4	4	21	2	2	0	17	29
TCGA-AR-A0TW-01	3	1	20	13	3	18	0	9
TCGA-AR-A0TX-01	183	171	0	53	0	0	0	0
TCGA-AR-A0TZ-01	14	11	10	24	2	2	4	0
TCGA-AR-A0U0-01	8	1	5	9	0	0	20	7
TCGA-AR-A0U1-01	14	0	0	10	20	36	14	15
TCGA-AR-A0U2-01	0	0	22	4	10	3	2	15
TCGA-AR-A0U3-01	0	0	9	11	3	0	17	0
TCGA-AR-A0U4-01	45	14	5	4	8	61	64	0
TCGA-AR-A1AH-01	9	2	11	0	25	32	19	22
TCGA-AR-A1AI-01	14	2	9	41	8	7	8	0
TCGA-AR-A1AJ-01	9	19	16	1	4	1	0	3
TCGA-AR-A1AK-01	19	16	11	16	0	0	16	4
TCGA-AR-A1AL-01	3	4	5	3	8	0	0	7
TCGA-AR-A1AN-01	3	0	12	11	2	3	0	0
TCGA-AR-A1AO-01	15	12	8	28	5	53	1	0
TCGA-AR-A1AP-01	6	4	17	18	1	0	5	0
TCGA-AR-A1AQ-01	2	2	11	0	8	14	4	0
TCGA-AR-A1AR-01	7	3	13	0	2	0	0	38
TCGA-AR-A1AS-01	2	13	6	5	7	6	0	2
TCGA-AR-A1AT-01	1	1	9	0	3	18	0	0
TCGA-AR-A1AU-01	1	1	8	3	4	7	2	0
TCGA-AR-A1AV-01	1	3	16	16	4	5	4	0
TCGA-AR-A1AW-01	1	1	9	0	8	0	14	8
TCGA-AR-A1AX-01	0	0	0	28	1	0	2	1
TCGA-AR-A1AY-01	5	8	17	1	7	6	25	3
TCGA-AR-A24H-01	22	6	12	0	4	51	34	23
TCGA-AR-A24K-01	0	0	4	11	4	13	0	2
TCGA-AR-A24L-01	6	1	3	0	5	17	4	17
