MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
5:Del:R:3	0.00000327	0.00000182	0.00000254	0.00000716	0.00000181	0.00001803	0.00003006	0.00002364	0.00002708	0.00002382
5:Del:R:4	0.00000327	0.00000182	0.00000254	0.00000716	0.00000181	0.00001803	0.00003006	0.00002364	0.00002708	0.00002384
5:Del:R:5	0.00000327	0.00000182	0.00000254	0.00000716	0.00000181	0.00001803	0.00003006	0.00002364	0.00002708	0.00002382
2:Ins:R:0	0.00872402	0.00415798	0.00084573	0.00171225	0.00112634	0.00423988	0.02188228	0.00131600	0.00301071	0.00668959
2:Ins:R:1	0.01818270	0.00095511	0.00000195	0.00000140	0.00075550	0.01336886	0.02830105	0.00549998	0.01114159	0.01508708
2:Ins:R:2	0.00000278	0.00044670	0.00135300	0.00127474	0.00000004	0.00271888	0.01663612	0.00320155	0.00937777	0.00624274
2:Ins:R:3	0.00000317	0.00000122	0.00000243	0.00000615	0.00121263	0.00001668	0.00002695	0.00002135	0.00002664	0.00065246
2:Ins:R:4	0.00000279	0.00000091	0.00000254	0.00003393	0.00139056	0.00217434	0.00154832	0.00005204	0.00039914	0.00177338
2:Ins:R:5	0.00000200	0.00000082	0.00000176	0.00000489	0.00111432	0.00251565	0.00177807	0.00124905	0.00072538	0.00282164
3:Ins:R:0	0.00306125	0.00000046	0.00000133	0.00000418	0.00000052	0.00001463	0.00472977	0.00407549	0.00282249	0.01211507
3:Ins:R:1	0.00245979	0.00000063	0.00058017	0.00000808	0.00093956	0.00516866	0.00461988	0.00149716	0.00203545	0.00556781
3:Ins:R:2	0.00097666	0.00000059	0.00000165	0.00000548	0.00096023	0.00121763	0.00516422	0.00164529	0.00081077	0.00393066
3:Ins:R:3	0.00000327	0.00000182	0.00000254	0.00000716	0.00000181	0.00001803	0.00003006	0.00002364	0.00002708	0.00002382
3:Ins:R:4	0.00000316	0.00000125	0.00000445	0.00000553	0.00131732	0.00031844	0.00029025	0.00017650	0.00021079	0.00120117
3:Ins:R:5	0.00000233	0.00001847	0.00072398	0.00006980	0.00144682	0.00419700	0.00067785	0.00038344	0.00052084	0.00061712
4:Ins:R:0	0.00163093	0.00000080	0.00000241	0.00026882	0.00025732	0.00597644	0.00238957	0.00145445	0.00142698	0.00429528
4:Ins:R:1	0.00382375	0.00000127	0.00000224	0.00118319	0.00103017	0.00652735	0.01590869	0.00334602	0.00452910	0.00301791
4:Ins:R:2	0.00093574	0.00000092	0.00000150	0.00006411	0.00000055	0.00218610	0.00262644	0.00073319	0.00053024	0.00030016
4:Ins:R:3	0.00000327	0.00000182	0.00000254	0.00000716	0.00000181	0.00001803	0.00003006	0.00002364	0.00002708	0.00002382
4:Ins:R:4	0.00000327	0.00000182	0.00000254	0.00000716	0.00000181	0.00001803	0.00003006	0.00002364	0.00002708	0.00002382
4:Ins:R:5	0.00000289	0.00000120	0.00000189	0.00007687	0.00010098	0.00001506	0.00059654	0.00012954	0.00013528	0.00096240
5:Ins:R:0	0.00000241	0.00000077	0.00000248	0.00000402	0.00000009	0.00825629	0.00539598	0.00771041	0.00471516	0.00541836
5:Ins:R:1	0.00001431	0.00000074	0.00000147	0.00000291	0.00000002	0.00865518	0.02294622	0.00539850	0.01085497	0.01839751
5:Ins:R:2	0.00000327	0.00000182	0.00000254	0.00000716	0.00000181	0.00001803	0.00003006	0.00002364	0.00002708	0.00002382
5:Ins:R:3	0.00000327	0.00000182	0.00000254	0.00000716	0.00000181	0.00001803	0.00003006	0.00002364	0.00002708	0.00002384
5:Ins:R:4	0.00000261	0.00000126	0.00036599	0.00010919	0.00024719	0.00001532	0.00044702	0.00002053	0.00111695	0.00038460
5:Ins:R:5	0.00000270	0.00000120	0.00000203	0.00000556	0.00025810	0.00067093	0.00027103	0.00044969	0.00021126	0.00061856
2:Del:M:1	0.00000617	0.00000054	0.00000047	0.00543606	0.00097943	0.00324373	0.01446576	0.00873651	0.08793456	0.02091160
3:Del:M:1	0.00000095	0.00000001	0.02486056	0.00532655	0.01565822	0.01926812	0.03819693	0.00281050	0.03431838	0.08761332
3:Del:M:2	0.00000910	0.00000200	0.00242800	0.00000337	0.00801097	0.00993331	0.02725848	0.00240707	0.02106059	0.01059847
4:Del:M:1	0.00000133	0.00000073	0.00000599	0.00000265	0.00139968	0.01009352	0.03685626	0.00467569	0.02656126	0.03592813
4:Del:M:2	0.00000150	0.00000041	0.00000370	0.00000456	0.00000011	0.00424557	0.00641802	0.00476667	0.01103393	0.00559909
4:Del:M:3	0.00083793	0.00000082	0.00032228	0.00000459	0.00013123	0.00101015	0.00384714	0.00148817	0.00283857	0.00273110
5:Del:M:1	0.00000110	0.00000002	0.00000005	0.02667110	0.00000115	0.00000601	0.21151071	0.13740840	0.00716788	0.00000682
5:Del:M:2	0.02289991	0.00000118	0.00000039	0.00787067	0.00025121	0.00001718	0.09691268	0.02941635	0.00542109	0.01718158
5:Del:M:3	0.00278150	0.00000075	0.00000112	0.00057431	0.00000006	0.00453680	0.00842345	0.01490690	0.00539816	0.00387230
5:Del:M:4	0.00348488	0.00000157	0.00000163	0.00035614	0.00000009	0.00077730	0.00683222	0.00368853	0.00199226	0.00262113
5:Del:M:5	0.00192665	0.00000069	0.00019521	0.00000366	0.00019747	0.00364306	0.00295353	0.00050285	0.00103083	0.00059087
