MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
4:Ins:R:4	1.74E-06	1.03E-06	1.31E-06	1.62E-06	3.86E-07	2.86E-06	9.73E-07	3.17E-07	1.11E-06	1.71E-06
4:Ins:R:5	1.59E-06	8.70E-07	1.11E-06	7.17E-05	7.04E-05	2.49E-06	2.57E-04	7.59E-05	1.11E-04	3.19E-04
5:Ins:R:0	1.39E-06	7.73E-07	1.78E-06	1.61E-06	6.19E-08	3.69E-03	2.70E-03	1.63E-03	2.07E-03	3.02E-03
5:Ins:R:1	1.33E-05	7.22E-07	1.01E-06	1.38E-06	2.15E-08	6.07E-03	6.51E-03	2.30E-03	3.73E-03	7.23E-03
5:Ins:R:2	1.74E-06	1.03E-06	1.31E-06	1.62E-06	3.86E-07	2.86E-06	9.73E-07	3.17E-07	1.11E-06	1.71E-06
5:Ins:R:3	1.74E-06	1.03E-06	1.31E-06	1.62E-06	3.87E-07	2.86E-06	9.75E-07	3.17E-07	1.11E-06	1.71E-06
5:Ins:R:4	1.43E-06	9.16E-07	3.65E-04	7.80E-05	1.30E-04	2.55E-06	3.76E-04	6.17E-07	3.61E-04	2.97E-04
5:Ins:R:5	1.51E-06	1.05E-06	1.33E-06	1.46E-06	1.90E-04	4.79E-04	1.42E-04	1.93E-04	1.47E-04	2.49E-04
2:Del:M:1	4.45E-06	5.34E-07	3.10E-07	5.44E-03	6.18E-04	3.23E-03	8.20E-03	4.73E-03	1.22E-02	1.01E-02
3:Del:M:1	5.41E-07	3.61E-09	1.99E-02	5.33E-03	2.85E-03	1.93E-02	1.76E-02	2.80E-03	1.15E-02	2.21E-02
3:Del:M:2	6.35E-06	2.00E-06	2.43E-03	1.58E-06	2.00E-03	6.98E-03	8.08E-03	1.72E-03	5.21E-03	4.35E-03
4:Del:M:1	7.69E-07	7.29E-07	5.45E-06	1.48E-06	4.01E-04	6.75E-03	1.38E-02	2.48E-03	7.60E-03	9.62E-03
4:Del:M:2	9.28E-07	4.05E-07	2.91E-06	1.97E-06	6.65E-08	2.37E-03	2.47E-03	1.69E-03	2.37E-03	2.52E-03
4:Del:M:3	8.37E-04	8.20E-07	3.21E-04	2.06E-06	1.31E-04	9.99E-04	2.24E-03	6.19E-04	8.89E-04	8.63E-04
5:Del:M:1	7.92E-07	6.54E-09	4.13E-08	1.85E-02	5.33E-07	1.91E-06	4.66E-02	2.61E-02	7.16E-03	2.31E-06
5:Del:M:2	2.29E-02	1.17E-06	3.65E-07	5.51E-03	1.73E-04	4.56E-06	2.11E-02	7.98E-03	5.41E-03	1.26E-02
5:Del:M:3	2.78E-03	7.47E-07	7.69E-07	5.69E-04	4.62E-08	2.78E-03	4.06E-03	2.58E-03	2.91E-03	2.21E-03
5:Del:M:4	2.44E-03	1.57E-06	1.16E-06	3.54E-04	7.17E-08	6.51E-04	2.96E-03	7.90E-04	7.85E-04	1.59E-03
5:Del:M:5	1.46E-03	6.92E-07	1.94E-04	1.28E-06	1.38E-04	1.54E-03	1.03E-03	2.30E-04	4.08E-04	3.96E-04
