MutationType	ID1	ID2	ID7	ID13	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83I	ID83J	ID83K	ID83L	ID83N
3:Del:R:1	0.00501109	0.00500326	0.01168900	0.00118696	0.00000479	0.00000104	0.00000778	0.00000310	0.00000575	0.00001112	0.00045663	0.00223120	0.00002803	0.00693033	0.00307528
3:Del:R:2	0.00076938	0.00228989	0.00547485	0.00038438	0.00000160	0.00000118	0.00000794	0.00256709	0.00066967	0.00028335	0.00014950	0.00011133	0.00199627	0.00076225	0.00027593
3:Del:R:3	0.00037126	0.00040259	0.00345675	0.00006900	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00002249	0.00002216	0.00002641	0.00002533	0.00003231
3:Del:R:4	0.00000000	0.00000000	0.00049254	0.00000309	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00002249	0.00002216	0.00002641	0.00002533	0.00003231
3:Del:R:5	0.00000000	0.00000000	0.00043659	0.00009960	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00002249	0.00002216	0.00002641	0.00002533	0.00003231
4:Del:R:0	0.00009970	0.00001210	0.00013088	0.00215535	0.00150835	0.00000091	0.00000364	0.00000635	0.00000097	0.00000179	0.00612822	0.03004141	0.00856357	0.18227903	0.01395455
4:Del:R:1	0.00090050	0.00211579	0.00339680	0.00002300	0.00000127	0.00000097	0.00044117	0.00128957	0.00051139	0.00001101	0.00026607	0.00077666	0.00179030	0.00274340	0.00179384
4:Del:R:2	0.00000323	0.00054329	0.00277739	0.00007920	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00002249	0.00002216	0.00002641	0.00002533	0.00003231
4:Del:R:3	0.00000000	0.00000727	0.00043959	0.00003920	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00002249	0.00002216	0.00002641	0.00002533	0.00003231
4:Del:R:4	0.00000000	0.00000000	0.00020181	0.00000947	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00002249	0.00002216	0.00002641	0.00002533	0.00003231
4:Del:R:5	0.00002890	0.00021041	0.00025076	0.00006300	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00002249	0.00002216	0.00002641	0.00002533	0.00003231
5:Del:R:0	0.00000835	0.00003850	0.00008550	0.02009754	0.00000064	0.00000006	0.00000121	0.00000019	0.00000002	0.00000207	0.71372597	0.00001645	0.00000259	0.00000256	0.00000475
5:Del:R:1	0.00019068	0.00297751	0.00347673	0.00298053	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00002249	0.00002216	0.00002641	0.00002533	0.00003231
5:Del:R:2	0.00012636	0.00039753	0.00116890	0.00006990	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00002249	0.00002216	0.00002641	0.00002533	0.00003231
5:Del:R:3	0.00001890	0.00015815	0.00040662	0.00000640	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00002249	0.00002216	0.00002641	0.00002533	0.00003231
5:Del:R:4	0.00000311	0.00008470	0.00012588	0.00000146	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00002249	0.00002216	0.00002641	0.00002533	0.00003231
5:Del:R:5	0.00003130	0.00002120	0.00002080	0.00000235	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00002249	0.00002216	0.00002641	0.00002533	0.00003231
2:Ins:R:0	0.00040204	0.00033185	0.00003040	0.01061841	0.00000050	0.00000103	0.01805451	0.00428889	0.00000449	0.00490025	0.00001505	0.00634711	0.00664716	0.01421808	0.00847699
2:Ins:R:1	0.00000788	0.00027166	0.00039763	0.00180137	0.01150952	0.00624160	0.00000627	0.01100747	0.00736448	0.00000482	0.00303635	0.01101090	0.01245918	0.01262776	0.01668405
2:Ins:R:2	0.00022135	0.00103534	0.00007010	0.00068852	0.00000070	0.00311310	0.00436949	0.00926520	0.00000471	0.00154604	0.00191484	0.01003746	0.01187824	0.00408962	0.01337551
2:Ins:R:3	0.00051427	0.00038133	0.00314704	0.00074354	0.00035260	0.00000314	0.00001031	0.00000459	0.00000592	0.00001348	0.00002148	0.00002208	0.00002606	0.00002675	0.00003247
2:Ins:R:4	0.00291310	0.00197742	0.00182828	0.00021335	0.00000145	0.00000137	0.00044129	0.00106981	0.00045241	0.00036223	0.00001915	0.00122247	0.00047188	0.00167260	0.00150072
2:Ins:R:5	0.01812158	0.01363338	0.00024477	0.00084658	0.00136236	0.00000108	0.00000948	0.00066093	0.00000531	0.00114537	0.00044473	0.00066017	0.00019243	0.00201554	0.00137980
3:Ins:R:0	0.00000031	0.00005780	0.00000000	0.00008210	0.00000078	0.00000036	0.00694953	0.00000286	0.00248348	0.00127498	0.00284924	0.01201767	0.00169162	0.00911506	0.01759847
3:Ins:R:1	0.00025469	0.00122705	0.00000551	0.00368833	0.00000071	0.00207565	0.00269988	0.00266412	0.00031336	0.00060843	0.00149065	0.00221911	0.00096566	0.01115674	0.00118390
3:Ins:R:2	0.00004410	0.00021007	0.00005470	0.00020251	0.00053731	0.00000125	0.00000786	0.00133113	0.00111794	0.00000849	0.00130598	0.00585713	0.00089584	0.00802757	0.00420945
3:Ins:R:3	0.00016670	0.00000302	0.00017783	0.00002370	0.00000287	0.00000224	0.00001077	0.00000508	0.00000619	0.00001445	0.00002249	0.00002216	0.00002641	0.00002533	0.00003231
3:Ins:R:4	0.00008890	0.00014181	0.00041561	0.00000349	0.00000190	0.00000133	0.00078012	0.00038289	0.00062540	0.00001221	0.00008724	0.00066068	0.00002360	0.00023412	0.00146871
3:Ins:R:5	0.00124870	0.00186471	0.00076928	0.00003540	0.00079275	0.00000138	0.00050145	0.00000384	0.00071303	0.00013531	0.00030700	0.00085485	0.00046507	0.00019379	0.00149003
