Sample Names	MutationType	DBS1	DBS2	DBS4	DBS6	DBS10	DBS11	DBS13	DBS17	DBS18	DBS78I	DBS78K	DBS78L
PD3851a_non-exome	CT>TA	0.0	0.0658665487708355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9341334512291646
PD3851a_non-exome	CT>TC	0.0	0.0002730802521248588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9997269197478752
PD3851a_non-exome	CT>TG	0.0	0.9672947579273746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03270524207262547
PD3851a_non-exome	GC>AA	0.0	0.03173636415119244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9682636358488076
PD3851a_non-exome	GC>AG	0.0	0.009255871554232575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9907441284457675
PD3851a_non-exome	GC>AT	0.0	0.020541111903147728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9794588880968523
PD3851a_non-exome	GC>CA	0.0	0.011387849168811859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9886121508311881
PD3851a_non-exome	GC>CG	0.0	0.8015285440858292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1984714559141708
PD3851a_non-exome	GC>TA	0.0	0.015117272095566028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.984882727904434
PD3851a_non-exome	TA>AT	0.0	0.06045269109094988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9395473089090501
PD3851a_non-exome	TA>CG	0.0	0.6028610028838285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39713899711617157
PD3851a_non-exome	TA>CT	0.0	0.004861728541479746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9951382714585203
PD3851a_non-exome	TA>GC	0.0	0.8322742248652869	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16772577513471304
PD3851a_non-exome	TA>GG	0.0	0.8490022773091409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.150997722690859
PD3851a_non-exome	TA>GT	0.0	0.9886659403981258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011334059601874173
PD3851a_non-exome	TC>AA	0.0	0.020634704755491375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9793652952445088
PD3851a_non-exome	TC>AG	0.0	0.004115075704577793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9958849242954222
PD3851a_non-exome	TC>AT	0.0	6.061745341641035e-17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
PD3851a_non-exome	TC>CA	0.0	0.023024250066716326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9769757499332836
PD3851a_non-exome	TC>CG	0.0	0.2430223710890769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7569776289109232
PD3851a_non-exome	TC>CT	0.0	0.06530664257818644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9346933574218136
PD3851a_non-exome	TC>GA	0.0	0.02322224940943396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.976777750590566
PD3851a_non-exome	TC>GG	0.0	0.4411059141623186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5588940858376814
PD3851a_non-exome	TC>GT	0.0	0.0021300278324124225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9978699721675877
PD3851a_non-exome	TG>AA	0.0	0.996682560122863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003317439877136936
PD3851a_non-exome	TG>AC	0.0	0.9331487269807983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06685127301920173
PD3851a_non-exome	TG>AT	0.0	0.11386970015924706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.886130299840753
