Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-A7-A4SC-01	0	0	8	13	0	0	17	0
TCGA-A7-A4SD-01	0	0	32	12	0	18	0	0
TCGA-A7-A4SE-01	31	13	0	0	18	51	33	0
TCGA-A7-A56D-01	50	72	36	0	0	0	67	0
TCGA-A7-A5ZV-01	31	7	31	21	25	96	6	51
TCGA-A7-A5ZW-01	9	7	9	0	11	0	0	0
TCGA-A7-A5ZX-01	0	4	0	26	0	12	0	0
TCGA-A7-A6VV-01	10	0	19	0	0	0	0	35
TCGA-A7-A6VW-01	5	5	10	0	13	23	0	36
TCGA-A7-A6VX-01	14	31	7	1	17	46	30	31
TCGA-A7-A6VY-01	14	7	7	20	17	71	0	0
TCGA-A8-A075-01	12	18	8	0	0	0	22	40
TCGA-AC-A23C-01	25	38	10	0	23	0	49	0
TCGA-AC-A23E-01	0	0	12	0	0	0	12	0
TCGA-AC-A23H-01	3507	2871	0	0	0	0	0	0
TCGA-AC-A2B8-01	44	51	10	0	0	0	23	0
TCGA-AC-A2BK-01	6	0	32	0	20	52	0	0
TCGA-AC-A2BM-01	4	0	9	0	0	0	0	13
TCGA-AC-A2FB-01	0	5	4	0	0	0	0	8
TCGA-AC-A2FF-01	3	2	0	6	0	0	0	0
TCGA-AC-A2FG-01	0	10	10	19	0	0	0	0
TCGA-AC-A2FK-01	0	1	0	0	0	0	0	2
TCGA-AC-A2FO-01	5	8	0	14	0	0	0	0
TCGA-AC-A2QH-01	2	2	12	0	4	7	0	0
TCGA-AC-A3HN-01	2	2	7	0	5	0	0	6
TCGA-AC-A3OD-01	0	10	10	19	0	0	0	0
TCGA-AC-A3QP-01	0	0	0	13	5	0	0	17
TCGA-AC-A3QQ-01	0	0	15	0	0	0	21	0
TCGA-AC-A3W5-01	48	27	29	0	0	107	0	0
TCGA-AC-A3YI-01	0	0	0	10	3	0	0	5
TCGA-AC-A3YJ-01	0	5	13	0	0	0	10	10
TCGA-AC-A4ZE-01	0	10	17	0	13	15	0	19
TCGA-AC-A5EH-01	16	13	12	4	21	49	32	58
TCGA-AC-A5EI-01	0	14	13	0	0	0	0	16
TCGA-AC-A5XS-01	278	271	0	166	0	0	0	0
TCGA-AC-A5XU-01	7	15	51	0	0	0	40	0
TCGA-AC-A62V-01	7	0	47	0	0	25	27	0
TCGA-AC-A62X-01	0	0	52	0	0	0	35	0
TCGA-AC-A62Y-01	18	15	19	0	13	0	0	24
TCGA-AC-A6IV-01	0	0	3	18	0	0	0	6
TCGA-AC-A6IW-01	64	30	28	17	12	21	39	20
TCGA-AC-A6IX-01	10	30	16	0	15	0	0	0
TCGA-AC-A6NO-01	0	0	11	13	7	0	12	0
TCGA-AC-A7VB-01	0	0	18	0	6	0	0	11
TCGA-AC-A7VC-01	0	0	9	17	0	0	0	0
TCGA-AC-A8OP-01	16	10	42	37	33	61	45	0
TCGA-AC-A8OQ-01	0	20	34	30	0	0	0	53
TCGA-AC-A8OR-01	0	0	13	0	0	0	0	19
TCGA-AC-A8OS-01	6	16	13	0	11	0	0	33
TCGA-AN-A0XL-01	0	0	8	7	0	0	25	0
TCGA-AN-A0XN-01	15	1	6	21	28	42	25	37
TCGA-AN-A0XO-01	0	8	0	26	9	0	0	0
TCGA-AN-A0XP-01	4	5	6	0	10	0	0	9
TCGA-AN-A0XR-01	3	5	8	0	0	0	0	22
TCGA-AN-A0XS-01	0	9	8	0	0	0	0	15
TCGA-AN-A0XT-01	0	0	12	0	0	0	0	10
TCGA-AN-A0XU-01	17	5	13	0	0	34	0	68
TCGA-AN-A0XV-01	6	0	9	18	11	0	0	0
TCGA-AN-A0XW-01	247	176	0	0	0	0	0	0
TCGA-AO-A03M-01	676	474	0	0	0	0	0	0
TCGA-AO-A03N-01	43	43	13	35	0	0	0	0
TCGA-AO-A03U-01	2	0	0	0	0	0	3	0
TCGA-AO-A03V-01	9	8	0	24	0	0	31	0
TCGA-AO-A0JG-01	0	2	0	0	0	6	13	0
TCGA-AO-A124-01	8	1	11	23	13	80	40	2
TCGA-AO-A125-01	2	4	13	9	2	4	2	9
TCGA-AO-A126-01	0	5	7	0	0	0	0	13
TCGA-AO-A128-01	0	0	487	0	723	0	0	0
TCGA-AO-A129-01	23	13	11	0	20	33	0	44
TCGA-AO-A12A-01	0	7	12	0	0	0	0	0
TCGA-AO-A12B-01	0	0	13	0	0	10	0	0
TCGA-AO-A12D-01	8	23	0	42	0	0	0	0
TCGA-AO-A12E-01	0	2	14	8	0	0	0	9
TCGA-AO-A12F-01	0	0	23	0	0	17	0	0
TCGA-AO-A12G-01	5	5	16	0	0	0	0	16
TCGA-AO-A12H-01	0	0	10	20	0	0	0	0
TCGA-AO-A1KO-01	0	0	0	5	5	0	0	0
TCGA-AO-A1KR-01	9	7	12	0	9	33	0	19
TCGA-AO-A1KT-01	0	4	12	9	16	10	0	0
TCGA-AQ-A04H-01	5	3	41	6	8	10	1	7
TCGA-AQ-A0Y5-01	11	11	22	14	0	12	0	0
TCGA-AQ-A1H2-01	0	0	12	16	6	0	0	0
TCGA-AQ-A1H3-01	0	0	27	0	0	0	0	0
TCGA-AQ-A54O-01	0	5	10	0	0	10	0	0
TCGA-AQ-A7U7-01	36	43	17	0	0	0	0	0
TCGA-AR-A0TP-01	4	4	0	0	14	24	0	25
TCGA-AR-A0TQ-01	0	14	10	0	0	0	25	0
TCGA-AR-A0TR-01	0	3	13	0	10	0	16	0
TCGA-AR-A0TS-01	10	6	17	0	0	0	25	32
TCGA-AR-A0TT-01	7	12	19	0	11	0	0	26
TCGA-AR-A0TU-01	10	4	14	0	0	42	0	20
TCGA-AR-A0TV-01	4	4	22	0	0	0	19	30
TCGA-AR-A0TW-01	0	0	21	20	0	26	0	0
TCGA-AR-A0TX-01	183	171	0	53	0	0	0	0
TCGA-AR-A0TZ-01	15	12	11	29	0	0	0	0
TCGA-AR-A0U0-01	8	0	4	12	0	0	26	0
TCGA-AR-A0U1-01	14	0	0	13	21	40	0	21
TCGA-AR-A0U2-01	0	0	24	0	11	0	0	21
TCGA-AR-A0U3-01	0	0	10	11	0	0	19	0
TCGA-AR-A0U4-01	46	14	0	0	0	60	81	0
TCGA-AR-A1AH-01	9	0	12	0	27	40	32	0
TCGA-AR-A1AI-01	15	0	10	47	0	0	17	0
TCGA-AR-A1AJ-01	11	22	20	0	0	0	0	0
TCGA-AR-A1AK-01	20	16	11	17	0	0	18	0
TCGA-AR-A1AL-01	3	5	5	0	8	0	0	9
TCGA-AR-A1AN-01	4	0	14	13	0	0	0	0
TCGA-AR-A1AO-01	15	12	9	29	0	57	0	0
TCGA-AR-A1AP-01	6	5	19	21	0	0	0	0
TCGA-AR-A1AQ-01	2	2	11	0	8	18	0	0
TCGA-AR-A1AR-01	7	3	14	0	0	0	0	39
TCGA-AR-A1AS-01	3	14	8	0	7	9	0	0
TCGA-AR-A1AT-01	0	0	11	0	0	21	0	0
TCGA-AR-A1AU-01	0	0	10	6	0	10	0	0
TCGA-AR-A1AV-01	0	4	20	25	0	0	0	0
TCGA-AR-A1AW-01	0	0	10	0	9	0	22	0
TCGA-AR-A1AX-01	0	0	0	32	0	0	0	0
TCGA-AR-A1AY-01	5	8	17	1	7	6	25	3
TCGA-AR-A24H-01	22	6	14	0	0	63	47	0
TCGA-AR-A24K-01	0	0	5	13	0	16	0	0
TCGA-AR-A24L-01	7	0	4	0	0	20	0	22
TCGA-AR-A24M-01	0	0	6	0	11	8	0	0
TCGA-AR-A24N-01	0	7	19	0	0	0	21	0
TCGA-AR-A24O-01	0	0	7	0	0	0	15	0
TCGA-AR-A24P-01	0	0	3	16	0	0	0	0
TCGA-AR-A24Q-01	21	20	0	0	23	99	69	0
TCGA-AR-A24R-01	0	2	14	0	10	0	0	0
TCGA-AR-A24S-01	5	8	17	0	10	0	17	0
TCGA-AR-A24T-01	0	2	11	0	0	0	11	0
TCGA-AR-A24U-01	10	10	9	15	0	0	0	0
TCGA-AR-A24V-01	3	2	10	13	0	0	0	0
TCGA-AR-A24W-01	0	0	0	6	0	0	8	0
TCGA-AR-A24X-01	0	0	5	20	0	0	0	9
TCGA-AR-A24Z-01	3	4	13	1	1	5	6	23
TCGA-AR-A250-01	50	16	30	59	0	0	0	0
TCGA-AR-A251-01	32	6	9	0	16	81	0	61
TCGA-AR-A252-01	0	0	8	0	4	0	7	0
TCGA-AR-A254-01	0	4	11	16	0	0	11	0
TCGA-AR-A255-01	19	14	9	8	5	3	30	1
TCGA-AR-A256-01	16	15	4	30	16	89	11	43
TCGA-AR-A2LE-01	120	186	0	88	0	0	0	0
TCGA-AR-A2LH-01	15	26	0	30	0	0	0	0
TCGA-AR-A2LK-01	0	6	23	0	0	0	0	19
TCGA-AR-A2LL-01	0	0	18	0	0	0	0	19
TCGA-AR-A2LM-01	0	0	0	9	0	0	0	8
TCGA-AR-A2LN-01	3	15	0	25	0	0	11	0
TCGA-AR-A2LO-01	2	2	5	0	0	8	0	0
TCGA-AR-A2LQ-01	0	0	4	0	0	0	0	9
TCGA-AR-A2LR-01	0	0	13	18	0	0	0	39
TCGA-AR-A5QM-01	0	0	10	9	0	0	0	17
TCGA-AR-A5QN-01	0	6	21	0	7	0	15	0
TCGA-AR-A5QP-01	0	4	9	6	5	0	0	10
TCGA-AR-A5QQ-01	8	5	10	0	18	30	25	0
TCGA-B6-A0I1-01	0	5	18	19	0	0	0	38
TCGA-B6-A0IH-01	0	0	14	18	9	0	0	0
TCGA-B6-A0RH-01	7	12	11	0	0	15	0	0
TCGA-B6-A0RL-01	5	15	26	0	0	0	23	0
TCGA-B6-A0RM-01	0	8	15	0	0	0	0	13
TCGA-B6-A0RN-01	0	3	15	0	7	8	0	0
TCGA-B6-A0RO-01	0	3	0	21	8	0	11	0
TCGA-B6-A0RP-01	0	0	7	0	0	0	23	0
TCGA-B6-A0RQ-01	4	14	6	15	0	0	17	0
TCGA-B6-A0RT-01	19	0	7	0	0	19	0	27
TCGA-B6-A0RU-01	0	5	6	25	11	11	0	0
TCGA-B6-A0RV-01	26	31	10	0	0	0	0	0
TCGA-B6-A0WS-01	2	2	0	0	8	0	6	0
TCGA-B6-A0WT-01	0	0	5	12	5	0	0	0
TCGA-B6-A0WV-01	4	0	4	7	5	0	0	17
TCGA-B6-A0WW-01	4	8	10	3	3	2	9	8
TCGA-B6-A0WX-01	0	0	11	11	7	16	0	0
TCGA-B6-A0WY-01	3	6	7	9	10	0	0	0
TCGA-B6-A0WZ-01	24	53	0	0	0	0	0	18
TCGA-B6-A0X0-01	0	2	3	5	0	0	0	15
