Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-E9-A1N5-01	16	7	0	16
TCGA-E9-A1N8-01	12	12	1	11
TCGA-E9-A1N9-01	6	27	23	10
TCGA-E9-A1NA-01	21	67	24	5
TCGA-E9-A1NE-01	6	42	4	10
TCGA-E9-A1NF-01	24	10	27	0
TCGA-E9-A1NG-01	0	8	10	3
TCGA-E9-A1NH-01	2	10	14	11
TCGA-E9-A1QZ-01	0	12	5	6
TCGA-E9-A1R0-01	7	0	27	1
TCGA-E9-A1R2-01	14	34	0	18
TCGA-E9-A1R3-01	3	5	10	7
TCGA-E9-A1R4-01	97	20	29	7
TCGA-E9-A1R5-01	3	15	25	8
TCGA-E9-A1R6-01	0	8	27	1
TCGA-E9-A1R7-01	11	28	16	8
TCGA-E9-A1RA-01	5	8	12	0
TCGA-E9-A1RB-01	0	14	8	16
TCGA-E9-A1RC-01	0	12	28	15
TCGA-E9-A1RD-01	6	4	11	2
TCGA-E9-A1RE-01	0	8	39	19
TCGA-E9-A1RF-01	17	100	36	17
TCGA-E9-A1RG-01	8	16	9	8
TCGA-E9-A1RH-01	13	51	36	11
TCGA-E9-A1RI-01	5	9	12	3
TCGA-E9-A226-01	48	3	27	1
TCGA-E9-A227-01	4	9	6	0
TCGA-E9-A228-01	9	4	31	8
TCGA-E9-A229-01	5	7	11	7
TCGA-E9-A22A-01	8	17	9	2
TCGA-E9-A22B-01	11	18	42	5
TCGA-E9-A22D-01	3	0	33	4
TCGA-E9-A22E-01	36	79	14	15
TCGA-E9-A22G-01	9	75	0	33
TCGA-E9-A22H-01	0	0	22	4
TCGA-E9-A243-01	20	42	2	25
TCGA-E9-A244-01	3	64	23	31
TCGA-E9-A245-01	1	16	5	1
TCGA-E9-A247-01	0	0	28	19
TCGA-E9-A248-01	5	0	14	9
TCGA-E9-A249-01	0	2	14	9
TCGA-E9-A24A-01	0	10	12	0
TCGA-E9-A295-01	0	52	54	3
TCGA-E9-A2JS-01	0	22	59	8
TCGA-E9-A2JT-01	28	0	0	0
TCGA-E9-A3HO-01	9	49	2	12
TCGA-E9-A3QA-01	23	33	2	4
TCGA-E9-A3X8-01	6	17	14	0
TCGA-E9-A54Y-01	19	0	36	3
TCGA-E9-A5FK-01	2	16	15	6
TCGA-E9-A5FL-01	25	68	10	30
TCGA-E9-A5UO-01	0	13	16	9
TCGA-E9-A6HE-01	0	0	16	6
TCGA-EW-A1IW-01	71	19	34	3
TCGA-EW-A1IX-01	28	11	0	3
TCGA-EW-A1IY-01	20	0	18	0
TCGA-EW-A1IZ-01	0	0	173	262
TCGA-EW-A1J1-01	0	7	14	2
TCGA-EW-A1J3-01	2	12	11	5
TCGA-EW-A1J5-01	505	0	35	0
TCGA-EW-A1J6-01	0	25	19	0
TCGA-EW-A1OV-01	110	0	30	0
TCGA-EW-A1OX-01	6	5	6	4
TCGA-EW-A1OZ-01	8	18	40	10
TCGA-EW-A1P0-01	0	16	3	9
TCGA-EW-A1P1-01	0	2	1	0
TCGA-EW-A1P3-01	1	9	18	0
TCGA-EW-A1P4-01	8	38	10	21
TCGA-EW-A1P5-01	0	0	12	8
TCGA-EW-A1P6-01	0	6	16	4
TCGA-EW-A1P7-01	0	13	0	6
TCGA-EW-A1P8-01	1	17	13	8
TCGA-EW-A1PA-01	6	14	19	2
TCGA-EW-A1PB-01	85	88	0	9
TCGA-EW-A1PD-01	20	60	0	13
TCGA-EW-A1PE-01	7	9	14	8
TCGA-EW-A1PG-01	1	0	10	0
TCGA-EW-A1PH-01	5	16	34	7
TCGA-EW-A2FR-01	13	19	22	0
TCGA-EW-A2FS-01	0	14	16	15
TCGA-EW-A2FV-01	1	14	17	0
TCGA-EW-A2FW-01	1	0	21	4
TCGA-EW-A423-01	19	17	40	12
TCGA-EW-A6S9-01	3	6	17	5
TCGA-EW-A6SA-01	17	46	39	21
TCGA-EW-A6SB-01	5	27	28	21
TCGA-EW-A6SC-01	8	8	6	17
TCGA-EW-A6SD-01	35	3	11	19
TCGA-GI-A2C8-01	19	83	19	27
TCGA-GM-A2D9-01	567	0	78	0
TCGA-GM-A2DA-01	8	11	21	5
TCGA-GM-A2DB-01	9	68	38	13
TCGA-GM-A2DC-01	0	3	23	1
TCGA-GM-A2DD-01	5	30	13	20
TCGA-GM-A2DF-01	5	14	25	9
TCGA-GM-A2DH-01	105	101	0	26
TCGA-GM-A2DI-01	73	0	18	0
TCGA-GM-A2DK-01	5	6	17	9
TCGA-GM-A2DL-01	11	18	20	0
TCGA-GM-A2DM-01	6	10	3	8
TCGA-GM-A2DN-01	2	5	12	0
TCGA-GM-A2DO-01	182	0	38	0
TCGA-GM-A3NW-01	53	7	29	6
TCGA-GM-A3XL-01	44	73	3	24
TCGA-GM-A4E0-01	0	7	21	6
TCGA-GM-A5PV-01	10	18	15	4
TCGA-GM-A5PX-01	8	9	15	10
TCGA-HN-A2NL-01	7	53	17	14
TCGA-HN-A2OB-01	3	2	10	4
TCGA-JL-A3YX-01	21	0	19	9
TCGA-LD-A66U-01	0	8	15	21
TCGA-LD-A74U-01	277	0	75	0
TCGA-LD-A7W5-01	14	6	30	15
TCGA-LD-A7W6-01	2	13	20	11
TCGA-LD-A9QF-01	0	9	28	2
TCGA-LL-A440-01	1	0	5	0
TCGA-LL-A50Y-01	1	4	22	16
TCGA-LL-A5YL-01	40	1	52	0
TCGA-LL-A5YM-01	3	13	18	6
TCGA-LL-A5YN-01	0	15	23	5
TCGA-LL-A5YO-01	15	32	0	14
TCGA-LL-A5YP-01	16	68	7	14
TCGA-LL-A6FP-01	18	27	30	0
TCGA-LL-A6FQ-01	0	7	48	14
TCGA-LL-A6FR-01	2	20	25	16
TCGA-LL-A73Y-01	131	26	0	36
TCGA-LL-A73Z-01	1	15	21	11
TCGA-LL-A740-01	6	23	25	14
TCGA-LL-A7SZ-01	9	11	37	18
TCGA-LL-A7T0-01	9	6	44	18
TCGA-LL-A8F5-01	19	119	23	39
TCGA-LL-A9Q3-01	7	12	36	13
TCGA-OK-A5Q2-01	6	2	35	0
TCGA-OL-A5D6-01	7	18	32	0
TCGA-OL-A5D7-01	13	36	16	15
TCGA-OL-A5D8-01	2	10	15	12
TCGA-OL-A5DA-01	68	8	38	0
TCGA-OL-A5RU-01	0	11	28	7
TCGA-OL-A5RV-01	0	3	9	5
TCGA-OL-A5RW-01	119	101	0	33
TCGA-OL-A5RX-01	1	2	20	12
TCGA-OL-A5RY-01	2	0	3	8
TCGA-OL-A5RZ-01	14	52	69	17
TCGA-OL-A5S0-01	4	4	27	9
TCGA-OL-A66H-01	0	14	7	6
TCGA-OL-A66I-01	4	21	28	3
TCGA-OL-A66J-01	8	12	28	20
TCGA-OL-A66K-01	1	5	27	14
TCGA-OL-A66L-01	67	0	22	5
TCGA-OL-A66N-01	0	6	38	14
TCGA-OL-A66O-01	0	9	17	12
TCGA-OL-A66P-01	3	73	24	23
TCGA-OL-A6VO-01	0	10	20	8
TCGA-OL-A6VQ-01	50	0	22	10
TCGA-OL-A6VR-01	1	2	5	9
TCGA-OL-A97C-01	1	27	17	25
TCGA-PE-A5DC-01	20	78	33	23
TCGA-PE-A5DD-01	44	3	38	0
TCGA-PE-A5DE-01	568	0	121	0
TCGA-PL-A8LV-01	45	74	7	29
TCGA-PL-A8LX-01	0	14	14	21
TCGA-PL-A8LY-01	0	1	0	6
TCGA-PL-A8LZ-01	15	83	35	3
TCGA-S3-A6ZF-01	1	12	35	4
TCGA-S3-A6ZG-01	1	7	50	2
TCGA-S3-A6ZH-01	2	8	27	8
TCGA-S3-AA0Z-01	16	23	24	14
TCGA-S3-AA10-01	23	98	8	21
TCGA-S3-AA11-01	4	60	22	10
TCGA-S3-AA12-01	4	23	29	4
TCGA-S3-AA14-01	4	0	15	5
TCGA-S3-AA15-01	37	7	11	5
TCGA-S3-AA17-01	19	72	21	29
TCGA-UL-AAZ6-01	21	68	15	36
TCGA-UU-A93S-01	18	113	31	34
TCGA-V7-A7HQ-01	4	15	9	3
TCGA-W8-A86G-01	1	7	15	12
TCGA-WT-AB41-01	24	4	32	2
TCGA-WT-AB44-01	0	15	28	17
TCGA-XX-A899-01	33	2	25	0
TCGA-XX-A89A-01	203	21	21	20
TCGA-Z7-A8R5-01	0	0	25	9
TCGA-Z7-A8R6-01	61	0	36	10
